host_elapsed_s,host_epoch_s,ver,listener_id,near_anchor_id,good_frames,accepted_polls,ignored_nonpoll,ignored_poll_mask,bad_header,too_long,rx_errors,cir_captures,last_status,last_src,last_dst,last_code,ring_drops,self_recover,rx_enable_failures,fps
682.958691,1784055721.241027,1,255,255,336515,143434,193080,0,1,0,1908,14343,0x00800002,0xa106,0xb104,0xe1,0,784,0,0
687.959876,1784055726.242213,1,255,255,336668,143487,193180,0,1,0,1908,14348,0x00800002,0xa106,0xb103,0xe1,0,784,0,30
692.958139,1784055731.240475,1,255,255,336869,143557,193311,0,1,0,1908,14355,0x00800002,0xa106,0xb104,0xe1,0,784,0,40
697.957740,1784055736.240076,1,255,255,337077,143629,193447,0,1,0,1908,14362,0x00800002,0xa106,0xb104,0xe1,0,784,0,41
702.957362,1784055741.239698,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,784,0,4
707.957026,1784055746.239362,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,784,0,0
712.956697,1784055751.239034,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,784,0,0
717.956278,1784055756.238614,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,785,0,0
722.955915,1784055761.238251,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,785,0,0
727.955666,1784055766.238002,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,785,0,0
732.955366,1784055771.237702,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,786,0,0
737.954892,1784055776.237228,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,786,0,0
742.954723,1784055781.237059,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,786,0,0
747.954229,1784055786.236565,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,787,0,0
752.953907,1784055791.236243,1,255,255,337100,143637,193462,0,1,0,1908,14363,0x00800002,0xa106,0xb103,0xe1,0,787,0,0
757.953705,1784055796.236041,1,255,255,337241,143686,193554,0,1,0,1908,14368,0x00800002,0xa106,0xb103,0xe1,0,787,0,28
762.953433,1784055801.235769,1,255,255,337429,143751,193677,0,1,0,1908,14375,0x00800002,0xa106,0xb102,0xe1,0,787,0,37
768.018685,1784055806.301021,1,255,255,337627,143820,193806,0,1,0,1908,14382,0x00806f02,0xa106,0xb102,0xe1,0,787,0,39
773.018928,1784055811.301264,1,255,255,337834,143892,193941,0,1,0,1908,14389,0x00806f02,0xa106,0xb102,0xe1,0,787,0,41
778.018819,1784055816.301155,1,255,255,338030,143960,194069,0,1,0,1908,14396,0x00806f02,0xa106,0xb102,0xe1,0,787,0,39
783.141390,1784055821.423726,1,255,255,338230,144030,194199,0,1,0,1909,14403,0x00806f02,0xa105,0xb103,0xe1,0,787,0,40
788.141520,1784055826.423856,1,255,255,338441,144103,194337,0,1,0,1909,14410,0x00806f02,0xa106,0xb103,0xe1,0,787,0,42
793.141495,1784055831.423831,1,255,255,338655,144177,194477,0,1,0,1909,14417,0x00806f02,0xa106,0xb103,0xe1,0,787,0,42
798.136066,1784055836.418402,1,255,255,338851,144245,194605,0,1,0,1909,14424,0x00800002,0xa106,0xb104,0xe1,0,787,0,39
803.140758,1784055841.423094,1,255,255,339041,144311,194729,0,1,0,1909,14431,0x00800002,0xa106,0xb103,0xe1,0,787,0,38
808.140364,1784055846.422701,1,255,255,339244,144382,194861,0,1,0,1909,14438,0x00800002,0xa106,0xb103,0xe1,0,787,0,40
813.310401,1784055851.592737,1,255,255,339438,144450,194987,0,1,0,1909,14445,0x00800002,0xb102,0xffff,0xe0,0,787,0,38
818.415763,1784055856.698099,1,255,255,339641,144520,195120,0,1,0,1909,14452,0x00806f02,0xa106,0xb102,0xe1,0,787,0,40
823.415735,1784055861.698071,1,255,255,339835,144587,195247,0,1,0,1909,14458,0x00806f02,0xa106,0xb102,0xe1,0,787,0,38
828.415402,1784055866.697738,1,255,255,340028,144654,195373,0,1,0,1909,14465,0x00806f02,0xa106,0xb102,0xe1,0,787,0,38
833.437285,1784055871.719621,1,255,255,340216,144720,195495,0,1,0,1909,14472,0x00806f02,0xa106,0xb103,0xe1,0,787,0,37
838.436835,1784055876.719171,1,255,255,340417,144790,195626,0,1,0,1910,14479,0x00806f02,0xa106,0xb103,0xe1,0,787,0,40
843.736908,1784055882.019244,1,255,255,340618,144860,195757,0,1,0,1910,14486,0x00806f02,0xa106,0xb103,0xe1,0,787,0,40
848.730490,1784055887.012827,1,255,255,340814,144928,195885,0,1,0,1910,14492,0x00800002,0xa106,0xb102,0xe1,0,787,0,39
853.730182,1784055892.012519,1,255,255,341002,144993,196008,0,1,0,1910,14499,0x00800002,0xa106,0xb102,0xe1,0,787,0,37
859.012328,1784055897.294664,1,255,255,341193,145060,196132,0,1,0,1910,14506,0x00806f02,0xa106,0xb102,0xe1,0,787,0,38
864.012551,1784055902.294887,1,255,255,341389,145128,196260,0,1,0,1910,14512,0x00806f02,0xa106,0xb102,0xe1,0,787,0,39
869.007034,1784055907.289370,1,255,255,341587,145197,196389,0,1,0,1910,14519,0x00800002,0xa106,0xb104,0xe1,0,787,0,39
874.012171,1784055912.294507,1,255,255,341788,145267,196520,0,1,0,1910,14526,0x00806f02,0xa106,0xb102,0xe1,0,787,0,40
879.011506,1784055917.293842,1,255,255,341985,145336,196648,0,1,0,1910,14533,0x00800002,0xa106,0xb102,0xe1,0,787,0,39
884.011012,1784055922.293348,1,255,255,342171,145402,196768,0,1,0,1910,14540,0x00800002,0xa106,0xb102,0xe1,0,787,0,37
889.067734,1784055927.350071,1,255,255,342369,145470,196898,0,1,0,1911,14547,0x00806f02,0xa105,0xb104,0xe1,0,787,0,39
894.232839,1784055932.515176,1,255,255,342571,145540,197030,0,1,0,1911,14554,0x00806f02,0xa106,0xb103,0xe1,0,787,0,40
899.461691,1784055937.744027,1,255,255,342771,145610,197160,0,1,0,1911,14561,0x00800002,0xb104,0xffff,0xe0,0,787,0,40
904.466663,1784055942.748999,1,255,255,342970,145679,197290,0,1,0,1911,14567,0x00806f02,0xa106,0xb104,0xe1,0,787,0,39
909.466171,1784055947.748507,1,255,255,343160,145745,197414,0,1,0,1911,14574,0x00806f02,0xa106,0xb104,0xe1,0,787,0,38
914.466064,1784055952.748401,1,255,255,343353,145812,197540,0,1,0,1911,14581,0x00806f02,0xa106,0xb104,0xe1,0,787,0,38
919.465763,1784055957.748099,1,255,255,343554,145882,197671,0,1,0,1911,14588,0x00806f02,0xa106,0xb104,0xe1,0,787,0,40
924.565040,1784055962.847376,1,255,255,343748,145950,197797,0,1,0,1911,14595,0x00806f02,0xa106,0xb104,0xe1,0,787,0,38
929.564694,1784055967.847030,1,255,255,343944,146018,197925,0,1,0,1911,14601,0x00806f02,0xa106,0xb104,0xe1,0,787,0,39
934.563790,1784055972.846126,1,255,255,344135,146084,198050,0,1,0,1912,14608,0x00806f02,0xa106,0xb104,0xe1,0,787,0,38
939.563953,1784055977.846290,1,255,255,344327,146151,198175,0,1,0,1912,14615,0x00806f02,0xa106,0xb104,0xe1,0,787,0,38
944.601553,1784055982.883889,1,255,255,344523,146220,198302,0,1,0,1912,14622,0x00800002,0xb102,0xffff,0xe0,0,787,0,39
949.606016,1784055987.888352,1,255,255,344727,146291,198435,0,1,0,1912,14629,0x00806f02,0xa106,0xb102,0xe1,0,787,0,40
954.600045,1784055992.882381,1,255,255,344856,146336,198519,0,1,0,1912,14633,0x00800002,0xa106,0xb104,0xe1,0,787,0,25
959.599695,1784055997.882031,1,255,255,344856,146336,198519,0,1,0,1912,14633,0x00800002,0xa106,0xb104,0xe1,0,787,0,0
964.599708,1784056002.882045,1,255,255,344856,146336,198519,0,1,0,1912,14633,0x00800002,0xa106,0xb104,0xe1,0,787,0,0
969.598931,1784056007.881267,1,255,255,344856,146336,198519,0,1,0,1912,14633,0x00800002,0xa106,0xb104,0xe1,0,788,0,0
