version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v1-old,T5b,native_range_filter,noG,24,ABEF,6,100.16255260224469,217.0872035099643,134.48217806815512
v1-old,T5b,native_range_filter,noG,24,ADHE,6,173.59578877324944,283.3701707196215,195.9569497247555
v1-old,T5b,native_range_filter,noG,24,BCGF,6,190.69929902621442,330.7597486065729,213.42085559126
v1-old,T5b,native_range_filter,noG,24,CDHG,6,143.7176289856513,224.6133994187286,156.68616900372479
v1-old,T5c,native_range_filter,all8,24,ABEF,6,130.4916995965988,344.7387560146376,196.56033287106717
v1-old,T5c,native_range_filter,all8,24,ADHE,6,152.67928468620073,194.92123855633784,155.70134877363918
v1-old,T5c,native_range_filter,all8,24,BCGF,6,125.1746456403977,280.17933311220276,175.74020696734578
v1-old,T5c,native_range_filter,all8,24,CDHG,6,123.98313232057163,238.68285042074265,159.75858491253547
v1-old,T5c,native_range_filter,noG,24,ABEF,6,100.16255260224469,217.0872035099643,134.48217806815512
v1-old,T5c,native_range_filter,noG,24,ADHE,6,173.59578877324944,283.3701707196215,195.9569497247555
v1-old,T5c,native_range_filter,noG,24,BCGF,6,190.69929902621442,330.7597486065729,213.42085559126
v1-old,T5c,native_range_filter,noG,24,CDHG,6,143.7176289856513,224.6133994187286,156.68616900372479
v1-old,T5d,native_range_filter,all8,24,ABEF,6,157.3410604415657,305.7224723352944,189.68720179239
v1-old,T5d,native_range_filter,all8,24,ADHE,6,191.40781799723516,293.7110900516072,197.78976246517152
v1-old,T5d,native_range_filter,all8,24,BCGF,6,229.86935024121027,279.39452477722284,207.07326598626088
v1-old,T5d,native_range_filter,all8,24,CDHG,6,218.60673184989855,291.83984221605346,218.0348750030879
v1-old,T5d,native_range_filter,noG,24,ABEF,6,148.6611499524504,298.724024012085,188.43603056395906
v1-old,T5d,native_range_filter,noG,24,ADHE,6,212.8725467245893,306.4234922409804,221.03251842027592
v1-old,T5d,native_range_filter,noG,24,BCGF,6,228.6431937970846,355.3731960118215,246.23791968719394
v1-old,T5d,native_range_filter,noG,24,CDHG,6,191.7130633374871,236.95942073547482,189.0728796766125
v1-old,T5e,native_range_filter,all8,24,ABEF,6,111.52991880944565,261.6889321314056,152.50194405997158
v1-old,T5e,native_range_filter,all8,24,ADHE,6,82.88832589387059,204.4347563282804,126.51691760152366
v1-old,T5e,native_range_filter,all8,24,BCGF,6,87.82970726297067,187.34688388731576,117.33847264671354
v1-old,T5e,native_range_filter,all8,24,CDHG,6,133.76865796415493,348.45531958648684,204.61321458507143
