L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L5,A0,U4,P0,I8,T2,position_fusion,5,86.25375966275381,149.57033862298903,4.31490541895012,95.8107311724262,231.8021379954777,82.23179937248865,1.0,82.23179937248865,41.480395955970195,130.92654929778718,314.5731247869378,X_A0_U4_P0_L5_I8_T2
L1,A0,U4,P3,I6,T2,position_fusion,5,72.94749828198704,118.7640378982431,4.154251663257507,78.90815953166889,200.2766290041533,81.5125911059102,1.0,113.03810009723459,35.648596764099416,110.8713232546233,327.6173000806039,X_A0_U4_P3_L1_I6_T2
L19,A0,U4,P0,I2,T2,position_fusion,5,85.87860042348102,150.39951190373108,5.5653973877590905,96.7257318382409,231.8021379954777,81.40262609174663,1.0,81.40262609174663,46.23661804035793,132.38451671331399,300.3504800846718,X_A0_U4_P0_L19_I2_T2
L0,A0,U4,P3,I3,T2,position_fusion,5,74.21426097772932,119.69742291944867,0.0,77.07068991961941,200.2766290041533,80.57920608470462,1.0,112.10471507602901,37.23101253087455,108.13424167965925,336.8129825608918,X_A0_U4_P3_L0_I3_T2
L14,A0,U4,P0,I5,T2,position_fusion,5,86.39766824009929,151.32413534264637,3.4532651632938363,96.97440679991838,231.8021379954777,80.47800265283131,1.0,80.47800265283131,39.62316584458937,131.58602945927424,252.34157010706735,X_A0_U4_P0_L14_I5_T2
L15,A0,U4,P0,I3,T2,position_fusion,5,84.10755118343931,151.4356192127017,1.9284135208881488,92.8382037913473,231.8021379954777,80.36651878277598,1.0,80.36651878277598,45.77390376155971,126.75507536095878,290.1315479559586,X_A0_U4_P0_L15_I3_T2
L15,A0,U4,P0,I8,T2,position_fusion,5,88.21821176416208,151.64462239591407,6.142721284735407,96.13041934207544,231.8021379954777,80.15751559956364,1.0,80.15751559956364,42.33356199276078,124.39894915159589,291.26939328619403,X_A0_U4_P0_L15_I8_T2
L0,A0,U4,P2,I5,T2,position_fusion,5,74.6744176371318,111.5758302434186,0.0,77.93328853443742,191.34655064695076,79.77072040353217,1.0,120.2263077520591,17.71572559486981,98.86120030775596,386.3650223531042,X_A0_U4_P2_L0_I5_T2
L16,A0,U4,P0,I7,T2,position_fusion,5,84.24672371931095,152.13898916476586,5.4167718426892915,95.72364893995332,231.8021379954777,79.66314883071182,1.0,79.66314883071182,46.20811337079671,128.9710965177774,285.2189619990092,X_A0_U4_P0_L16_I7_T2
L15,A0,U4,P0,I4,T2,position_fusion,5,86.99934927466911,152.242651546492,4.09589312340886,95.69763613420932,231.8021379954777,79.5594864489857,1.0,79.5594864489857,44.14188292524676,128.3769897941035,298.5374288554738,X_A0_U4_P0_L15_I4_T2
L0,A0,U4,P3,I2,T2,position_fusion,5,74.95289622813621,121.82121764180928,0.0,77.96003315941101,200.2766290041533,78.45541136234402,1.0,109.9809203536684,38.41168433394364,109.16183030655114,333.85011997402273,X_A0_U4_P3_L0_I2_T2
L0,A0,U4,P3,I7,T2,position_fusion,5,74.95289622813621,121.82121764180928,0.0,77.96003315941101,200.2766290041533,78.45541136234402,1.0,109.9809203536684,38.41168433394364,109.16183030655114,333.85011997402273,X_A0_U4_P3_L0_I7_T2
