version,ID,peer,path,tilt,facing,position_backend,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
V-B_calibrated,R03,BS2DCE,captures/current,,,cuda:0,ok,1200,556.6590661624714,70.51069293408128,86.98976270873787,55.285618578003785,112.02052511951254,197.7170473185464,35.43235410563803,1514.2785744699565,1108.9661720647687,820.9831599734941,0.5417138909600606,0.20650936426033306,0.814800554009203,29,28.74778244292978,23.739276488528297,38.83497778193027,12.673405999925684,11.109234557370321,17.310396813203173,7.476110381088325,8.0,100.0,95.33333333333334
V-B_calibrated,R03,BSDC91,captures/current,,,cuda:1,ok,1200,623.9442942902614,50.139399519761575,65.23179096678312,41.50104108594636,82.26524076789882,149.9829230037718,27.670347718314332,1465.0340030320388,1101.9531735227515,805.9855236881313,-0.4557860104859177,-0.08894602050715672,-0.885634076851874,29,28.714786962798293,14.907684575272649,24.069460161224615,9.526842136255402,8.391194786609795,8.306822354185732,6.297435379516049,8.0,100.0,94.0
V-B_calibrated,R04,BS2DCE,captures/current,,,cuda:0,ok,1200,534.4726657549527,65.66859665055131,111.9087043452023,66.59458112149426,129.76233779757828,249.75732384773184,30.113159054851327,1413.25075368987,1183.1701505578753,862.3312522702465,0.004560720423438735,-0.501688692519795,-0.8650362163672674,28,28.576420376165764,24.345928270022103,41.33931431343252,13.472006612693992,6.985212974054069,19.605836117745273,7.16895784807466,8.0,99.75,91.91666666666667
V-B_calibrated,R04,BSDC91,captures/current,,,cuda:1,ok,1200,623.5654044005255,63.85665737268961,84.96222412258022,65.3428274887448,106.29001700860339,208.0490640026806,23.88812600931283,1414.4189134255919,1152.9113505371877,810.3631205400096,-0.03374078539259298,0.4035440113251187,0.9143378972375167,28,28.560509535955855,18.330560079111745,28.77652439682986,9.350179728872387,10.278129113017053,12.465489464749606,6.189897485370836,8.0,99.91666666666667,92.66666666666666
V-B_calibrated,R05,BS2DCE,captures/current,,,cuda:0,ok,1200,552.6610571035818,90.854133359426,106.32156186323388,79.06808118770755,139.99603887475615,292.7924436194445,30.687525295792188,1308.8321959643142,1104.7920419794355,838.4158251280127,-0.510332025543085,-0.00491516902072997,0.8599634089998189,29,28.845923488188163,33.83875006693429,57.10336396068965,10.866353055356461,20.976676447771425,25.05708399846589,12.554502306832639,8.0,100.0,96.91666666666666
V-B_calibrated,R05,BSDC91,captures/current,,,cuda:1,ok,1201,637.1456966940898,53.20051684392996,68.25402152012019,45.16299080619822,86.5309948654918,156.36524503218396,24.641925590136204,1349.7665618633218,1086.386542421655,801.4704124611036,0.4161126170294869,0.026348830639822962,-0.9089312565165671,29,28.844445124800842,15.520079060827292,24.904052592659273,9.367026173518934,9.125903347990109,8.857322661650963,5.750300048304084,8.0,99.83347210657784,93.67194004995837
V-B_calibrated,R06,BS2DCE,captures/current,,,cuda:0,ok,1200,554.0372226621015,64.30489592126928,106.28630173730359,63.799730284455144,124.22976779253592,228.61246596283596,61.02947684081248,1497.0285748065803,934.8259645832557,777.7571904990406,-0.053859562849706985,-0.8732095583628537,0.4843595923210231,24,23.736976943419325,19.068510807054512,34.000890935173736,9.187555143902465,11.476837386973555,12.778426604508448,5.877119661310913,8.0,99.83333333333333,96.0
V-B_calibrated,R06,BSDC91,captures/current,,,cuda:1,ok,1201,628.9410733995198,60.755150441842275,70.58469436795114,46.19628544235733,93.13861999825578,159.87562699977647,51.83937689046278,1485.4834296404242,966.7090730578657,781.4480533580041,-0.020855872199184538,-0.7860050663192077,0.6178681641866237,24,23.840994783805808,14.65972972253342,21.763964546758206,7.382976876543332,5.701532582540543,11.714762744856854,7.2964702792085205,8.0,99.83347210657784,95.33721898417986
V-B_calibrated,R07,BS2DCE,captures/current,,,cuda:0,ok,1200,546.8778506518116,62.17165389659813,74.96004976089418,51.457161258908506,97.4113412165978,178.1890838815214,54.946558963596246,1602.2828278208556,1180.872269390577,824.423948186795,0.810504552474456,0.11495944077341214,0.5743402279095955,23,23.460895479357536,16.04741241006675,25.39316400269325,8.858829038352289,9.0461008489424,10.436190966038675,6.356242514685227,8.0,100.0,96.5
V-B_calibrated,R07,BSDC91,captures/current,,,cuda:1,ok,1201,619.1417458508362,46.84687093836425,53.68900257499954,32.605392753990294,71.24644387040253,119.28447128131111,49.82602741470377,1570.706268121046,1149.5415552830375,796.3104420474012,-0.7636541589129361,-0.025779197867600412,-0.6451106560368377,23,23.458422080562542,11.71047750196822,17.544221948709033,6.549225769115268,6.110484768217185,7.945962686542369,5.2884317952219,8.0,100.0,95.1706910907577
V-B_calibrated,R08,BS2DCE,captures/current,,,cuda:0,ok,1201,544.687812835389,84.46234331030807,87.64415408912325,63.44834006491078,121.84573962070999,227.73846790830663,55.366352556508254,1356.840506625769,1262.4846113832268,806.2964472619841,0.07409816032969008,-0.8194594785664386,-0.5683270410805523,24,23.756975758948595,17.489612652134824,29.044085826883677,11.559983899006083,8.422131894453369,10.706093245326986,9.551155584777387,8.0,99.91673605328893,95.33721898417986
V-B_calibrated,R08,BSDC91,captures/current,,,cuda:1,ok,1200,618.687881267946,51.677373429965094,71.3481292887331,48.33717384300202,88.08691956133508,171.62121281553956,49.93008927207754,1390.3024724776142,1230.9037329593825,798.7488092983764,-0.06914347569461526,0.7621295008328125,0.6437218372318874,24,23.787241313194777,15.58292716189912,33.20439752051701,6.847288286745683,7.921388488493866,11.989645075143478,4.244842037659178,8.0,99.91666666666667,91.5
V-B_calibrated,R09,BS2DCE,captures/current,,,cuda:0,ok,1200,570.7953845865284,82.0537376596707,115.36957657503336,73.4251234206918,141.63806442072652,284.55504861196624,55.661756359766514,1240.9937292684472,1033.0466967178284,796.7594942073965,-0.822290628181186,-0.07519902821297342,0.5640773253386584,24,23.832998898867938,18.9710932451756,23.380117525302435,7.715079807813387,12.303290350198349,12.831870423015905,6.849932954263136,8.0,99.91666666666667,96.25
V-B_calibrated,R09,BSDC91,captures/current,,,cuda:1,ok,1200,645.6957952582285,64.97957441741246,63.24096606720046,43.99543899285063,90.69531565641981,166.79672276474216,49.472932955688826,1294.3265470549975,1035.1147053637942,760.0533182794422,0.756917807153124,0.06946969115901513,-0.6498071985018151,24,23.729042656110007,12.702457169235743,22.377552976318114,7.124968540143279,7.427351223649974,7.901709800191738,5.851751135584792,8.0,99.33333333333333,92.91666666666667
V-B_calibrated,R10,BS2DCE,captures/current,,,cuda:0,ok,1200,551.9773503367464,66.7359757518378,63.290409083098254,44.06560444012724,92.02545912986604,160.87487365042696,79.32493712045179,1512.614243279935,899.0688689251454,696.4188129680153,-0.11382339005206887,0.9760792870019888,-0.1852389304728983,23,22.95533566963784,15.951418438920038,23.52649813390071,9.484075194039766,7.730115095534378,10.78476682014945,8.680975397442632,8.0,100.0,95.16666666666667
V-B_calibrated,R10,BSDC91,captures/current,,,cuda:1,ok,1200,617.7839595966658,55.99935803273843,47.54355050173278,35.75038399862928,73.47297355623803,132.64431341123068,75.20319161677291,1500.7946117142055,921.7471381706367,700.1731547659911,-0.1250291442447953,0.9587192966614001,-0.2553919013956484,23,23.00084444055282,11.048607027548213,18.247893869090188,6.384914577059277,5.222821320923646,7.718512483825279,5.202411870619305,8.0,99.75,93.25
V-B_calibrated,R11,BS2DCE,captures/current,,,cuda:0,ok,1201,524.1554796131257,57.54170893696893,48.28854880124137,38.692653201186495,75.15419781861785,138.73946674498595,75.54487641571924,1648.078210987242,1181.659390887504,709.5681473481513,-0.9654987410829509,-0.07417021440959165,-0.24962163420198982,23,23.138532710953438,14.723735882194305,22.806374976651615,6.23626650112264,9.096715061919488,10.247007936157996,6.176169137834902,8.0,100.0,95.67027477102414
V-B_calibrated,R11,BSDC91,captures/current,,,cuda:1,ok,1200,599.8526009137233,48.47904182133361,31.175666410481877,29.093593211595646,57.64733338602532,99.50741271546741,73.23291890495658,1624.6945269765954,1166.82393703569,715.2700576132182,0.9553245182858139,0.06429119297638974,0.28848172778817444,23,23.14120662260346,11.314481125768413,15.936340294395142,4.509947075478034,6.73707980046364,8.252793029668762,4.68705564319144,8.0,99.91666666666667,92.75
V-B_calibrated,R12,BS2DCE,captures/current,,,cuda:0,ok,1200,529.7370113449531,71.49672821146677,65.84866900394145,47.67813527585186,97.28006115507316,166.98917926556672,77.39862366953562,1361.0284891849587,1299.6884614094865,707.1397275087381,-0.09146720786866921,0.9716156893232651,0.21816668431634167,23,23.242334688874145,21.098341192679868,37.90306303517937,10.48403796353978,8.70246484521731,16.7250019758563,11.117007774892311,8.0,100.0,94.58333333333333
V-B_calibrated,R12,BSDC91,captures/current,,,cuda:1,ok,1200,636.7078243090368,72.06198912012344,52.354608515404294,45.03922594061638,89.12930382180491,153.71062082916688,76.00149234190528,1368.5333144093108,1272.9431936964208,738.0937077134616,-0.08775979798042406,0.9663251221388082,0.24189662292362207,23,23.24639041751282,18.000395949592683,30.439771523838825,10.64469451478081,5.754935013420904,13.867709856797712,8.193021696784719,8.0,99.83333333333333,92.33333333333333
V-B_calibrated,R13,BS2DCE,captures/current,,,cuda:0,ok,1201,538.7480227133346,64.38849798747702,46.60642143679473,38.6377624686875,79.54660958911118,137.54648180693144,74.96032193739703,1227.7107517043537,1058.2079388630586,698.9672269146075,-0.9578751559266552,-0.12304964819766995,0.2594878990182697,23,23.059167214037977,13.885266560375745,21.691131910565346,5.942765743158387,9.366955564223726,8.860472398055494,6.661495385236372,8.0,99.6669442131557,92.5895087427144
V-B_calibrated,R13,BSDC91,captures/current,,,cuda:1,ok,1200,616.7345113709488,47.879068208858065,38.70457911098715,33.3360078376864,61.56906372082493,116.30803871040962,75.2716484971019,1252.3869865553631,1064.2707277896834,694.1483926341372,0.9634115828333641,0.08486401990527614,-0.25423654376983007,23,23.053925670360176,11.885735816579732,17.70663794497452,3.7942585829430397,8.32236861118828,8.002118131103757,4.024479543928729,8.0,99.91666666666667,93.58333333333333
V-B_calibrated,R14,BS2DCE,captures/current,,,cuda:0,ok,1201,523.2580552085217,64.71352407284283,50.69186185495995,40.6446154269251,82.26778684557902,146.8593322937399,89.19014097964484,1187.8530248914494,1009.9574724223687,654.9482888915162,0.14358990277350508,-0.9895363374843636,-0.014134235724888256,23,22.603694690630686,24.677823596273115,44.98395168582492,14.090756940544534,10.167416052853174,18.296195970296363,8.583863460438515,8.0,99.91673605328893,95.33721898417986
V-B_calibrated,R14,BSDC91,captures/current,,,cuda:1,ok,1200,610.2686159365626,45.423147851729304,40.79366456183676,29.47779586356732,61.05030772097251,107.73875908260017,89.58258677095026,1201.0178164436031,1006.8388358519042,656.3305775445591,-0.16939862614063017,0.98552069067518,0.007285170744916969,23,22.63631420622636,13.98843928256785,23.568147341818616,8.797670603374572,4.473064936591548,10.35198043532602,5.925115419743494,8.0,99.91666666666667,95.16666666666667
V-B_calibrated,R15,BS2DCE,captures/current,,,cuda:0,ok,1200,500.9813035851266,62.41059714700827,43.47952490248647,38.54440982749561,76.1310427057339,137.3987112541218,88.9248544133796,1387.328441953672,1278.0057789047114,663.637786087753,-0.9971005268837335,-0.07374592703735842,0.018763729202414606,22,22.50267907638378,14.552704433364505,26.360718964891387,7.109638421075566,9.30065544826862,9.209607778175332,4.879860674569589,8.0,99.75,95.0
V-B_calibrated,R15,BSDC91,captures/current,,,cuda:1,ok,1200,594.0771083201489,57.84542294617943,30.995075810321048,34.39741423656265,65.65938050695763,119.75331630097233,89.09657408354282,1381.915667900248,1262.784051630513,660.7482551231602,-0.9962337357037472,-0.0852627837641332,-0.01576710342920386,22,22.531091169001886,10.850908666588102,16.87938712304847,3.481428898988575,6.5631729346415355,8.255507559807475,3.8229609565055935,8.0,99.75,91.75
