version,solver,solver_family,eval_set,metric,point_mm,ci_low_mm,ci_high_mm,n_positions,n_boot,seed,source
v1-old,T1+F5,external_position_filter,noG,p95_3d,377.7214827269525,214.01928295365317,421.3367418238901,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,noG,rms_3d,199.50432464249997,155.89164878945522,242.67340101601735,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,noG,repeat_d3_std_median,18.114665209707056,16.284644695590938,21.62441123772423,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,noG,vertical_abs_p95,374.9047442116709,198.1478905844197,420.9349972531864,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T1+F5,external_position_filter,noG,horizontal_median,72.0097754769331,51.071972866008686,80.76798253508402,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,median_3d,167.6754767581387,100.2862493789526,215.2671625080556,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,p95_3d,316.34876113247066,225.72161272158252,422.6836732131949,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,rms_3d,194.02312113770617,152.59595738346405,234.65820547823392,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,repeat_d3_std_median,62.85817666612623,54.538636037578236,69.24441093344156,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,vertical_abs_p95,306.2145364008112,224.2313550223456,421.5998800537459,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,all8,horizontal_median,53.06639973143113,29.960354195220628,74.07336476729904,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,median_3d,159.6191057559388,117.11108364117656,196.70015341666272,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,p95_3d,382.1173709770638,211.6264237086254,431.8034242626713,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,rms_3d,201.58638772291,155.25167429028406,246.95610243551272,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,repeat_d3_std_median,57.97371854607856,51.419927525567786,70.4482215252021,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,vertical_abs_p95,379.1894600984974,197.35062040288145,431.4330943177242,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F0,external_position_filter,noG,horizontal_median,72.8087881715897,51.08739332271096,83.57641892600621,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
v1-old,T2+F1,external_position_filter,all8,median_3d,169.5141917458156,99.0515640564295,218.90626343102244,24,10000,42,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/filtered_deployment/tables/filtered_static_abs_errors_per_session.csv
