version,ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic
v3-lite,ID29,mid,ABEF,456.8036966523453,577.4999784184344,120.69628176608904,0.6962817660890437,0.6962817660890437,16.80369665234531,17.499978418434353,47.01130831104632,25.84639824272429,15.935989320651053,44.01426695040142,23.925315775679778,47,47,182.03615743703634,138.6100089299576
v3-lite,ID30,mid,BCGF,489.21339324488696,560.6489541104555,71.43556086556856,-48.56443913443144,48.56443913443144,49.21339324488696,0.6489541104555201,16.854875841983613,30.20522101013976,19.52228880064504,48.85691986029816,33.749982048869505,46,46,103.18752081322977,91.85318933007154
v3-lite,ID31,mid,CDHG,431.4863258240884,547.2078331178529,115.72150729376455,-4.278492706235454,4.278492706235454,-8.513674175911603,-12.792166882147058,26.474101808319105,21.59966201889874,16.060547661092997,37.230667606860514,27.391035219290803,46,46,102.14141550855149,97.33829902685328
v3-lite,ID32,mid,ADHE,499.2711817457875,571.0261292141323,71.75494746834482,-48.245052531655176,48.245052531655176,59.27118174578749,11.026129214132311,49.75348712911008,21.50456725569213,18.25100753570443,32.88247325545974,30.729268135422803,46,46,96.1076556945989,106.16323951183811
v3-lite,ID33,high,ABEF,452.8516742114113,553.5904212509308,100.73874703951952,-19.261252960480476,19.261252960480476,12.851674211411307,-6.409578749069169,51.490051672144084,34.25098769192557,19.477094314907454,53.905813442752084,31.425863872534286,45,45,147.65225686393177,117.78123887637899
v3-lite,ID34,high,BCGF,477.3341095824307,535.8046970536337,58.47058747120303,-61.52941252879697,61.52941252879697,37.3341095824307,-24.19530294636627,24.880334663093798,23.81504654237646,13.273394116232417,46.18207108915342,21.101971153102905,44,44,83.79754317937793,71.48504714431374
v3-lite,ID35,high,CDHG,457.0663124657762,542.6188324219436,85.55251995616737,-34.44748004383263,34.44748004383263,17.066312465776207,-17.38116757805642,28.25793318657366,22.867331277535197,18.32907140483765,41.69957749019093,30.424856717678093,45,45,107.53643401714397,95.61749901527884
v3-lite,ID36,high,ADHE,461.40700692964026,534.1838648253744,72.77685789573411,-47.22314210426589,47.22314210426589,21.40700692964026,-25.81613517462563,34.36846547729355,20.1245651409996,16.083081087363432,32.88917940562444,25.55818998050625,44,44,83.42464727641386,75.08524720337114
v3-lite,ID37,high-extra,suspect,457.89453842605997,540.3060298973922,82.41149147133228,-37.58850852866772,37.58850852866772,17.894538426059967,-19.69397010260775,20.28481050598376,18.18220362663808,26.10836363561245,24.35592690276593,48.57253244436314,43,43,102.98422412745342,104.98855888052456
v3-lite,ID38,vertical,ABEF,441.4352791876162,517.1887690557745,75.75348986815834,-44.24651013184166,44.24651013184166,1.4352791876161746,-42.811230944225485,18.635424133943232,15.837268622161174,13.666101702435215,25.453334649522283,23.89503490843137,42,43,69.20324965411164,72.62054747450406
v3-lite,ID39,vertical,BCGF,444.69007906651564,542.6525244526719,97.96244538615622,-22.03755461384378,22.03755461384378,4.690079066515636,-17.347475547328145,22.542756313921632,17.62699121671464,16.830658537399383,32.06160461595066,29.181664567240993,43,43,96.3116825737699,91.06929405989274
v3-lite,ID40,vertical,CDHG,440.37375283969817,522.938957395338,82.56520455563981,-37.43479544436019,37.43479544436019,0.3737528396981702,-37.06104260466202,13.117758696447604,14.439875351171642,15.32960772707662,24.27338063108041,25.572782887237736,44,44,67.87877615251814,63.271374611030524
v3-lite,ID41,vertical,ADHE,430.6697392373857,526.3565842250056,95.68684498761985,-24.31315501238015,24.31315501238015,-9.330260762614273,-33.64341577499442,16.15932714384991,25.276774317230913,17.887007473376013,46.70214946152788,32.87076096132357,43,43,92.37228284438781,94.70441695020612
v4-io,ID25,planar,none,465.12353862777525,595.1753441777324,130.05180554995718,10.05180554995718,10.05180554995718,25.123538627775247,35.17534417773243,53.319536474475925,25.17011135923166,15.539107152138598,40.833384371773874,22.697022998044314,48,47,158.3486076160286,144.3004132228468
v4-io,ID26,small,BCGF,461.5953680120262,588.1262585589184,126.53089054689218,6.530890546892181,6.530890546892181,21.5953680120262,28.12625855891838,29.861078619259803,26.998030129220957,19.790736772406607,49.23111202498008,29.546534199119574,48,48,163.94728689694324,146.82997852724893
v4-io,ID27,small,CDHG,464.5166564090367,569.3189317418768,104.80227533284005,-15.197724667159946,15.197724667159946,24.516656409036727,9.318931741876781,62.09211317117517,29.47641260133489,26.603422517229742,52.93604344509067,43.32267707331471,48,48,147.54993412923596,155.36742786540077
v4-io,ID28,small,ADHE,469.91098739535124,595.2541766627733,125.34318926742202,5.343189267422019,5.343189267422019,29.910987395351242,35.25417666277326,43.89387351045923,24.176703203086237,21.54310482654305,34.774749295697895,37.25178319378956,47,47,117.60541944157278,135.6444594065273
v4-io,ID29,mid,ABEF,455.7462760382751,577.6734825663794,121.92720652810436,1.9272065281043638,1.9272065281043638,15.746276038275084,17.673482566379448,63.743253714060316,26.15997777055343,15.022771667000072,43.74741367755414,23.575345747785477,47,47,178.88528801128803,135.30052795078382
v4-io,ID30,mid,BCGF,490.2723549846987,564.8570775595693,74.58472257487063,-45.415277425129375,45.415277425129375,50.27235498469872,4.857077559569348,27.368214920099668,32.51790691842715,21.182201263383636,52.29638081288873,37.92069326370462,46,46,104.35539755475907,96.53446433228305
v4-io,ID31,mid,CDHG,432.44610685355286,549.2979264502276,116.85181959667472,-3.1481804033252843,3.1481804033252843,-7.5538931464471375,-10.702073549772422,27.85902383909417,21.628403733830552,16.702297825021667,36.42710266007046,26.892881438655046,46,46,101.81095112523258,99.1488614525639
v4-io,ID32,mid,ADHE,497.38755951932285,570.8643873358897,73.47682781656681,-46.52317218343319,46.52317218343319,57.38755951932285,10.86438733588966,54.66397526749818,21.752995354048508,18.25673460024851,33.077765563715495,29.142767900730032,46,46,95.51048684580086,106.79091278281274
