version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v2,ID32,499.2795118447644,571.0848920641328,71.80538021936837,-48.194619780631626
v2,ID33,453.10521036038625,553.7624678006229,100.6572574402366,-19.342742559763394
v2,ID34,477.4942918350249,536.0442607145318,58.54996887950688,-61.45003112049312
v2,ID35,457.37993113597037,542.8705931599973,85.4906620240269,-34.5093379759731
v2,ID36,461.4638605589366,534.2830676448685,72.81920708593196,-47.180792914068036
v2,ID37,458.2657518011871,540.5609327725426,82.29518097135553,-37.704819028644465
v2,ID38,441.55725821153464,517.3395648806436,75.78230666910895,-44.21769333089105
v2,ID39,445.06998556291893,542.8741759680905,97.8041904051716,-22.195809594828404
v2,ID40,440.4091373180159,523.1681221981986,82.75898488018271,-37.24101511981729
v2,ID41,431.0386339127349,526.5885896340639,95.54995572132896,-24.450044278671044
v3-full,ID25,467.08959733997835,597.9732554175034,130.88365807752507,10.88365807752507
v3-full,ID26,453.87345891766495,593.03646353956,139.16300462189508,19.163004621895084
v3-full,ID27,458.5854958319656,564.7101804866182,106.12468465465264,-13.87531534534736
v3-full,ID28,463.2795959367558,595.2545344138667,131.97493847711092,11.974938477110925
v3-full,ID29,455.00782545880685,579.8760014593114,124.86817600050455,4.868176000504548
v3-full,ID30,478.47634536739974,566.2628219863651,87.78647661896537,-32.21352338103463
v3-full,ID31,441.44822599420456,552.2927384844029,110.84451249019833,-9.155487509801674
v3-full,ID32,496.7197989976996,572.9908181270334,76.27101912933381,-43.72898087066619
v3-full,ID33,454.20594869856575,548.2480860820921,94.04213738352632,-25.957862616473676
v3-full,ID34,481.00201940689294,546.8472633830589,65.84524397616599,-54.15475602383401
v3-full,ID35,478.13457000658815,556.9881716364016,78.85360162981345,-41.146398370186546
v3-full,ID36,459.5527827203216,530.5502088686114,70.99742614828983,-49.00257385171017
v3-full,ID37,452.20360122107496,532.8231719607865,80.61957073971149,-39.38042926028851
v3-full,ID38,450.2301519562143,528.9425875890744,78.71243563286009,-41.28756436713991
v3-full,ID39,452.07462203471664,547.7598976103573,95.68527557564062,-24.314724424359383
v3-full,ID40,441.1686970484762,526.9821090848246,85.81341203634844,-34.18658796365156
v3-full,ID41,425.0170944736683,517.071071909779,92.0539774361107,-27.9460225638893
v3-lite,ID25,464.46891602274553,593.4138665168105,128.94495049406493,8.944950494064926
v3-lite,ID26,461.0219953631843,585.9917437715869,124.96974840840261,4.969748408402609
v3-lite,ID27,465.54556506106945,569.1990173737406,103.65345231267116,-16.346547687328837
v3-lite,ID28,473.84527918145426,594.3917498205553,120.54647063910107,0.5464706391010736
v3-lite,ID29,456.8036966523453,577.4999784184344,120.69628176608904,0.6962817660890437
v3-lite,ID30,489.21339324488696,560.6489541104555,71.43556086556856,-48.56443913443144
v3-lite,ID31,431.4863258240884,547.2078331178529,115.72150729376455,-4.278492706235454
v3-lite,ID32,499.2711817457875,571.0261292141323,71.75494746834482,-48.245052531655176
v3-lite,ID33,452.8516742114113,553.5904212509308,100.73874703951952,-19.261252960480476
v3-lite,ID34,477.3341095824307,535.8046970536337,58.47058747120303,-61.52941252879697
v3-lite,ID35,457.0663124657762,542.6188324219436,85.55251995616737,-34.44748004383263
v3-lite,ID36,461.40700692964026,534.1838648253744,72.77685789573411,-47.22314210426589
v3-lite,ID37,457.89453842605997,540.3060298973922,82.41149147133228,-37.58850852866772
v3-lite,ID38,441.4352791876162,517.1887690557745,75.75348986815834,-44.24651013184166
v3-lite,ID39,444.69007906651564,542.6525244526719,97.96244538615622,-22.03755461384378
