alpha,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
0.0,130.0,112.8901063926138,118.05804752130288,171.647339469159,-86.38395669249967
0.0,132.0,115.24502027328114,119.89095082842326,173.37110841456777,-89.07515174092485
0.0,134.0,117.64391972259446,121.73198796137656,174.6796985442269,-91.74867796909524
0.0,136.0,120.0838113156502,123.58027057093398,175.95123263390838,-94.40739016162019
0.0,138.0,122.5613668028287,125.43523241072404,177.1974048557591,-97.05000230895914
0.0,140.0,125.06818925121755,127.29712787172872,178.42450354270224,-99.67945702436995
0.05,0.0,73.74160726934194,111.38150564304449,175.10370142910887,133.00755763342698
0.05,2.0,72.54355754929377,108.98542841705941,170.52852281110418,128.43647554928052
0.05,4.0,71.40655941954162,106.64090999618344,166.06312247518855,123.91018831297632
0.05,6.0,70.34603685959095,104.35170378233236,161.70672507489303,119.43079155336682
0.05,8.0,70.33059418739964,102.11971954099282,157.44818930697426,114.99456466931139
0.05,10.0,70.79655472907433,99.94825495522998,153.29256688688005,110.60370538406497
0.05,12.0,71.25379250523524,97.84068572915169,149.9200387921854,106.25965437381733
0.05,14.0,71.70361260512404,95.80274495134702,147.2196299733326,101.96728234240217
0.05,16.0,72.14251800860562,93.83941122682683,144.58722142006306,97.72747189704747
0.05,18.0,70.75649165252514,91.95654360822633,142.02132499114265,93.53839589341447
0.05,20.0,69.27159518787758,90.15723355976014,139.51664850924416,89.4020327796329
0.05,22.0,67.83354685177312,88.44165528708604,137.07522333532395,85.31779227540622
0.05,24.0,66.89722497681143,86.81552498878884,134.70730321573788,81.28941677448958
0.05,26.0,67.17562051758159,85.2783536623207,132.40263588631774,77.31251972818266
0.05,28.0,67.37776901136905,83.83318556232418,130.16529467878763,73.38841739906934
0.05,30.0,66.69960814968877,82.48153872179967,127.99343814771193,69.5145431843549
0.05,32.0,65.72555542263754,81.22726272041479,125.94402977702984,65.69234862234724
0.05,34.0,64.11857308169002,80.0735429311478,124.17026770273587,61.924417214902455
0.05,36.0,63.75510076461305,79.0198213705406,122.46227326298562,58.20672251292079
0.05,38.0,63.405257547780735,78.0653716615817,120.816089290559,54.54176534135407
0.05,40.0,62.87279975584957,77.20595567158058,119.2144512930381,50.92410500059476
0.05,42.0,61.686688313663126,76.443933860386,117.66120545045817,47.353575398111424
0.05,44.0,59.94272000567078,75.77873553201515,116.15850608124397,43.827041464622454
0.05,46.0,58.47042985583981,75.21204810587287,114.70454369468443,40.3458542815412
0.05,48.0,57.85281441094575,74.74245825338184,113.30311146001848,36.90558820789542
0.05,50.0,57.231998698839604,74.36922605755566,111.94992653436624,33.50562536081944
0.05,52.0,57.9466578090784,74.09198998425633,111.41988519375104,30.14174700630457
0.05,54.0,58.01223410340403,73.91031661196017,111.28255998329566,26.811527334830142
0.05,56.0,58.20919592427572,73.82356087714295,111.20364693730669,23.513947607287975
0.05,58.0,58.55014785917828,73.82608179068775,111.27792293759954,20.246297285895704
0.05,60.0,58.75614208345338,73.91973365851815,111.89456974703177,17.010225163646002
0.05,62.0,58.866455938384846,74.10132755111985,112.54858414195692,13.801782759240295
0.05,64.0,59.05931788369355,74.36885366989075,113.7797455435811,10.617060989832144
0.05,66.0,59.54910303415494,74.72006485082125,115.6977448073485,7.453532183727991
