version,solver,solver_family,eval_set,n_positions,facing,n,median_3d_mm,p95_3d_mm,rms_3d_mm
v3-full,T3+F2,external_position_filter,all8,24,CDHG,6,88.4879217881093,235.0780102617452,139.88215254659565
v3-full,T3+F3,external_position_filter,all8,24,ABEF,6,72.6763035898793,152.76763073178716,101.31356359539325
v3-full,T3+F3,external_position_filter,all8,24,ADHE,6,112.22216583939371,174.3324903153523,125.29125662111097
v3-full,T3+F3,external_position_filter,all8,24,BCGF,6,56.04043599092266,253.78724884229862,138.8793890904897
v3-full,T3+F3,external_position_filter,all8,24,CDHG,6,89.89892150416901,235.5408198773295,140.8247349393301
v3-full,T3+F4,external_position_filter,all8,24,ABEF,6,72.42454572267675,153.66327636583893,101.56411694542604
v3-full,T3+F4,external_position_filter,all8,24,ADHE,6,111.79678472893559,175.26814979847705,125.4237694258534
v3-full,T3+F4,external_position_filter,all8,24,BCGF,6,55.52533321897404,252.32028949288755,138.15055792450934
v3-full,T3+F4,external_position_filter,all8,24,CDHG,6,88.50100798742173,236.11882239064352,140.17761572699143
v3-full,T3+F5,external_position_filter,all8,24,ABEF,6,72.61179622302812,155.0893995635222,102.19787827678044
v3-full,T3+F5,external_position_filter,all8,24,ADHE,6,111.49738071786804,174.07321195844867,125.0583953154449
v3-full,T3+F5,external_position_filter,all8,24,BCGF,6,55.23220069556578,253.58289364725437,138.81072256900842
v3-full,T3+F5,external_position_filter,all8,24,CDHG,6,88.43326858638568,235.5485606758929,139.89547150485106
v3-full,T4+F0,external_position_filter,all8,24,ABEF,6,105.95672991739414,154.04129128393726,114.25916943034896
v3-full,T4+F0,external_position_filter,all8,24,ADHE,6,135.96166492373266,170.79100789252277,132.36630747093187
v3-full,T4+F0,external_position_filter,all8,24,BCGF,6,72.07869360521303,265.910571401458,152.16313058818912
v3-full,T4+F0,external_position_filter,all8,24,CDHG,6,94.47387823725347,212.47741392952375,129.96955122761398
v3-full,T4+F1,external_position_filter,all8,24,ABEF,6,106.14645620199394,159.4583932040237,116.2275072365729
