mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
dropCE,BCGF,low,2,0.8791485726833344,0.9884838074445724,1.3715815544128418,91.98003244102073,93.37461345459269
dropCE,BCGF,mid,2,1.199403166770935,1.224241280555725,1.5934883952140808,82.58665185358097,91.7116985845129
dropCE,CDHG,high,2,1.0430079996585846,1.1566387921571732,1.4721574783325195,115.29532142575104,93.58867610324731
dropCE,CDHG,low,2,0.8435117602348328,0.8735472440719605,1.3230429291725159,179.82700603813663,90.3413821815154
dropCE,CDHG,mid,2,1.235960602760315,1.2419171452522277,1.6260839700698853,120.72604325592548,92.9225645295587
dropCF,ABEF,high,2,0.8756736218929291,0.9337095707654953,1.302260935306549,106.63362100495875,91.7985012489592
dropCF,ABEF,low,2,0.9108458161354065,0.9141029298305512,1.3262305855751038,113.40754186680162,92.12530703146321
dropCF,ABEF,mid,2,1.0976796746253967,1.1099232614040375,1.4353631138801575,115.40944847510812,93.6684707188454
dropCF,ADHE,high,2,0.8919974267482758,0.9304439693689346,1.2994134426116943,104.66248926254788,91.96502914238135
dropCF,ADHE,low,2,0.8427630960941315,0.8665083974599839,1.2789700627326965,137.55633401300634,91.09075770191507
dropCF,ADHE,mid,2,1.0165320336818695,1.0979482620954513,1.3773174285888672,77.7054933473849,90.7993338884263
dropCF,BCGF,high,2,0.9469961822032928,0.951780304312706,1.3476393818855286,109.62870113291399,92.75603663613657
dropCF,BCGF,low,2,0.9280622899532318,0.9512124091386795,1.350803554058075,91.98003244102073,93.37461345459269
dropCF,BCGF,mid,2,1.2108922004699707,1.2950826644897462,1.5525413751602173,82.58665185358097,91.7116985845129
dropCF,CDHG,high,2,1.0057505667209625,1.093654039502144,1.397797405719757,115.29532142575104,93.58867610324731
dropCF,CDHG,low,2,0.8872269988059998,0.9095676004886627,1.3147647380828857,179.82700603813663,90.3413821815154
dropCF,CDHG,mid,2,1.1252617239952087,1.1404501616954803,1.4646433591842651,120.72604325592548,92.9225645295587
dropCG,ABEF,high,2,0.8820855021476746,0.949662846326828,1.387834370136261,106.63362100495875,91.7985012489592
dropCG,ABEF,low,2,0.8731282651424408,0.9058239370584488,1.3611321449279785,113.40754186680162,92.12530703146321
dropCG,ABEF,mid,2,1.023915708065033,1.0410917699337006,1.4229462146759033,115.40944847510812,93.6684707188454
dropCG,ADHE,high,2,0.9015839397907257,0.9452977508306504,1.3618987202644348,104.66248926254788,91.96502914238135
dropCG,ADHE,low,2,0.8722845911979675,0.9115451037883758,1.361303985118866,137.55633401300634,91.09075770191507
dropCG,ADHE,mid,2,0.9774123132228851,1.0341550081968307,1.3756096959114075,77.7054933473849,90.7993338884263
dropCG,BCGF,high,2,1.002995103597641,1.0398617714643479,1.4626083970069885,109.62870113291399,92.75603663613657
dropCG,BCGF,low,2,0.9440215229988098,0.980313903093338,1.4584822058677673,91.98003244102073,93.37461345459269
dropCG,BCGF,mid,2,1.0549076795578003,1.0635000824928285,1.4239495396614075,82.58665185358097,91.7116985845129
dropCG,CDHG,high,2,1.0145334303379059,1.0894073754549027,1.4266750812530518,115.29532142575104,93.58867610324731
dropCG,CDHG,low,2,1.0076767206192017,1.080027163028717,1.477418065071106,179.82700603813663,90.3413821815154
dropCG,CDHG,mid,2,1.0739555954933167,1.1033702552318574,1.4234809875488281,120.72604325592548,92.9225645295587
dropCH,ABEF,high,2,0.8650640547275543,0.9343045562505722,1.3131805062294006,106.63362100495875,91.7985012489592
dropCH,ABEF,low,2,0.8950141370296478,0.928244748711586,1.317290186882019,113.40754186680162,92.12530703146321
dropCH,ABEF,mid,2,1.080308973789215,1.110641485452652,1.4281147718429565,115.40944847510812,93.6684707188454
dropCH,ADHE,high,2,0.8930122256278992,0.9321356236934661,1.2999593615531921,104.66248926254788,91.96502914238135
dropCH,ADHE,low,2,0.9735166430473328,1.0520396530628204,1.3698851466178894,137.55633401300634,91.09075770191507
dropCH,ADHE,mid,2,1.0537656545639038,1.0983468651771546,1.3987892270088196,77.7054933473849,90.7993338884263
dropCH,BCGF,high,2,0.9473355710506439,0.9547422498464584,1.3421883583068848,109.62870113291399,92.75603663613657
dropCH,BCGF,low,2,0.8419948518276215,0.9065064042806625,1.292198896408081,91.98003244102073,93.37461345459269
dropCH,BCGF,mid,2,1.0996728539466858,1.113082128763199,1.435402512550354,82.58665185358097,91.7116985845129
dropCH,CDHG,high,2,1.0109474956989288,1.1039703398942948,1.3887121677398682,115.29532142575104,93.58867610324731
dropCH,CDHG,low,2,0.8834281861782074,0.9013131827116012,1.3092785477638245,179.82700603813663,90.3413821815154
dropCH,CDHG,mid,2,1.1935833096504211,1.2634561955928802,1.5152990221977234,120.72604325592548,92.9225645295587
dropDE,ABEF,high,2,0.8752358257770538,0.9349922508001327,1.3126137852668762,106.63362100495875,91.7985012489592
dropDE,ABEF,low,2,0.9457037150859833,0.9515266567468643,1.3778654336929321,113.40754186680162,92.12530703146321
dropDE,ABEF,mid,2,1.085494577884674,1.0948359072208405,1.4401548504829407,115.40944847510812,93.6684707188454
dropDE,ADHE,high,2,1.003777652978897,1.059840515255928,1.4042420983314514,104.66248926254788,91.96502914238135
dropDE,ADHE,low,2,0.9084132611751556,0.9462989538908004,1.3411084413528442,137.55633401300634,91.09075770191507
dropDE,ADHE,mid,2,1.195605993270874,1.299501359462738,1.5641352534294128,77.7054933473849,90.7993338884263
dropDE,BCGF,high,2,0.87687948346138,0.9511843174695969,1.301924705505371,109.62870113291399,92.75603663613657
dropDE,BCGF,low,2,0.8613941371440887,0.9543308287858963,1.31010240316391,91.98003244102073,93.37461345459269
dropDE,BCGF,mid,2,1.0034132301807404,1.0805597573518753,1.3708346486091614,82.58665185358097,91.7116985845129
dropDE,CDHG,high,2,0.9950934052467346,1.0621614515781403,1.3973464369773865,115.29532142575104,93.58867610324731
dropDE,CDHG,low,2,0.8449212908744812,0.8681520640850067,1.2873699069023132,179.82700603813663,90.3413821815154
dropDE,CDHG,mid,2,1.1107612252235413,1.115609210729599,1.4654064178466797,120.72604325592548,92.9225645295587
dropDF,ABEF,high,2,0.8796443343162537,0.9660682201385498,1.3607428073883057,106.63362100495875,91.7985012489592
