config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V5+C_V5,L_V5,C_V5,54.0,67.98280804803129,80.1091708960955,145.92450826661027,67.59884949851492
L_V5+C_V5,L_V5,C_V5,56.0,66.40493157757993,79.04885524279649,142.52004883938912,63.39259637192361
L_V5+C_V5,L_V5,C_V5,58.0,64.6343882645026,78.09515654835573,139.20242063833768,59.22791301525416
L_V5+C_V5,L_V5,C_V5,60.0,63.51051673425066,77.25203213147361,135.96995229262754,55.10275210752694
L_V5+C_V5,L_V5,C_V5,62.0,62.64242848224242,76.51841444837163,132.81180231407805,51.01933856034361
L_V5+C_V5,L_V5,C_V5,64.0,60.09946574030981,75.89558781256562,129.72611258634075,46.97659657549998
L_V5+C_V5,L_V5,C_V5,66.0,58.2291798522124,75.38443652273126,126.71934932211678,42.97239806065521
L_V5+C_V5,L_V5,C_V5,68.0,58.7187334362195,74.98492796548436,123.79903091639032,39.00330007359512
L_V5+C_V5,L_V5,C_V5,70.0,59.43855384696427,74.69461711461875,121.80104986011794,35.06874543104926
L_V5+C_V5,L_V5,C_V5,72.0,58.669311376880174,74.51507562130097,123.64889976737484,31.166801263232205
L_V5+C_V5,L_V5,C_V5,74.0,57.55575016839912,74.4456707714998,125.89735655127734,27.294576385479758
L_V5+C_V5,L_V5,C_V5,76.0,56.61920830126448,74.48425619296654,128.05436599617215,23.4541034511672
L_V5+C_V5,L_V5,C_V5,78.0,57.65700275197459,74.62617477513275,130.09532296474552,19.6469978440845
L_V5+C_V5,L_V5,C_V5,80.0,60.065426857740505,74.86438880779039,131.97801789069533,15.86885339116122
L_V5+C_V5,L_V5,C_V5,82.0,59.24197386664973,75.20045071744393,133.90458433491145,12.11891382352956
L_V5+C_V5,L_V5,C_V5,84.0,59.30355451749663,75.62982721237596,136.18515126489152,8.39787687102069
L_V5+C_V5,L_V5,C_V5,86.0,58.878267988359696,76.1495532296863,138.31955224100668,4.705214912796435
L_V5+C_V5,L_V5,C_V5,88.0,58.60276105051939,76.75531512147026,140.30362592928083,1.041319418785215
L_V5+C_V5,L_V5,C_V5,90.0,58.4849613141654,77.4455278455784,142.17970604650003,-2.5957857124824475
L_V5+C_V5,L_V5,C_V5,92.0,58.78895790229743,78.21651428533862,143.91492126279314,-6.209629213217058
L_V5+C_V5,L_V5,C_V5,94.0,59.90151936151419,79.06483410003607,145.50920475741128,-9.799596013897562
L_V5+C_V5,L_V5,C_V5,96.0,61.57762000928273,79.98764491343117,145.9040018412997,-13.363558403811773
L_V5+C_V5,L_V5,C_V5,98.0,63.26316643912508,80.982752547855,146.2152240844853,-16.90527345878659
L_V5+C_V5,L_V5,C_V5,100.0,64.9633984469081,82.04468665222068,146.55529985018563,-20.426081003067385
L_V5+C_V5,L_V5,C_V5,102.0,66.67690827440629,83.17323574271846,146.92498413139148,-23.923698349334774
L_V5+C_V5,L_V5,C_V5,104.0,68.40405522395434,84.3694000159491,147.32710085743662,-27.40167922023181
L_V5+C_V5,L_V5,C_V5,106.0,70.14644473984627,85.62776979887234,149.34139633363907,-30.859877985576635
L_V5+C_V5,L_V5,C_V5,108.0,71.62054651621699,86.94540487088271,151.70744638292183,-34.29787481078929
L_V5+C_V5,L_V5,C_V5,110.0,73.15193166829293,88.31934467678887,153.0960237224964,-37.71518619989181
L_V5+C_V5,L_V5,C_V5,112.0,74.74306448199773,89.7449927266204,153.42443849206794,-41.11448369683693
L_V5+C_V5,L_V5,C_V5,114.0,76.39477180791877,91.21930540224103,153.71713260271642,-44.49375285614294
L_V5+C_V5,L_V5,C_V5,116.0,77.02201198860675,92.7444149645412,153.98401490442382,-47.85349534770604
L_V5+C_V5,L_V5,C_V5,118.0,78.67715589126956,94.3131391571014,154.22715849319843,-51.19294567206949
L_V5+C_V5,L_V5,C_V5,120.0,80.4940704467285,95.92279798770822,154.4525138358736,-54.51188916966332
L_V4+C_none,L_V4,C_none,0.0,117.775244390862,151.70346048071406,216.4171950702538,211.3825511931235
L_V4+C_none,L_V4,C_none,2.0,114.81726007167714,148.94705535133247,213.36363414744432,206.6356460102568
L_V4+C_none,L_V4,C_none,4.0,111.8805942418397,146.209735112816,210.28964410066183,201.90727102417583
L_V4+C_none,L_V4,C_none,6.0,108.96401799868708,143.49286244572738,207.20786548687585,197.19902696221737
L_V4+C_none,L_V4,C_none,8.0,106.07114896725136,140.79726277971625,204.12425143385175,192.51233990046265
L_V4+C_none,L_V4,C_none,10.0,103.1996366149438,138.12047984741525,201.03297784777357,187.84675926589836
L_V4+C_none,L_V4,C_none,12.0,100.35410217986174,135.46623137641464,197.9441563445637,183.20639343306877
L_V4+C_none,L_V4,C_none,14.0,97.53901907609531,132.83141296657996,194.8569538408557,178.58806390885115
L_V4+C_none,L_V4,C_none,16.0,94.7555743481272,130.2184070474371,191.7740868754619,173.99484836494617
L_V4+C_none,L_V4,C_none,18.0,92.01257442000248,127.62688249025436,188.691904793152,169.42768347859783
L_V4+C_none,L_V4,C_none,20.0,89.95149710755058,125.05781615673516,185.6084671219141,164.88969398229136
