config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V4+C_V5,L_V4,C_V5,40.0,94.41399527862292,104.87566920309747,155.56337267901338,-70.00352583800412
L_V4+C_V5,L_V4,C_V5,42.0,97.0705671957438,106.66232370964258,158.19027124715643,-72.82634089538473
L_V4+C_V5,L_V4,C_V5,44.0,98.7920982797694,108.46233122159744,160.82591034553053,-75.63116171064604
L_V4+C_V5,L_V4,C_V5,46.0,100.52941715731237,110.27341408697409,163.4692589959289,-78.41426937584579
L_V4+C_V5,L_V4,C_V5,48.0,102.28179905582952,112.09536748855594,166.11711877826687,-81.17751680863326
L_V4+C_V5,L_V4,C_V5,50.0,104.84989205001835,113.92705485153876,168.7724141986642,-83.91966772769725
L_V4+C_V5,L_V4,C_V5,52.0,107.6701347511572,115.76696068630488,171.4318323089201,-86.6413843934951
L_V4+C_V5,L_V4,C_V5,54.0,110.49923852353902,117.61493972191556,174.1834921257197,-89.34559439670495
L_V4+C_V5,L_V4,C_V5,56.0,113.33890493776192,119.47013541703576,176.05818041562708,-92.02804829951292
L_V4+C_V5,L_V4,C_V5,58.0,116.18350223890472,121.33272587646998,177.58730631544367,-94.69333280624356
L_V4+C_V5,L_V4,C_V5,60.0,119.03237835918164,123.20074459478312,179.08308230757132,-97.3419940719036
L_V4+C_V5,L_V4,C_V5,62.0,121.87769354667984,125.07311884802712,180.5467977378132,-99.97297387318795
L_V4+C_V5,L_V4,C_V5,64.0,124.7158058239178,126.95003027612437,181.98473534118253,-102.58851971274557
L_V4+C_V5,L_V4,C_V5,66.0,127.51563446096776,128.83092876530537,183.39282041305307,-105.18814875693232
L_V4+C_V5,L_V4,C_V5,68.0,130.03978800629318,130.71649272821244,184.7788445950273,-107.77641202135932
L_V4+C_V5,L_V4,C_V5,70.0,132.57647344094033,132.60483572479086,186.14397419880245,-110.353428038591
L_V4+C_V5,L_V4,C_V5,72.0,134.75211979314955,134.49617150551367,187.4950063326844,-112.92435984071824
L_V4+C_V5,L_V4,C_V5,74.0,136.7800106948812,136.3906074906008,188.83895301345865,-115.48774390189118
L_V4+C_V5,L_V4,C_V5,76.0,138.80851813948078,138.28654045206588,190.17747576419265,-118.04568279365763
L_V4+C_V5,L_V4,C_V5,78.0,140.84061643647408,140.18443347296687,191.52225193383453,-120.59964695697911
L_V4+C_V5,L_V4,C_V5,80.0,142.87332388402416,142.08178968987664,192.866285556534,-123.15077451835968
L_V4+C_V5,L_V4,C_V5,82.0,144.91294630179664,143.97734233979455,194.2095279846536,-125.70420460426776
L_V4+C_V5,L_V4,C_V5,84.0,146.96090823794646,145.87098264161082,195.5592041357466,-128.25524627212917
L_V4+C_V5,L_V4,C_V5,86.0,149.01615068778182,147.76418087791066,196.92294045978915,-130.80843582471442
L_V4+C_V5,L_V4,C_V5,88.0,151.07074021755258,149.65496539976985,198.32914322515376,-133.36553777023445
L_V4+C_V5,L_V4,C_V5,90.0,153.13001813573743,151.54197674465914,200.01626441704263,-135.92597099755204
L_V4+C_V5,L_V4,C_V5,92.0,155.19577835139535,153.4254947544325,201.73123598024728,-138.49145506032306
L_V4+C_V5,L_V4,C_V5,94.0,157.26684375310674,155.30511200144605,203.46839101236552,-141.06526089517726
L_V4+C_V5,L_V4,C_V5,96.0,159.15950333601145,157.1815209041145,205.22789500527725,-143.6494323564208
L_V4+C_V5,L_V4,C_V5,98.0,160.81326602735493,159.0540340623929,207.0121815454777,-146.24516253202898
L_V4+C_V5,L_V4,C_V5,100.0,162.41230411404524,160.924659941396,208.8217045245401,-148.85496867249955
L_V4+C_V5,L_V4,C_V5,102.0,163.95056038230126,162.7902374551702,210.65194880962363,-151.4735777331424
L_V4+C_V5,L_V4,C_V5,104.0,165.43634207111944,164.6523288818693,212.50345742316443,-154.10125547896558
L_V4+C_V5,L_V4,C_V5,106.0,166.86970939971027,166.51053297350347,214.37884097833117,-156.73971993052865
L_V4+C_V5,L_V4,C_V5,108.0,168.24246008579138,168.3627143884933,216.2779193502097,-159.38696470211812
L_V4+C_V5,L_V4,C_V5,110.0,169.55056695363453,170.20958748402492,218.20012630273428,-162.0438396493002
L_V4+C_V5,L_V4,C_V5,112.0,170.79311567409766,172.05192894952455,220.51334351312235,-164.7074387127217
L_V4+C_V5,L_V4,C_V5,114.0,171.97221101422917,173.88917763335246,223.54473602019303,-167.37896143030272
L_V4+C_V5,L_V4,C_V5,116.0,173.09738374981117,175.72268024139763,226.58336295464755,-170.0599287511478
L_V4+C_V5,L_V4,C_V5,118.0,174.50016321805143,177.55275179754025,229.63086591973664,-172.7493853180696
