tag_delay_mm,n_static_cases,n_residuals,raw_rms,raw_p50_abs,raw_p95_abs,norm_rms,case_rms_median,case_rms_p95,status
3.0,23,184,61.85936063759054,28.482050262925213,115.61608887843009,2.2644186120090333,40.89312512848581,88.92783665952602,ok
4.0,23,184,61.967418321971536,28.453910415927794,116.74420678688902,2.270313753264155,40.726365044238044,89.15909754594324,ok
5.0,23,184,62.06659619116812,28.630965179761915,118.01347187049487,2.276239104122919,40.880532078423236,89.4010170305468,ok
6.0,23,184,62.174103020699256,28.676417430853462,119.34092565304987,2.2825290637722024,41.37495269254164,89.64536083899613,ok
7.0,23,184,62.29338349177946,28.325565741621062,120.67689074914449,2.2892746065522127,41.879832758624005,89.89972498008454,ok
8.0,23,184,62.42362852013283,27.988532139022368,122.01951093107888,2.296473051497889,42.39487897511641,90.16377590380687,ok
9.0,23,184,62.56610538184461,27.965966934413018,123.3681704149871,2.3041716824574374,42.919777759199114,90.43714870361873,ok
10.0,23,184,62.72025867525524,28.162065351044475,124.71898394897244,2.3123374928848293,43.4542236340634,90.71944475115227,ok
11.0,23,184,62.88632736269906,28.526013105225502,126.07196923692551,2.3209571452060285,43.997919414244414,91.0102631875493,ok
12.0,23,184,63.064386757669574,28.382104264882628,127.42714188641831,2.329993787738868,44.550576331159874,91.40959936575136,ok
13.0,23,184,63.25237135818302,27.579896187329496,128.78451538842577,2.339287780364598,45.111914105129514,92.05398201044713,ok
14.0,23,184,63.455570869464516,27.681054880347574,129.84119068177557,2.349059847094681,45.68165743223674,92.70208942332722,ok
15.0,23,184,63.663872798543466,28.205724709736614,129.12815504115383,2.359019012351379,46.25954483696114,93.33518089422645,ok
16.0,23,184,63.882418469985225,29.207734767327565,128.41409782776196,2.369366763845415,46.84532354288218,93.97056844437637,ok
17.0,23,184,64.11250899113247,29.9721712618566,127.72992031641232,2.3801278774799526,46.86007851049098,94.61050820694801,ok
18.0,23,184,64.35458216933812,30.422902019627372,127.31312614095928,2.3913079506734483,46.6610521800533,95.2555295883377,ok
19.0,23,184,64.60713160997078,30.685031124560282,126.96238373691628,2.4028201876287887,46.39791645879422,95.90536957452589,ok
20.0,23,184,64.86913529149223,30.88823034106963,126.71127483802312,2.414670069945779,46.18306082900395,96.58196088239515,ok
21.0,23,184,65.14228037525166,30.41631140813911,126.46608964299992,2.426916141131499,45.9793068444729,97.32118656729801,ok
22.0,23,184,65.42359843837092,30.547496342819386,126.22684135463956,2.439488192584439,45.78685867687559,98.06082596956897,ok
23.0,23,184,65.7169976031034,30.647951347720323,125.99354282718191,2.452532715578796,45.605915431211095,98.82462082956235,ok
24.0,23,184,66.0229378349654,31.440172228114534,126.51386726235437,2.4660282027002247,45.43667047942463,99.6039898855076,ok
25.0,23,184,66.34037707639911,31.79894460989135,127.54543166285194,2.4799201702542946,45.27931078066748,100.38971645193746,ok
26.0,23,184,66.66832384090873,32.03326850053827,128.57738495947606,2.494185212443436,45.951055356881675,101.17394209160418,ok
27.0,23,184,67.0064019372896,32.237281861519705,129.61157171994853,2.5088152319003694,46.91202104178073,101.95772819114264,ok
28.0,23,184,67.35337556691515,33.01804910630881,130.11398767885572,2.5237555237371825,47.87828130158146,102.74930086440312,ok
29.0,23,184,67.7060332313865,33.68804483352949,129.48282646508403,2.538879152427751,48.84951432601057,103.53568138942782,ok
30.0,23,184,68.06024861615728,33.40863201250863,128.9613561298568,2.5539232066270405,49.8254216295174,104.20473394485711,ok
31.0,23,184,68.42448838067726,33.41720836638933,128.61472261693012,2.569333604429033,50.80572614044728,104.88121522491383,ok
32.0,23,184,68.79678308504513,33.87509907561844,128.26583757267332,2.5850440461280004,51.79017045659572,105.57375574394456,ok
33.0,23,184,69.17902412084027,34.55899800570978,127.91467430960688,2.601100238749573,52.778522026619456,106.28530767678333,ok
34.0,23,184,69.57117583045716,35.04526286497298,129.02505210466995,2.617502065055576,53.77695225251121,107.00406116335954,ok
35.0,23,184,69.97450579113641,35.161860914123736,130.18213901396788,2.634257005852625,54.7851952379598,107.72995923688472,ok
36.0,23,184,70.3868119377342,34.95528423974133,129.06323039616112,2.6513979831434344,55.68446501618835,108.46293959457081,ok
37.0,23,184,70.80921633726966,35.105996405226506,129.3288285002671,2.668908420382367,55.27178040024881,109.20293508624091,ok
38.0,23,184,71.24110011854974,35.77592270012292,130.90390249026987,2.686764906726279,54.86982598662947,109.94987417787199,ok
39.0,23,184,71.68126729118947,35.87197177098119,132.46051603769956,2.704948622637674,54.47887282492802,110.70368139052799,ok
40.0,23,184,72.12078783843802,35.60434899901429,134.00275370032418,2.722972857378515,54.09919207143108,111.4644442931337,ok
41.0,23,184,72.56791448774217,35.29883244750499,135.53891486096003,2.7412433402946963,53.731054459379244,112.24883104333688,ok
42.0,23,184,73.02398846644499,35.10235128255022,137.07551471221026,2.7598132589526627,54.33017835992124,113.03922300675364,ok
43.0,23,184,73.48860178687815,34.904169365071766,138.61259495204683,2.7786597859937947,55.04213659801628,113.83572573085237,ok
44.0,23,184,73.96218807124124,34.566158130744725,140.17577457288152,2.7977978999102664,55.771668049247886,114.64182187538191,ok
45.0,23,184,74.44545710826141,34.85757018829668,141.84488679814402,2.8172861342228313,56.5182060183429,115.45521835927396,ok
46.0,23,184,74.9360606261606,35.333698587359095,143.5153865258895,2.8369947848440416,57.28118668026279,116.27420227752665,ok
47.0,23,184,75.4367897221668,36.09243983098986,145.18693734613143,2.857057676806738,58.06005153051927,117.1234815863246,ok
48.0,23,184,75.94349235638498,36.621658097126556,146.8598237355018,2.877360566725604,58.85424948689355,117.97732461353009,ok
49.0,23,184,76.45325207317593,37.00915796713798,148.5340466936328,2.8978778088335684,59.66323867016419,118.83530283051323,ok
50.0,23,184,76.96907867543358,37.6808192783094,150.20960254108158,2.9186908634495663,60.486487891790745,119.69733095618352,ok
51.0,23,184,77.49187074444323,38.229688552443804,151.88648711342407,2.939736154588021,61.323477876190864,120.56332803908923,ok
52.0,23,184,78.02168416566107,38.55618533526467,153.71010621905054,2.9610569454046103,62.17370224450186,121.4332477544722,ok
53.0,23,184,78.56026244432496,38.95313733795342,155.71866806495984,2.982691122483482,63.03666828556307,122.30713103929004,ok
54.0,23,184,79.10724190942825,39.431537741378406,157.72733323132437,3.0046297139540927,63.911897538476964,123.18484116935053,ok
55.0,23,184,79.66328224896061,39.975536840908944,159.73609001047393,3.026878357266397,64.798926209531,124.0663108820261,ok
56.0,23,184,80.22894879298502,40.40983432098119,161.74492551275912,3.0493928981663125,65.69730544459712,124.95147154333449,ok
57.0,23,184,80.8030335216832,40.96736337025459,163.6578358889279,3.0722059620958806,66.60660147640715,125.84107611479402,ok
58.0,23,184,81.38300363537293,41.57499660709664,165.22698053175685,3.0952882540983393,67.52639952620355,126.7351886250811,ok
59.0,23,184,81.96873137009835,42.35211034546762,166.79433149726646,3.1184671179433106,68.45629298992326,127.6300956116818,ok
60.0,23,184,82.56168484261828,42.67972899073379,168.32882631905352,3.1418616941753257,69.39588530599555,128.5366701916687,ok
61.0,23,184,83.15716927993208,42.381107945775284,169.55113463580125,3.1653153307646873,70.34480160148205,129.47593785426844,ok
62.0,23,184,83.75502163966473,42.213825884056405,170.66394578065768,3.1887497709707833,71.3026815144229,130.37836772170982,ok
63.0,23,184,84.3593727835778,42.125045825256166,171.77569308597208,3.21244757052741,72.26917890273097,131.28414139058467,ok
64.0,23,184,84.95818056568264,42.40285343139681,172.94105865937414,3.2361267433343723,73.24396151926106,132.19321339218325,ok
65.0,23,184,85.56483334561904,42.384585794137365,174.47779657519962,3.260072132873379,74.04769304696724,133.1055387675174,ok
66.0,23,184,86.17883428395426,42.14141095017976,176.0156719723303,3.2842634077115083,74.91601259713036,134.02314680876214,ok
67.0,23,184,86.79421929688064,41.89479607764383,177.55470876061995,3.308512511881686,76.03226840429996,134.95905790436797,ok
68.0,23,184,87.41296314928096,41.90156428033947,179.09492290813648,3.3328670247153007,77.09902556275347,135.89807134012645,ok
69.0,23,184,88.03704967504483,41.83698351500243,180.6367253315118,3.357417716416413,78.16407434851047,136.84078898399807,ok
70.0,23,184,88.66745526318239,42.42910486871119,182.18002680263598,3.382191900834066,79.23098908325328,137.7890489814399,ok
71.0,23,184,89.30449771138342,42.94200045470075,182.08064434943483,3.4071712494074786,80.24790007329966,138.74276608948566,ok
