row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L1:I4:T8,cpu_golden,18.50395553500857,,,,,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I4:T8,torch_gpu,2.027299598004902,0.0,1.0,2.027299598004902,2.027299598004902,partial_raw_0005,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0005_cuda1
R2:L1:I7:T6,simulate_imu_prior,0.5603224349906668,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I7:T6,cpu_golden,18.360198830996524,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I7:T6,torch_gpu,2.0962097699957667,0.0,1.0,2.0962097699957667,2.0962097699957667,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I7:T8,simulate_imu_prior,0.5652070400101366,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I7:T8,cpu_golden,18.558569614004227,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I7:T8,torch_gpu,1.906492253008764,0.0,1.0,1.906492253008764,1.906492253008764,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T6,simulate_imu_prior,0.5231668329943204,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T6,cpu_golden,18.48682642300264,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T6,torch_gpu,1.8866089770017425,0.0,1.0,1.8866089770017425,1.8866089770017425,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T8,simulate_imu_prior,0.5412200230057351,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T8,cpu_golden,18.86701563501265,,,,,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I8:T8,torch_gpu,1.9595150139939503,0.0,1.0,1.9595150139939503,1.9595150139939503,partial_raw_0006,cuda:0,nightly_1080ti_20260604T231033Z_partial_raw_0006_cuda0
R2:L1:I1+I3+I7:T6,simulate_imu_prior,0.5215759620041354,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I3+I7:T6,cpu_golden,17.84169909900811,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I3+I7:T6,torch_gpu,2.0260555730055785,0.0,1.0,2.0260555730055785,2.0260555730055785,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I3+I7:T8,simulate_imu_prior,0.5282111679989612,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I3+I7:T8,cpu_golden,18.593892056000183,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I3+I7:T8,torch_gpu,2.0035062690003542,0.0,1.0,2.0035062690003542,2.0035062690003542,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T6,simulate_imu_prior,0.5707834860077128,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T6,cpu_golden,18.24878059400362,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T6,torch_gpu,1.8521539240027776,0.0,1.0,1.8521539240027776,1.8521539240027776,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T8,simulate_imu_prior,0.5247437689977232,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T8,cpu_golden,18.50748992100125,,,,,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L1:I1+I2+I3+I8:T8,torch_gpu,1.9584855860011885,0.0,1.0,1.9584855860011885,1.9584855860011885,partial_raw_0007,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0007_cuda1
R2:L2:I0:T6,simulate_imu_prior,0.5236213239986682,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I0:T6,cpu_golden,18.27462814100727,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I0:T6,torch_gpu,2.081220134990872,0.0,1.0,2.081220134990872,2.081220134990872,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I0:T8,simulate_imu_prior,0.5725081330019748,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I0:T8,cpu_golden,19.354877468998893,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I0:T8,torch_gpu,1.99501354599488,0.0,1.0,1.99501354599488,1.99501354599488,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I1:T6,simulate_imu_prior,0.5410164089989848,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I1:T6,cpu_golden,19.0142988019943,,,,,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
R2:L2:I1:T6,torch_gpu,1.98826486399048,0.0,1.0,1.98826486399048,1.98826486399048,partial_raw_0008,cuda:1,nightly_1080ti_20260604T231033Z_partial_raw_0008_cuda1
