L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short,accuracy_rank,rescue_rank
L2,A0,U4,P2,I1,T2,position_fusion,5,98.64551180403092,172.46761710852067,4.081595465326918,110.02781402428202,138.77597181285077,127.36909518574271,191.34655064695076,18.87893353843008,1.0,59.33452088695701,43.06936151655608,142.36199345792426,242.13923474905852,L2 MPU6050/JY61P-like,X_A0_U4_P2_L2_I1_T2,443,291
L2,A0,U4,P0,I8,T2,position_fusion,5,96.6572714001381,172.5027264529218,2.530178604934399,108.60138558085819,136.46143513476355,131.59298672482652,231.8021379954777,59.299411542555916,1.0,59.299411542555916,47.59635242933137,141.3407996637772,149.47532916568167,L2 MPU6050/JY61P-like,X_A0_U4_P0_L2_I8_T2,444,35
L2,A0,U4,P3,I6,T3,position_fusion,5,89.77801796142023,172.6548733639276,2.3057854392187087,103.58386000944407,133.43825034234868,128.895697916956,200.2766290041533,27.62175564022568,1.0,59.14726463155007,51.06959607746333,142.9138857826599,194.52524142930957,L2 MPU6050/JY61P-like,X_A0_U4_P3_L2_I6_T3,445,181
L20,A0,U4,P2,I3,T3,position_fusion,5,93.83160146624024,172.65939824793358,1.5793045984630765,105.74352059578159,132.10129888557748,128.9452658361348,191.34655064695076,18.68715239901717,1.0,59.1427397475441,48.267507796221416,136.5062939098982,231.27994470159783,L20 Xsens MTi-3,X_A0_U4_P2_L20_I3_T3,446,292
L16,A0,U4,P2,I3,T3,position_fusion,5,93.6011330140936,172.74558715094653,1.7323068692893449,105.3495002914279,132.542406043658,128.1820981992836,191.34655064695076,18.60096349600422,1.0,59.056550844531145,48.431166413828386,137.15049930807234,227.3304409114885,L16 ICM-45686,X_A0_U4_P2_L16_I3_T3,447,293
L2,A0,U4,P3,I4,T4,position_fusion,5,90.4022515163037,172.9886860364116,3.017713670294683,104.20666587472344,132.8341569680372,129.51979636146925,200.2766290041533,27.287942967741703,1.0,58.813451959066086,51.08396799043216,143.35090605175134,193.63956943790362,L2 MPU6050/JY61P-like,X_A0_U4_P3_L2_I4_T4,448,188
L20,A0,U4,P1,I0,T3,position_fusion,5,88.66067722623407,173.04049880424003,0.47261378725625725,104.20856807928718,133.40878645751076,125.0086537135902,179.58127537090328,6.540776566663254,1.0,58.76163919123767,51.63061559015283,133.24830456759733,251.55756002751409,L20 Xsens MTi-3,X_A0_U4_P1_L20_I0_T3,449,474
L20,A0,U4,P2,I7,T3,position_fusion,5,93.90297624238215,173.07478429835078,1.4194012554894515,105.09616054369796,132.6013042014681,129.96421127200057,191.34655064695076,18.271766348599993,1.0,58.72735369712693,48.527266973742464,137.44127812100288,230.71652374686536,L20 Xsens MTi-3,X_A0_U4_P2_L20_I7_T3,450,299
L16,A0,U4,P1,I0,T3,position_fusion,5,88.8164728133783,173.1628900516277,0.38655085161577263,104.7334202536728,133.8341848872167,125.39070867936925,179.58127537090328,6.418385319275581,1.0,58.63924794384999,51.67719181167847,133.5807886395125,248.72256497959376,L16 ICM-45686,X_A0_U4_P1_L16_I0_T3,451,478
L2,A0,U4,P1,I3,T5,position_fusion,5,88.98825094213433,173.336789754059,0.8392592249712292,105.240019698348,133.56672196256602,125.81626322046331,179.58127537090328,6.24448561684427,1.0,58.46534824141868,51.6740194607292,133.37726747806838,250.96895759852538,L2 MPU6050/JY61P-like,X_A0_U4_P1_L2_I3_T5,452,480
