d_tag_mm,n_positions,n_frames,frames_input_total,median_3d_mm,p75_3d_mm,p95_3d_mm,rmse_3d_mm,median_horiz_mm,rmse_horiz_mm,median_vert_mm,rmse_vert_mm,signed_vertical_slope_mm_per_m,signed_vertical_slope_r2,fail_rate,residual_rms_median_mm,d3_std_median_mm,distance_to_centroid_slope_mm_per_m,distance_to_centroid_slope_r2
96.0,24,28818,28818,61.57762000928273,89.93436285794866,145.9040018412997,79.98764491343117,35.57678325394218,49.010872248148424,48.86069309438062,63.21358825658315,-13.363558403811771,0.016525481184427315,0.0,99.26423603558982,66.47643337894127,-18.21610237842121,0.014809544975096789
98.0,24,28818,28818,63.26316643912508,89.22264647296679,146.2152240844853,80.982752547855,36.90717535296516,49.69603901380312,50.944384225410346,63.94145694747402,-16.90527345878659,0.025827595409501525,0.0,99.85158224563044,66.22967489392352,-20.39041443347617,0.018512055306420083
100.0,24,28818,28818,64.9633984469081,91.76518282684673,146.55529985018563,82.04468665222068,38.244043701134714,50.40409425448874,52.99752033488963,64.73606328968184,-20.426081003067385,0.036761576857249456,0.0,100.4757916948898,66.00933284919812,-22.471852381168304,0.022451695135272787
102.0,24,28818,28818,66.67690827440629,94.59446212681331,146.92498413139148,83.17323574271846,39.531507193137614,51.137541549917245,52.53893832923151,65.59526650715208,-23.923698349334778,0.04908685578705729,0.0,101.05731380560277,65.80460529521783,-24.445859768566695,0.026543694365160575
104.0,24,28818,28818,68.40405522395434,97.43388217403933,147.32710085743662,84.3694000159491,40.05925345858134,51.89783299831995,51.77910281876521,66.51924976373174,-27.40167922023181,0.06258649577980568,0.0,101.59236184171158,65.62227394593961,-26.310876781649426,0.03073393007169567
106.0,24,28818,28818,70.14644473984627,100.11748373468693,149.34139633363907,85.62776979887234,40.591468665382266,52.68405956589534,50.991406655856125,67.50188759128048,-30.859877985576635,0.07705046028305607,0.0,102.20760623541474,65.46323802957306,-28.05342894759767,0.03496416600516672
108.0,24,28818,28818,71.62054651621699,101.6717762837979,151.70744638292183,86.94540487088271,41.13302104987251,53.495585791679275,52.015101327027196,68.53995717073946,-34.29787481078929,0.09227849215590112,0.0,102.85356220750147,65.46044441846318,-29.662433192870893,0.03918063711889175
110.0,24,28818,28818,73.15193166829293,102.38736543747196,153.0960237224964,88.31934467678887,41.68416263056317,54.33454165403081,53.18473492877706,69.6280419614384,-37.715186199891804,0.1080912560272479,0.0,104.21550626748183,65.5715874637551,-31.124607767585275,0.043322015766524724
112.0,24,28818,28818,74.74306448199773,105.08800260113497,153.42443849206794,89.7449927266204,42.250273103567295,55.201233350673505,53.138623982531705,70.76007035090933,-41.11448369683693,0.12435408103431211,0.0,105.53084811266194,65.71011545161203,-32.44931386086061,0.04738577758971063
114.0,24,28818,28818,76.39477180791877,107.81769041144773,153.71713260271642,91.21930540224105,42.824857028889994,56.094882645948495,52.153874348026164,71.93278681522486,-44.49375285614294,0.140908725269549,0.0,107.01429263282526,65.868511272402,-33.670021245383694,0.05142547432236311
116.0,24,28818,28818,77.02201198860675,110.43688728441596,153.98401490442382,92.74441496454119,43.417868231036664,57.016637862350414,51.17623995431721,73.14799733409386,-47.85349534770604,0.15761101224652074,0.0,108.08154048937746,66.0435249062011,-34.82275972052663,0.05549639347046742
118.0,24,28818,28818,78.67715589126956,113.05978191442055,154.22715849319843,94.31313915710139,44.032636833224004,57.965315572545364,50.2026590722912,74.39751614296004,-51.192945672069484,0.17436331212272826,0.0,109.29731701738281,66.23614411870469,-35.914333216857536,0.059591783710931545
120.0,24,28818,28818,80.4940704467285,115.70896325634989,154.4525138358736,95.92279798770822,44.66177128080716,58.940965990333034,50.63565509037922,75.67790762116172,-54.51188916966332,0.1910709166741701,0.0,110.51471481310568,66.43474479191886,-36.95832137980335,0.06372153195517394
