series,material,distance_cm,pos_err_p95_m,failure_gt_0p5m_ratio
Phase3 sand_lime_brick,sand_lime_brick,225,0.06261536478996277,0.0
Phase3 sand_lime_brick,sand_lime_brick,230,0.06284940242767334,0.0
Phase3 sand_lime_brick,sand_lime_brick,235,0.06274060904979706,0.0
Phase3 sand_lime_brick,sand_lime_brick,240,0.06280862540006638,0.0
Phase3 sand_lime_brick,sand_lime_brick,245,0.06255948543548584,0.0
Phase3 sand_lime_brick,sand_lime_brick,250,0.06245313584804535,0.0
Phase3 sand_lime_brick,sand_lime_brick,255,0.062476806342601776,0.0
Phase3 sand_lime_brick,sand_lime_brick,260,0.06240912899374962,0.0
Phase3 sand_lime_brick,sand_lime_brick,265,0.06245022639632225,0.0
Phase3 sand_lime_brick,sand_lime_brick,270,0.062425483018159866,0.0
Phase3 sand_lime_brick,sand_lime_brick,275,0.06240769103169441,0.0
Phase3 sand_lime_brick,sand_lime_brick,280,0.06241607666015625,0.0
Phase3 sand_lime_brick,sand_lime_brick,285,0.06246361881494522,0.0
Phase3 sand_lime_brick,sand_lime_brick,290,0.06254342198371887,0.0
Phase3 sand_lime_brick,sand_lime_brick,295,0.06258072704076767,0.0
Phase3 sand_lime_brick,sand_lime_brick,300,0.06244751065969467,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,0,0.888500452041626,0.5495960116386414
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,5,0.815577507019043,0.46366772055625916
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,10,0.7520661354064941,0.3729707598686218
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,15,0.6866247653961182,0.2755773961544037
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,20,0.6146773099899292,0.1696336269378662
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,25,0.5415632724761963,0.08443403244018555
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,30,0.475039005279541,0.034081682562828064
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,35,0.4148280918598175,0.011013134382665157
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,40,0.362667053937912,0.0028685801662504673
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,45,0.3179740905761719,0.0007010035333223641
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,50,0.27983415126800537,0.000101461038866546
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,55,0.24662937223911285,1.8447461116011254e-05
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,60,0.2184881567955017,9.223730558005627e-06
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,65,0.19401954114437103,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,70,0.17341546714305878,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,75,0.15499074757099152,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,80,0.14012576639652252,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,85,0.1275542676448822,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,90,0.1155085489153862,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,95,0.10705496370792389,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,100,0.09909544140100479,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,105,0.09232963621616364,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,110,0.08704934269189835,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,115,0.08236561715602875,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,120,0.07889002561569214,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,125,0.07591894268989563,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,130,0.07345890998840332,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,135,0.07138746231794357,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,140,0.07004132121801376,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,145,0.06858453899621964,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,150,0.0674896314740181,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,155,0.06688154488801956,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,160,0.06606487184762955,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,165,0.06523631513118744,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,170,0.06510408967733383,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,175,0.06428007781505585,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,180,0.06411731988191605,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,185,0.06358058005571365,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,190,0.06344855576753616,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,195,0.06336463242769241,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,200,0.06334293633699417,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,205,0.06332617253065109,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,210,0.06303443014621735,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,215,0.06279921531677246,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,220,0.0629376471042633,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,225,0.06275534629821777,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,230,0.06264366954565048,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,235,0.06276831775903702,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,240,0.06256259232759476,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,245,0.06253122538328171,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,250,0.06242438033223152,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,255,0.06276589632034302,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,260,0.06234041973948479,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,265,0.06274490803480148,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,270,0.06270504742860794,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,275,0.06259267032146454,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,280,0.06261973083019257,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,285,0.06262633204460144,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,290,0.06266442686319351,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,295,0.06225576251745224,0.0
Phase3 reinforced_concrete_C30_37,reinforced_concrete_C30_37,300,0.06260892003774643,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,0,0.9983417987823486,0.6489540338516235
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,5,0.9098421335220337,0.5685968995094299
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,10,0.8317469954490662,0.47884997725486755
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,15,0.764043390750885,0.3888171315193176
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,20,0.7010185718536377,0.2934345304965973
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,25,0.6324539184570312,0.1917429119348526
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,30,0.5587451457977295,0.09985610842704773
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,35,0.4883860945701599,0.042170897126197815
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,40,0.42609015107154846,0.014425914734601974
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,45,0.3727644681930542,0.003938532900065184
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,50,0.32695624232292175,0.000710227235686034
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,55,0.2871996760368347,0.00015680342039559036
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,60,0.25350502133369446,9.223730558005627e-06
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,65,0.22427885234355927,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,70,0.1995883285999298,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,75,0.1772492229938507,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,80,0.15915392339229584,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,85,0.14373737573623657,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,90,0.12910619378089905,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,95,0.11880137026309967,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,100,0.10908301174640656,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,105,0.10048970580101013,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,110,0.09390652179718018,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,115,0.08813945949077606,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,120,0.08351274579763412,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,125,0.07978027313947678,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,130,0.0765429437160492,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,135,0.07402673363685608,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,140,0.0721680298447609,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,145,0.07033359259366989,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,150,0.06894630193710327,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,155,0.06800377368927002,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,160,0.06702223420143127,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,165,0.06603031605482101,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,170,0.06579191982746124,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,175,0.06482101231813431,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,180,0.0645507201552391,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,185,0.06391420215368271,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,190,0.06378664821386337,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,195,0.06361225992441177,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,200,0.06354881823062897,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,205,0.06353170424699783,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,210,0.06321336328983307,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,215,0.06292358785867691,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,220,0.06305459886789322,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,225,0.06286612898111343,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,230,0.06274602562189102,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,235,0.06283612549304962,0.0
Phase3 reinforced_concrete_C40_50,reinforced_concrete_C40_50,240,0.06261371076107025,0.0
