sample_utc,gpu_index,gpu_util_pct,mem_used_mb,mem_total_mb,temperature_c,power_w
2026-06-05T12:40:48.044591+00:00,1,0.0,234.0,11264.0,44.0,9.44
2026-06-05T12:41:03.075852+00:00,0,19.0,822.0,11264.0,51.0,84.03
2026-06-05T12:41:03.075873+00:00,1,21.0,234.0,11264.0,47.0,60.47
2026-06-05T12:41:18.110046+00:00,0,0.0,1046.0,11264.0,53.0,80.37
2026-06-05T12:41:18.110066+00:00,1,0.0,682.0,11264.0,51.0,73.78
2026-06-05T12:41:33.140164+00:00,0,31.0,1046.0,11264.0,51.0,63.53
2026-06-05T12:41:33.140183+00:00,1,0.0,682.0,11264.0,52.0,73.89
2026-06-05T12:41:48.171000+00:00,0,0.0,598.0,11264.0,48.0,14.32
2026-06-05T12:41:48.171020+00:00,1,0.0,682.0,11264.0,52.0,58.67
2026-06-05T12:42:03.202745+00:00,0,21.0,374.0,11264.0,47.0,61.7
2026-06-05T12:42:03.202766+00:00,1,0.0,234.0,11264.0,53.0,75.14
2026-06-05T12:42:18.236007+00:00,0,0.0,150.0,11264.0,45.0,10.76
2026-06-05T12:42:18.236029+00:00,1,16.0,234.0,11264.0,54.0,78.67
2026-06-05T12:42:33.270880+00:00,0,0.0,598.0,11264.0,52.0,79.82
2026-06-05T12:42:33.270903+00:00,1,100.0,458.0,11264.0,54.0,91.07
2026-06-05T12:42:48.302462+00:00,0,0.0,822.0,11264.0,53.0,80.37
2026-06-05T12:42:48.302487+00:00,1,0.0,682.0,11264.0,55.0,75.99
2026-06-05T12:43:03.335789+00:00,0,0.0,598.0,11264.0,55.0,80.85
2026-06-05T12:43:03.335810+00:00,1,0.0,682.0,11264.0,55.0,75.7
2026-06-05T12:43:18.366205+00:00,0,0.0,598.0,11264.0,49.0,11.62
2026-06-05T12:43:18.366226+00:00,1,27.0,906.0,11264.0,54.0,61.29
2026-06-05T12:43:33.400586+00:00,0,0.0,374.0,11264.0,47.0,11.52
2026-06-05T12:43:33.400610+00:00,1,0.0,234.0,11264.0,55.0,75.83
2026-06-05T12:43:48.436939+00:00,0,0.0,374.0,11264.0,50.0,60.76
2026-06-05T12:43:48.436958+00:00,1,0.0,234.0,11264.0,55.0,75.62
2026-06-05T12:44:03.467528+00:00,0,0.0,598.0,11264.0,50.0,61.04
2026-06-05T12:44:03.467549+00:00,1,0.0,10.0,11264.0,54.0,53.31
2026-06-05T12:44:18.510832+00:00,0,0.0,822.0,11264.0,51.0,61.06
2026-06-05T12:44:18.510854+00:00,1,0.0,682.0,11264.0,55.0,75.23
2026-06-05T12:44:33.552558+00:00,0,22.0,822.0,11264.0,51.0,62.69
2026-06-05T12:44:33.552577+00:00,1,0.0,682.0,11264.0,55.0,75.33
2026-06-05T12:44:48.585580+00:00,0,0.0,374.0,11264.0,51.0,57.58
2026-06-05T12:44:48.585605+00:00,1,0.0,906.0,11264.0,55.0,75.33
2026-06-05T12:45:03.615005+00:00,0,0.0,374.0,11264.0,45.0,11.26
2026-06-05T12:45:03.615026+00:00,1,0.0,234.0,11264.0,54.0,58.79
2026-06-05T12:45:18.648233+00:00,0,23.0,374.0,11264.0,48.0,62.02
2026-06-05T12:45:18.648252+00:00,1,0.0,234.0,11264.0,48.0,9.9
