node,sensor_axis,segment_start_s,segment_end_s,frequency_hz,psd
BSF3C79,acc_x_g,1,484,30.6640625,3.7720337376e-09
BSF3C79,acc_x_g,1,484,30.859375,3.72360657413e-09
BSF3C79,acc_x_g,1,484,31.0546875,3.42086982104e-09
BSF3C79,acc_x_g,1,484,31.25,3.3659221489e-09
BSF3C79,acc_x_g,1,484,31.4453125,3.3292916966e-09
BSF3C79,acc_x_g,1,484,31.640625,2.94443343587e-09
BSF3C79,acc_x_g,1,484,31.8359375,2.96297605958e-09
BSF3C79,acc_x_g,1,484,32.03125,2.91460738734e-09
BSF3C79,acc_x_g,1,484,32.2265625,2.89914194291e-09
BSF3C79,acc_x_g,1,484,32.421875,3.04556290122e-09
BSF3C79,acc_x_g,1,484,32.6171875,2.9995282807e-09
BSF3C79,acc_x_g,1,484,32.8125,3.56564557641e-09
BSF3C79,acc_x_g,1,484,33.0078125,3.34452429711e-09
BSF3C79,acc_x_g,1,484,33.203125,3.25129584231e-09
BSF3C79,acc_x_g,1,484,33.3984375,3.08494474638e-09
BSF3C79,acc_x_g,1,484,33.59375,3.32704986796e-09
BSF3C79,acc_x_g,1,484,33.7890625,3.47127368161e-09
BSF3C79,acc_x_g,1,484,33.984375,3.22597452717e-09
BSF3C79,acc_x_g,1,484,34.1796875,3.47431848284e-09
BSF3C79,acc_x_g,1,484,34.375,3.41370672227e-09
BSF3C79,acc_x_g,1,484,34.5703125,2.856731528e-09
BSF3C79,acc_x_g,1,484,34.765625,3.10331164336e-09
BSF3C79,acc_x_g,1,484,34.9609375,3.07832527031e-09
BSF3C79,acc_x_g,1,484,35.15625,3.4583780906e-09
BSF3C79,acc_x_g,1,484,35.3515625,3.212468851e-09
BSF3C79,acc_x_g,1,484,35.546875,3.06179680275e-09
BSF3C79,acc_x_g,1,484,35.7421875,3.38170176073e-09
BSF3C79,acc_x_g,1,484,35.9375,3.61797915075e-09
BSF3C79,acc_x_g,1,484,36.1328125,3.99200810214e-09
BSF3C79,acc_x_g,1,484,36.328125,3.61457767455e-09
BSF3C79,acc_x_g,1,484,36.5234375,3.12421705529e-09
BSF3C79,acc_x_g,1,484,36.71875,3.20049604637e-09
BSF3C79,acc_x_g,1,484,36.9140625,4.09102119701e-09
BSF3C79,acc_x_g,1,484,37.109375,4.01901978776e-09
BSF3C79,acc_x_g,1,484,37.3046875,3.69026793015e-09
BSF3C79,acc_x_g,1,484,37.5,3.90279559481e-09
BSF3C79,acc_x_g,1,484,37.6953125,3.96759145444e-09
BSF3C79,acc_x_g,1,484,37.890625,4.01278995167e-09
BSF3C79,acc_x_g,1,484,38.0859375,3.82790982977e-09
BSF3C79,acc_x_g,1,484,38.28125,3.85924818485e-09
BSF3C79,acc_x_g,1,484,38.4765625,3.37317910055e-09
BSF3C79,acc_x_g,1,484,38.671875,3.20126601583e-09
BSF3C79,acc_x_g,1,484,38.8671875,3.45392998716e-09
BSF3C79,acc_x_g,1,484,39.0625,2.88451559556e-09
BSF3C79,acc_x_g,1,484,39.2578125,3.12751371019e-09
BSF3C79,acc_x_g,1,484,39.453125,3.63528644422e-09
BSF3C79,acc_x_g,1,484,39.6484375,3.56401381173e-09
BSF3C79,acc_x_g,1,484,39.84375,3.24073837324e-09
BSF3C79,acc_x_g,1,484,40.0390625,2.91410419475e-09
BSF3C79,acc_x_g,1,484,40.234375,3.25269751207e-09
BSF3C79,acc_x_g,1,484,40.4296875,3.31149009798e-09
BSF3C79,acc_x_g,1,484,40.625,3.20709389282e-09
BSF3C79,acc_x_g,1,484,40.8203125,3.5716129286e-09
BSF3C79,acc_x_g,1,484,41.015625,3.5372617972e-09
BSF3C79,acc_x_g,1,484,41.2109375,3.7543122891e-09
BSF3C79,acc_x_g,1,484,41.40625,3.58064640264e-09
BSF3C79,acc_x_g,1,484,41.6015625,3.20482027696e-09
BSF3C79,acc_x_g,1,484,41.796875,3.59395335072e-09
BSF3C79,acc_x_g,1,484,41.9921875,3.7162281076e-09
BSF3C79,acc_x_g,1,484,42.1875,3.0412086866e-09
BSF3C79,acc_x_g,1,484,42.3828125,3.36279149199e-09
