experiment,layout_solver,layout_variant,delay_mode,tag_method,tracks_ok,captures_ok,n_overlap_total,err3d_p50_track_median_mm,err3d_p95_track_median_mm,err3d_rmse_track_median_mm,err_horizontal_xz_p50_track_median_mm,err_horizontal_xz_p95_track_median_mm,err_vertical_y_p50_track_median_mm,err_vertical_y_p95_track_median_mm,turn_center_abs_error_3d_track_median_mm,turn_center_abs_error_3d_track_p95_mm,radius_error_abs_track_median_mm,radius_error_abs_track_p95_mm,axis_angle_abs_track_median_deg,residual_rms_track_median_mm,sample_weighted_err3d_p50_mm,sample_weighted_err3d_p95_mm,sample_weighted_err3d_rmse_mm,sample_weighted_horizontal_xz_p50_mm,sample_weighted_horizontal_xz_p95_mm,sample_weighted_vertical_y_p50_mm,sample_weighted_vertical_y_p95_mm,scale_source,baseline_pair,scale_factor
one_baseline,v3-full,one_baseline_scale,solver_delay,T1,34,17,40661,209.01242194180531,373.36704980893836,229.2207790511199,105.80280111564731,224.50382946071926,138.42528178690537,314.876327168044,69.1927514594207,106.26579374125383,155.31752506282828,221.26610440546165,6.58215962078393,141.78935035181144,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,solver_delay,T2,34,17,40661,208.8305362870719,372.16047923325425,228.80627038893732,105.9715581555457,225.45513555181986,138.54061471259146,314.635920268015,69.1934457176072,107.74565444132067,155.31716674084913,221.28193847662013,6.509782425252599,141.68031703063104,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,solver_delay,T3,34,17,40661,216.31314748910063,413.96637521953994,235.77510969373827,113.69570358300447,261.29346660267584,137.9015277549663,341.87867759486466,82.30039839457953,141.4421291184478,139.93326386656855,216.88204009674138,6.348766877349674,147.1438096614114,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,solver_delay,T4,34,17,40661,193.97297351995013,362.0239750388025,219.99739674404358,94.01826556654021,224.51412455703712,118.9005714949223,304.6247117300864,63.93862089071701,110.02732333917095,127.9598316776258,173.6147466776351,6.740756345639828,141.16747048436105,,,,,,,,C-H,C-H,0.9717770391527951
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T1,34,17,40661,111.9734408940005,212.74005967077204,128.83229570534598,63.3969186639781,148.8333812444615,72.48075092454818,182.82329302512792,80.87763035015237,109.11770299905764,16.880150577647186,44.32144430677308,2.5866593305943755,82.70646845370129,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T2,34,17,40661,112.03273395113177,212.45904619677424,128.79324253899213,63.283847856334276,148.79497279107227,72.79426183844038,182.5214788577328,80.86602670381407,109.05502215353407,16.7993810439103,44.36991030443533,2.594401979336705,82.69689751433,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T3,34,17,40661,108.85867725184545,207.57250554690606,126.82384397815565,64.1828672011938,145.19596536430663,73.99780159195652,178.11180103412312,82.6893724965559,104.89557186546439,14.838987357987207,43.69784217174793,2.6319720664958295,83.24700819703774,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,34,17,40661,111.55190081937988,206.67454552537197,128.01187312535745,63.069863284185814,145.98480033640863,72.97275694049773,180.05106931857665,81.9456001462274,111.69128370877226,15.62183743332173,42.66785512849013,2.651621096242441,82.6747857675917,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,solver_delay,T1,34,17,40661,250.126725354503,426.54589081922336,268.0031948259764,123.15329761424795,261.33884610467976,183.79537769361755,368.07009125262533,73.27445296159684,139.93418568695975,196.90434668972318,269.2758556601464,7.831167913432841,161.65796720388752,,,,,,,,D-E,D-E,0.9596743181663339
one_baseline,v3-full,one_baseline_scale,solver_delay,T2,34,17,40661,249.8514825074485,423.68876962374657,267.5998603743688,123.12276401334043,262.14353790134385,184.53867793863867,367.2540017868813,73.3222045777733,139.85704381944072,196.93254857641307,269.45322015613664,7.794232110333443,161.68521244543737,,,,,,,,D-E,D-E,0.9596743181663339
