capture_id,uwb_time_s,uwb_relative_distance_mm,opti_relative_distance_mm,signed_relative_distance_error_mm,abs_relative_distance_error_mm
R05,48.248757,910.6539315073135,979.829645387222,-69.17571387990847,69.17571387990847
R05,48.338557,1316.684170794094,979.6441336234312,337.0400371706627,337.0400371706627
R05,48.507195,1217.1922438398542,980.1860289946187,237.0062148452355,237.0062148452355
R05,48.541164,1122.5766927691436,980.0547155315156,142.521977237628,142.521977237628
R05,48.646006,1143.4283507514067,979.8081467707459,163.6202039806608,163.6202039806608
R05,48.728561,1130.834523950603,980.494820065162,150.33970388544094,150.33970388544094
R05,48.848466,1082.9016727102708,980.2023604125477,102.69931229772305,102.69931229772305
R05,48.939186,1041.6305081558137,980.546944478829,61.08356367698468,61.08356367698468
R05,49.037207,1120.6375379411995,980.6277619651441,140.00977597605538,140.00977597605538
R05,49.141022,1146.0077769472118,979.9926644024574,166.0151125447544,166.0151125447544
R05,49.245934,1251.6117884973762,979.8883787447808,271.72340975259544,271.72340975259544
R05,49.328537,1259.6536126557646,980.102480589568,279.5511320661966,279.5511320661966
R05,49.50329,1191.2744974057828,980.088500760057,211.18599664572582,211.18599664572582
R05,49.568537,1167.568034691243,979.6767210572125,187.89131363403044,187.89131363403044
R05,49.639578,1058.5060655712566,979.8249896186551,78.68107595260153,78.68107595260153
R05,49.741241,1010.4965808251019,979.864088675402,30.632492149699942,30.632492149699942
R05,49.861006,1047.3753542073523,979.1133431138484,68.26201109350393,68.26201109350393
R05,49.929302,1051.326716717982,979.9640378330502,71.36267888493182,71.36267888493182
R05,50.034206,1098.4214434481603,979.6516050039567,118.76983844420363,118.76983844420363
R05,50.151413,1134.2929464695844,979.7189330823909,154.57401338719353,154.57401338719353
R05,50.288524,1214.8193884820769,979.9666493782079,234.852739103869,234.852739103869
R05,50.341036,1225.6613512600404,979.5329566619585,246.12839459808197,246.12839459808197
R05,50.502852,1130.941789274435,980.1767791519765,150.76501012245853,150.76501012245853
R05,50.529275,1104.2236323841496,980.148143012472,124.07548937167758,124.07548937167758
R05,50.653538,1069.8348456836145,979.6217910719616,90.21305461165286,90.21305461165286
R05,50.738504,1024.841129360058,979.3330182633337,45.50811109672429,45.50811109672429
R05,50.836081,1072.5341881590057,979.4418863958807,93.09230176312496,93.09230176312496
R05,50.941144,1148.7515183117457,980.2696025664361,168.4819157453096,168.4819157453096
R05,51.04598,1063.2404358291367,979.7473355471736,83.49310028196305,83.49310028196305
R05,51.128542,1141.7645592295064,980.1753674005265,161.5891918289799,161.5891918289799
R05,51.262035,1228.361984178541,980.1516598217897,248.21032435675124,248.21032435675124
R05,51.36849,1185.4898747496868,978.4481161025612,207.04175864712556,207.04175864712556
R05,51.493193,1081.3666824174638,980.0619274432213,101.30475497424254,101.30475497424254
R05,51.542219,1057.7389564087432,979.9159046490261,77.82305175971715,77.82305175971715
R05,51.645948,1164.2863884994586,979.3626667200502,184.9237217794083,184.9237217794083
R05,51.728501,1141.62829845844,979.9609408252866,161.66735763315342,161.66735763315342
R05,51.833382,1079.788181545717,979.6430353630461,100.14514618267083,100.14514618267083
R05,51.93846,1072.6408663756417,979.5446574177545,93.09620895788726,93.09620895788726
R05,52.035951,1119.8530386875077,979.478685184838,140.3743535026697,140.3743535026697
R05,52.141134,1130.09295423432,979.7881188090779,150.304835425242,150.304835425242
R05,52.246076,1244.2308251262782,979.3887692513991,264.84205587487907,264.84205587487907
R05,52.328542,1183.5421003939102,979.8964356226493,203.64566477126095,203.64566477126095
R05,52.503211,1257.7757659120452,980.186016991271,277.58974892077424,277.58974892077424
R05,52.538553,1221.2150376279124,979.6109455353893,241.60409209252305,241.60409209252305
R05,52.635911,1234.924822476997,979.689848276847,255.23497420014996,255.23497420014996
R05,52.746291,1084.1933779977835,979.481121860942,104.71225613684146,104.71225613684146
R05,52.862273,1017.0124011115432,980.0302619557003,36.9821391558429,36.9821391558429
R05,52.929274,1102.3395056784439,980.4778510430044,121.86165463543944,121.86165463543944
R05,53.033438,1089.3715617598014,980.4183449381137,108.95321682168765,108.95321682168765
R05,53.168517,1116.365374953924,980.529978686191,135.8353962677329,135.8353962677329
R05,53.258329,1126.210991436053,979.9595197963433,146.25147163970973,146.25147163970973
R05,53.341039,1298.697852917782,979.8425346727421,318.85531824503994,318.85531824503994
R05,53.531121,1417.4766089608054,980.2433358137444,437.233273147061,437.233273147061
R05,53.543525,1214.198364348584,980.2390003163821,233.95936403220185,233.95936403220185
R05,53.633319,1109.2669375632463,980.0961895173283,129.170748045918,129.170748045918
R05,53.742477,1082.1196991551067,979.6832006229258,102.43649853218085,102.43649853218085
R05,53.835877,1101.7397776625414,979.6987460919613,122.04103157058012,122.04103157058012
