host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
91.252937,59927,,BS2DCE,,cal_roto,5,success,100,4,4,249,364,0
91.415303,59928,,BS2DCE,,cal_roto,5,success,100,4,4,250,359,0
91.645101,59929,,BS2DCE,,cal_roto,5,success,100,4,4,210,317,0
91.822948,59930,,BS2DCE,,cal_roto,5,success,100,4,4,186,260,0
92.025429,59931,,BS2DCE,,cal_roto,5,success,100,4,4,178,275,0
92.230196,59932,,BS2DCE,,cal_roto,5,success,100,4,4,52,76,0
92.438083,59933,,BS2DCE,,cal_roto,5,success,100,4,4,132,206,0
92.588246,59934,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
92.725572,59935,,BS2DCE,,cal_roto,5,success,99,4,4,125,195,0
92.803094,59936,,BS2DCE,,cal_roto,5,success,100,4,4,144,224,0
93.052942,59937,,BS2DCE,,cal_roto,5,success,100,4,4,150,219,0
93.234922,59938,,BS2DCE,,cal_roto,5,success,100,4,4,214,322,0
93.44431,59939,,BS2DCE,,cal_roto,5,success,100,4,4,169,246,0
93.64503,59940,,BS2DCE,,cal_roto,5,success,100,4,4,186,278,0
93.848604,59941,,BS2DCE,,cal_roto,5,success,100,4,4,200,295,0
94.028203,59942,,BS2DCE,,cal_roto,5,success,100,4,4,227,276,0
94.238094,59943,,BS2DCE,,cal_roto,5,success,100,4,4,182,220,0
94.493231,59944,,BS2DCE,,cal_roto,5,success,100,4,4,170,210,0
94.620595,59945,,BS2DCE,,cal_roto,5,success,100,4,4,142,184,0
94.853193,59946,,BS2DCE,,cal_roto,5,success,100,4,4,137,166,0
95.03526,59947,,BS2DCE,,cal_roto,5,success,100,4,4,173,218,0
95.244107,59948,,BS2DCE,,cal_roto,5,success,100,4,4,231,329,0
95.423017,59949,,BS2DCE,,cal_roto,5,success,100,4,4,274,400,0
95.648391,59950,,BS2DCE,,cal_roto,5,success,100,4,4,214,314,0
95.828457,59951,,BS2DCE,,cal_roto,5,success,100,4,4,225,324,0
96.012739,59952,,BS2DCE,,cal_roto,5,success,100,4,4,139,209,0
96.243342,59953,,BS2DCE,,cal_roto,5,success,100,4,4,82,125,0
96.420574,59954,,BS2DCE,,cal_roto,5,success,100,4,4,65,99,0
96.65323,59955,,BS2DCE,,cal_roto,5,success,100,4,4,120,184,0
96.834942,59956,,BS2DCE,,cal_roto,5,success,100,4,4,133,209,0
97.043088,59957,,BS2DCE,,cal_roto,5,success,100,4,4,214,300,0
97.2232,59958,,BS2DCE,,cal_roto,5,success,100,4,4,188,269,0
97.427487,59959,,BS2DCE,,cal_roto,5,success,100,4,4,230,331,0
97.605857,59960,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
97.762707,59961,,BS2DCE,,cal_roto,5,success,99,4,4,173,256,0
97.863557,59962,,BS2DCE,,cal_roto,5,success,99,4,4,148,201,0
98.040639,59963,,BS2DCE,,cal_roto,5,success,99,4,4,214,304,0
98.220671,59964,,BS2DCE,,cal_roto,5,success,99,4,4,209,263,0
98.455467,59965,,BS2DCE,,cal_roto,5,success,99,4,4,152,187,0
98.633512,59966,,BS2DCE,,cal_roto,5,success,99,4,4,129,153,0
98.864502,59967,,BS2DCE,,cal_roto,5,success,99,4,4,175,206,0
99.023232,59968,,BS2DCE,,cal_roto,5,success,100,4,4,185,211,0
99.225761,59969,,BS2DCE,,cal_roto,5,success,100,4,4,166,236,0
99.428055,59970,,BS2DCE,,cal_roto,5,success,100,4,4,249,351,0
99.640528,59971,,BS2DCE,,cal_roto,5,success,100,4,4,273,398,0
99.840795,59972,,BS2DCE,,cal_roto,5,success,100,4,4,226,337,0
100.020831,59973,,BS2DCE,,cal_roto,5,success,100,4,4,229,328,0
100.255128,59974,,BS2DCE,,cal_roto,5,success,100,4,4,165,254,0
100.433613,59975,,BS2DCE,,cal_roto,5,success,100,4,4,93,136,0
100.618413,59976,,BS2DCE,,cal_roto,5,success,100,4,4,71,109,0
100.825549,59977,,BS2DCE,,cal_roto,5,success,100,4,4,101,159,0
101.025808,59978,,BS2DCE,,cal_roto,5,success,100,4,4,177,276,0
101.228209,59979,,BS2DCE,,cal_roto,5,success,100,4,4,195,272,0
101.440139,59980,,BS2DCE,,cal_roto,5,success,100,4,4,219,324,0
101.640723,59981,,BS2DCE,,cal_roto,5,success,100,4,4,232,328,0
101.820987,59982,,BS2DCE,,cal_roto,5,success,100,4,4,126,190,0
102.085549,59983,,BS2DCE,,cal_roto,5,success,100,4,4,152,204,0
102.216538,59984,,BS2DCE,,cal_roto,5,success,100,4,4,200,272,0
102.443318,59985,,BS2DCE,,cal_roto,5,success,100,4,4,197,254,0
102.595392,59986,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
102.721621,59987,,BS2DCE,,cal_roto,5,success,98,4,4,142,174,0
102.825812,59988,,BS2DCE,,cal_roto,5,success,98,4,4,156,200,0
103.030673,59989,,BS2DCE,,cal_roto,5,success,98,4,4,140,178,0
103.238452,59990,,BS2DCE,,cal_roto,5,success,98,4,4,173,228,0
103.440943,59991,,BS2DCE,,cal_roto,5,success,98,4,4,249,366,0
103.621023,59992,,BS2DCE,,cal_roto,5,success,99,4,4,264,394,0
103.853551,59993,,BS2DCE,,cal_roto,5,success,99,4,4,284,421,0
104.034019,59994,,BS2DCE,,cal_roto,5,success,99,4,4,242,365,0
104.245671,59995,,BS2DCE,,cal_roto,5,success,99,4,4,183,280,0
104.423463,59996,,BS2DCE,,cal_roto,5,success,99,4,4,126,196,0
104.62588,59997,,BS2DCE,,cal_roto,5,success,99,4,4,75,115,0
104.83111,59998,,BS2DCE,,cal_roto,5,success,99,4,4,92,144,0
105.038324,59999,,BS2DCE,,cal_roto,5,success,99,4,4,126,197,0
105.223613,60000,,BS2DCE,,cal_roto,5,success,100,4,4,226,344,0
105.423118,60001,,BS2DCE,,cal_roto,5,success,100,4,4,202,294,0
105.65776,60002,,BS2DCE,,cal_roto,5,success,100,4,4,221,334,0
105.833442,60003,,BS2DCE,,cal_roto,5,success,100,4,4,187,264,0
106.045734,60004,,BS2DCE,,cal_roto,5,success,100,4,4,138,207,0
106.223494,60005,,BS2DCE,,cal_roto,5,success,100,4,4,230,342,0
106.428092,60006,,BS2DCE,,cal_roto,5,success,100,4,4,226,302,0
106.630714,60007,,BS2DCE,,cal_roto,5,success,100,4,4,210,248,0
106.813846,60008,,BS2DCE,,cal_roto,5,success,100,4,4,176,243,0
107.041091,60009,,BS2DCE,,cal_roto,5,success,100,4,4,115,138,0
107.222915,60010,,BS2DCE,,cal_roto,5,success,100,4,4,151,196,0
107.454299,60011,,BS2DCE,,cal_roto,5,success,100,4,4,178,224,0
107.633468,60012,,BS2DCE,,cal_roto,5,success,100,4,4,171,217,0
107.845728,60013,,BS2DCE,,cal_roto,5,success,100,4,4,287,422,0
108.023615,60014,,BS2DCE,,cal_roto,5,success,100,4,4,249,367,0
108.226018,60015,,BS2DCE,,cal_roto,5,success,100,4,4,219,328,0
108.429041,60016,,BS2DCE,,cal_roto,5,success,100,4,4,134,206,0
108.638802,60017,,BS2DCE,,cal_roto,5,success,100,4,4,123,183,0
108.841254,60018,,BS2DCE,,cal_roto,5,success,100,4,4,69,105,0
109.053421,60019,,BS2DCE,,cal_roto,5,success,100,4,4,130,197,0
109.25371,60020,,BS2DCE,,cal_roto,5,success,100,4,4,147,229,0
109.433535,60021,,BS2DCE,,cal_roto,5,success,100,4,4,219,305,0
109.645872,60022,,BS2DCE,,cal_roto,5,success,100,4,4,144,201,0
109.824269,60023,,BS2DCE,,cal_roto,5,success,100,4,4,189,275,0
110.008798,60024,,BS2DCE,,cal_roto,5,success,100,4,4,185,268,0
110.230923,60025,,BS2DCE,,cal_roto,5,success,100,4,4,129,191,0
110.439472,60026,,BS2DCE,,cal_roto,5,success,100,4,4,244,276,0
110.645483,60027,,BS2DCE,,cal_roto,5,success,100,4,4,202,288,0
110.827991,60028,,BS2DCE,,cal_roto,5,success,100,4,4,154,177,0
111.053729,60029,,BS2DCE,,cal_roto,5,success,100,4,4,120,138,0
111.262426,60030,,BS2DCE,,cal_roto,5,success,100,4,4,148,186,0
111.445897,60031,,BS2DCE,,cal_roto,5,success,100,4,4,165,219,0
111.598861,60032,,BS2DCE,,cal_roto,5,success,100,4,4,223,320,0
111.826406,60033,,BS2DCE,,cal_roto,5,success,100,4,4,282,409,0
112.030567,60034,,BS2DCE,,cal_roto,5,success,100,4,4,200,299,0
112.238923,60035,,BS2DCE,,cal_roto,5,success,100,4,4,226,340,0
112.441987,60036,,BS2DCE,,cal_roto,5,success,100,4,4,112,174,0
112.630327,60037,,BS2DCE,,cal_roto,5,success,100,4,4,97,147,0
112.853693,60038,,BS2DCE,,cal_roto,5,success,100,4,4,67,104,0
113.062435,60039,,BS2DCE,,cal_roto,5,success,100,4,4,131,197,0
113.243658,60040,,BS2DCE,,cal_roto,5,success,100,4,4,153,233,0
113.424073,60041,,BS2DCE,,cal_roto,5,success,100,4,4,189,259,0
113.626533,60042,,BS2DCE,,cal_roto,5,success,100,4,4,212,315,0
113.831326,60043,,BS2DCE,,cal_roto,5,success,100,4,4,249,350,0
114.038755,60044,,BS2DCE,,cal_roto,5,success,100,4,4,164,245,0
