host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
35.609591,59642,,BS2DCE,,0,ok,2860,2860,100,172,0
35.609591,59642,,BS2DCE,,2,ok,2889,2889,100,172,0
35.811656,59643,,BS2DCE,,2,ok,2922,2922,100,173,0
35.813854,59643,,BS2DCE,,0,ok,2969,2969,100,173,0
35.813854,59643,,BS2DCE,,5,ok,3058,3058,100,173,0
35.813854,59643,,BS2DCE,,7,ok,2815,2815,100,172,1
36.021778,59644,,BS2DCE,,0,ok,3078,3078,100,174,0
36.021778,59644,,BS2DCE,,2,ok,2923,2923,100,174,0
36.021778,59644,,BS2DCE,,5,ok,2805,2805,100,174,0
36.201622,59645,,BS2DCE,,0,ok,3134,3134,100,175,0
36.201622,59645,,BS2DCE,,2,ok,2667,2667,100,175,0
36.403957,59646,,BS2DCE,,0,ok,3222,3222,100,176,0
36.406473,59646,,BS2DCE,,2,ok,2635,2635,100,176,0
36.406473,59646,,BS2DCE,,5,ok,2469,2469,100,176,0
36.406473,59646,,BS2DCE,,7,ok,3208,3208,100,175,1
36.562288,59647,,BS2DCE,,0,ok,3890,3890,100,177,0
36.562288,59647,,BS2DCE,,2,ok,2609,2609,100,177,0
36.562288,59647,,BS2DCE,,5,ok,2309,2309,100,177,0
36.816471,59648,,BS2DCE,,0,ok,3306,3306,100,178,0
36.816471,59648,,BS2DCE,,2,ok,2889,2889,100,178,0
37.019005,59649,,BS2DCE,,0,ok,3221,3221,100,179,0
37.021164,59649,,BS2DCE,,2,ok,2918,2918,100,179,0
37.021164,59649,,BS2DCE,,5,ok,2048,2048,100,179,0
37.021164,59649,,BS2DCE,,7,ok,3587,3587,100,178,1
37.251132,59650,,BS2DCE,,0,ok,3161,3161,100,180,0
37.251132,59650,,BS2DCE,,2,ok,2965,2965,100,180,0
37.251132,59650,,BS2DCE,,5,ok,1942,1942,100,180,0
37.409094,59651,,BS2DCE,,0,ok,3030,3030,100,181,0
37.409094,59651,,BS2DCE,,2,ok,3010,3010,100,181,0
37.612373,59652,,BS2DCE,,2,ok,2863,2863,100,182,0
37.613957,59652,,BS2DCE,,0,ok,2889,2889,100,182,0
37.613957,59652,,BS2DCE,,5,ok,2799,2799,100,182,0
37.613957,59652,,BS2DCE,,7,ok,3715,3715,100,181,1
37.822361,59653,,BS2DCE,,0,ok,2819,2819,100,183,0
37.822361,59653,,BS2DCE,,2,ok,3047,3047,100,183,0
37.822361,59653,,BS2DCE,,5,ok,2573,2573,100,183,0
38.001703,59654,,BS2DCE,,0,ok,2530,2530,100,184,0
38.001703,59654,,BS2DCE,,2,ok,3165,3165,100,184,0
38.151792,59655,,BS2DCE,,0,ok,2503,2503,100,185,0
38.20419,59655,,BS2DCE,,2,ok,3149,3149,100,185,0
38.20419,59655,,BS2DCE,,5,ok,2283,2283,100,185,0
38.20419,59655,,BS2DCE,,7,ok,3370,3370,100,184,1
38.406828,59656,,BS2DCE,,0,ok,2718,2718,100,186,0
38.406828,59656,,BS2DCE,,2,ok,3147,3147,100,186,0
38.406828,59656,,BS2DCE,,7,ok,3199,3199,100,185,1
38.617085,59657,,BS2DCE,,0,ok,2699,2699,100,187,0
38.617085,59657,,BS2DCE,,2,ok,3057,3057,100,187,0
38.819009,59658,,BS2DCE,,0,ok,2592,2592,100,188,0
