case_id,layout_name,ID,frame_index,d_tag_mm,residual_rms_mm,anchors_input
production_v4io_joint,production_v4io,ID06,120,74.84330443243,79.53373489374272,8
production_v4io_joint,production_v4io,ID06,140,191.2148989301915,123.93683050432341,8
production_v4io_joint,production_v4io,ID06,160,69.52944439466133,74.82495900928487,8
production_v4io_joint,production_v4io,ID06,180,66.77884786132724,75.20547832038042,8
production_v4io_joint,production_v4io,ID06,200,99.08438668891264,59.25867274090893,8
production_v4io_joint,production_v4io,ID06,220,83.79343004495175,88.26804629838759,8
production_v4io_joint,production_v4io,ID06,240,89.66754642708568,79.03665128988409,8
production_v4io_joint,production_v4io,ID06,260,91.57984542300966,60.59282468340429,8
production_v4io_joint,production_v4io,ID06,280,61.73184006147999,76.27318572049204,8
production_v4io_joint,production_v4io,ID06,300,105.20643649449157,85.6829873100876,8
production_v4io_joint,production_v4io,ID06,320,188.84778368985374,101.89518553583854,8
production_v4io_joint,production_v4io,ID06,340,94.87960696797177,68.18311483341415,8
production_v4io_joint,production_v4io,ID06,360,69.01198287372692,80.55622569879779,8
production_v4io_joint,production_v4io,ID06,380,173.84487445303665,110.63072259063533,8
production_v4io_joint,production_v4io,ID06,400,104.31894277475837,76.94582535348583,8
production_v4io_joint,production_v4io,ID06,420,123.6170889014494,71.5379700497929,8
production_v4io_joint,production_v4io,ID06,440,68.9604247688304,90.03429640292639,7
production_v4io_joint,production_v4io,ID06,460,62.527702517675344,68.35679637080541,8
production_v4io_joint,production_v4io,ID06,480,81.21640295445087,77.3955038521518,8
production_v4io_joint,production_v4io,ID06,500,98.42196886951871,74.76050763881784,8
production_v4io_joint,production_v4io,ID06,520,71.04167702464581,67.1696026738249,8
production_v4io_joint,production_v4io,ID06,540,79.53705746343219,61.03292900991825,8
production_v4io_joint,production_v4io,ID06,560,108.27292213490351,57.651317890233045,8
production_v4io_joint,production_v4io,ID06,580,67.03245063359036,77.39923418707019,8
production_v4io_joint,production_v4io,ID06,600,83.262776921224,71.073043583293,8
production_v4io_joint,production_v4io,ID06,620,118.66926227051462,79.16653194139762,7
production_v4io_joint,production_v4io,ID06,640,110.10578862207078,65.03946858209471,8
production_v4io_joint,production_v4io,ID06,660,214.4350625255541,126.5855557183426,8
production_v4io_joint,production_v4io,ID06,680,109.92768818811814,65.36296511772751,8
production_v4io_joint,production_v4io,ID06,700,96.98370485163657,70.53134800067237,8
production_v4io_joint,production_v4io,ID06,720,213.25209759530054,134.17347270146672,8
production_v4io_joint,production_v4io,ID06,740,103.50148908307439,71.20743749269118,8
production_v4io_joint,production_v4io,ID06,760,82.37106563387056,59.06244278753962,8
production_v4io_joint,production_v4io,ID06,780,92.27515608962065,87.85535239285642,8
production_v4io_joint,production_v4io,ID06,800,83.0888098358602,68.10590888149275,8
production_v4io_joint,production_v4io,ID06,820,94.06179932785335,74.98548622551067,8
production_v4io_joint,production_v4io,ID06,840,91.61660807364876,83.92906809681163,8
production_v4io_joint,production_v4io,ID06,860,66.10834901800894,75.59738619406636,8
production_v4io_joint,production_v4io,ID06,880,82.80970567252669,81.54140547564242,8
production_v4io_joint,production_v4io,ID06,900,225.98561260560547,119.7106428060239,8
production_v4io_joint,production_v4io,ID06,920,80.53939863977023,66.02211373334609,8
