experiment_id,wall_time_s,status
X_A0_U4_P0_L7_I4_T2,5.796707308996702,ok
X_A0_U4_P0_L7_I4_T3,5.835452975006774,ok
X_A0_U4_P0_L7_I4_T5,5.269817022010102,ok
X_A0_U4_P0_L7_I7_T2,6.242410125007154,ok
X_A0_U4_P0_L7_I7_T3,5.585907314001815,ok
X_A0_U4_P0_L7_I7_T5,5.5573564730002545,ok
X_A0_U4_P0_L7_I8_T2,5.685483312001452,ok
X_A0_U4_P0_L7_I8_T3,5.265238571999362,ok
X_A0_U4_P0_L7_I8_T5,5.551606156004709,ok
X_A0_U4_P0_L7_I1+I3+I7_T2,6.145384413001011,ok
X_A0_U4_P0_L7_I1+I3+I7_T3,5.541111999002169,ok
X_A0_U4_P0_L7_I1+I3+I7_T5,6.110865359994932,ok
X_A0_U4_P0_L7_I1+I2+I3+I8_T2,5.7762196160038,ok
X_A0_U4_P0_L7_I1+I2+I3+I8_T3,5.791722284993739,ok
X_A0_U4_P0_L7_I1+I2+I3+I8_T5,5.788790099002654,ok
X_A0_U4_P0_L8_I0_T2,6.189669326995499,ok
X_A0_U4_P0_L8_I0_T3,4.9401929390005535,ok
X_A0_U4_P0_L8_I0_T5,5.636198309002793,ok
X_A0_U4_P0_L8_I1_T2,5.800207969004987,ok
X_A0_U4_P0_L8_I1_T3,5.407610562004265,ok
X_A0_U4_P0_L8_I1_T5,5.508445364001091,ok
X_A0_U4_P0_L8_I3_T2,5.936398166988511,ok
X_A0_U4_P0_L8_I3_T3,5.9764575799927115,ok
X_A0_U4_P0_L8_I3_T5,5.676238863990875,ok
X_A0_U4_P0_L8_I4_T2,5.800174495991087,ok
X_A0_U4_P0_L8_I4_T3,6.131732706999173,ok
X_A0_U4_P0_L8_I4_T5,5.842616530004307,ok
X_A0_U4_P0_L8_I7_T2,5.812055545000476,ok
X_A0_U4_P0_L8_I7_T3,5.913187233003555,ok
X_A0_U4_P0_L8_I7_T5,5.511203685004148,ok
X_A0_U4_P0_L8_I8_T2,5.88409601400781,ok
X_A0_U4_P0_L8_I8_T3,5.410613922009361,ok
X_A0_U4_P0_L8_I8_T5,6.084613114013337,ok
X_A0_U4_P0_L8_I1+I3+I7_T2,6.106761235001613,ok
X_A0_U4_P0_L8_I1+I3+I7_T3,5.645995394996135,ok
X_A0_U4_P0_L8_I1+I3+I7_T5,5.973085990000982,ok
X_A0_U4_P0_L8_I1+I2+I3+I8_T2,5.1938084440043895,ok
X_A0_U4_P0_L8_I1+I2+I3+I8_T3,6.043704996001907,ok
X_A0_U4_P0_L8_I1+I2+I3+I8_T5,6.334165542997653,ok
X_A0_U4_P2_L0_I0_T2,6.219101409005816,ok
X_A0_U4_P2_L0_I0_T3,5.47543592400325,ok
X_A0_U4_P2_L0_I0_T5,6.286005878995638,ok
X_A0_U4_P2_L0_I1_T2,6.081380446994444,ok
X_A0_U4_P2_L0_I1_T3,6.055809137003962,ok
X_A0_U4_P2_L0_I1_T5,6.07313030899968,ok
X_A0_U4_P2_L0_I3_T2,6.125927091008634,ok
X_A0_U4_P2_L0_I3_T3,6.0166115250031,ok
X_A0_U4_P2_L0_I3_T5,6.186225747995195,ok
X_A0_U4_P2_L0_I4_T2,6.003180463012541,ok
X_A0_U4_P2_L0_I4_T3,5.981211824007914,ok
X_A0_U4_P2_L0_I4_T5,5.68551956700685,ok
