peer_name,sweep,host_elapsed_s,x_mm,y_mm,z_mm,used_anchors
BS9336,11206,68.400607,779.0778058518914,751.5225088608133,870.1940366156673,8
BS9336,11207,68.498183,1049.5060544458304,830.1211431577026,920.2915738056146,8
BS9336,11208,68.653843,1255.9677730317635,955.8832997443546,803.5388846352871,8
BS9336,11209,68.678111,1477.3040832435813,1164.990937883875,856.5239294739588,8
BS9336,11210,68.805594,1613.2904305410786,1281.8016749309104,933.396583842114,8
BS9336,11211,68.887891,1696.9868303712701,1308.5650456823187,1173.5217358678985,7
BS9336,11212,68.985504,1647.6980198255123,1146.2551424972794,1334.582174520358,8
BS9336,11213,69.139995,1595.9785646809316,1012.6054028786946,1712.64793983542,8
BS9336,11214,69.195611,1327.6712396530672,639.1225766629169,1756.1510576074402,8
BS9336,11215,69.323007,973.062693107641,494.3587216943909,1590.7960046638414,8
BS9336,11216,69.398091,632.7441279567063,460.37859113385576,1349.1354875861684,8
BS9336,11217,69.480513,409.4697552355038,777.560149794874,1115.0810101184475,8
BS9336,11218,69.628993,466.6783422399954,1191.0524495027319,877.0376561567075,8
BS9336,11219,69.705554,521.6155126642074,1589.2432662465512,695.1973361954913,8
BS9336,11220,69.796523,510.8819245950829,1912.223722001736,763.0554510203195,8
BS9336,11221,69.885396,684.3338703111076,2108.0510923336647,1256.5347032806333,8
BS9336,11222,69.990518,692.4996345933743,2085.4109134236564,1524.5949335357368,8
BS9336,11223,70.115093,667.8292846837053,2096.2087871873014,1706.6838278543373,8
BS9336,11224,70.200507,593.8846605858569,2128.075335831382,1997.18216461899,8
BS9336,11225,70.275482,612.0085548855874,1910.2159904844407,1701.0335006266155,7
BS9336,11226,70.424559,562.2899815596695,1649.0136843899256,1595.6795202281087,8
BS9336,11227,70.477955,475.82805289280356,1346.778245306585,1530.8971190084653,7
BS9336,11228,70.633877,706.0536540439007,1053.5692845013327,1771.309663959853,7
BS9336,11229,70.688001,788.5833004091993,967.8039547548169,1728.085845127017,7
BS9336,11230,70.8153,945.3974856511497,1044.8140702103933,1863.1929728180608,8
BS9336,11231,70.890633,967.2466158027432,1172.1284999782497,2106.580047233057,7
BS9336,11232,70.995559,1001.2766870042149,1539.394714025961,2287.6146800281963,8
