version,solver,solver_family,eval_set,ID,center_distance_mm,radial_signed_error_mm,tangential_error_mm,radially_outward
v2,T1+F3,external_position_filter,all8,ID19,779.8893538325998,154.91734270522016,52.6629641440399,True
v2,T1+F3,external_position_filter,all8,ID20,780.296291419316,142.31553792754312,13.368016455373393,True
v2,T1+F3,external_position_filter,all8,ID21,622.457440757399,35.6552988311298,34.48885591782155,True
v2,T1+F3,external_position_filter,all8,ID22,625.807129330668,-11.585735689363464,20.24673051459737,False
v2,T1+F3,external_position_filter,all8,ID23,625.4677339212478,100.82686258942806,66.25389097194305,True
v2,T1+F3,external_position_filter,all8,ID24,623.9880940820714,62.447478366639395,32.174525987042536,True
v2,T1+F4,external_position_filter,all8,ID01,904.8581057484208,90.3787660855059,117.75174199184792,True
v2,T1+F4,external_position_filter,all8,ID02,414.80151183802343,-37.9246035562661,53.675035873605054,False
v2,T1+F4,external_position_filter,all8,ID03,762.7501078007356,325.61410256608417,175.9462788625894,True
v2,T1+F4,external_position_filter,all8,ID04,1065.811558067375,182.9325676849832,176.8386358976827,True
v2,T1+F4,external_position_filter,all8,ID05,692.4979819346567,39.83477045681502,26.651244797572126,True
v2,T1+F4,external_position_filter,all8,ID06,983.0246745750289,110.79254469687837,88.60025130519354,True
v2,T1+F4,external_position_filter,all8,ID07,954.6549679640887,149.08174335252735,122.21143626276829,True
v2,T1+F4,external_position_filter,all8,ID08,580.6086421076762,53.50881257023789,47.15275509430158,True
v2,T1+F4,external_position_filter,all8,ID09,825.5734294328124,4.608137850106975,62.242494652550384,True
v2,T1+F4,external_position_filter,all8,ID10,1063.4564290726642,104.54116939385972,36.66154276698992,True
v2,T1+F4,external_position_filter,all8,ID11,770.8923252279794,45.193641851808806,49.06007005006457,True
v2,T1+F4,external_position_filter,all8,ID12,972.8722083943702,110.81072625909798,83.34518937738513,True
v2,T1+F4,external_position_filter,all8,ID13,164.33330797041327,-71.86860117437759,17.07141364431415,False
v2,T1+F4,external_position_filter,all8,ID14,160.68776077464324,-65.27514033467604,30.300993451251973,False
v2,T1+F4,external_position_filter,all8,ID15,161.88022524167178,-84.9605813509278,20.8368881413234,False
v2,T1+F4,external_position_filter,all8,ID16,147.9126953292345,-7.476431173739005,14.304005198774965,False
v2,T1+F4,external_position_filter,all8,ID17,780.0403542483501,60.805689538149046,22.401647696185197,True
v2,T1+F4,external_position_filter,all8,ID18,785.9969931308584,16.49905442321704,40.964759129437255,True
v2,T1+F4,external_position_filter,all8,ID19,779.8893538325998,151.97828247659183,52.7507244866191,True
v2,T1+F4,external_position_filter,all8,ID20,780.296291419316,144.58224613896738,12.353356986469663,True
v2,T1+F4,external_position_filter,all8,ID21,622.457440757399,35.925422816980856,32.22001637019112,True
v2,T1+F4,external_position_filter,all8,ID22,625.807129330668,-11.163797738055713,20.63788507185916,False
v2,T1+F4,external_position_filter,all8,ID23,625.4677339212478,102.97604030187713,66.39779444731029,True
v2,T1+F4,external_position_filter,all8,ID24,623.9880940820714,64.36852146496145,32.34738439937378,True
v2,T1+F5,external_position_filter,all8,ID01,904.8581057484208,90.9299782563475,117.86782133599107,True
v2,T1+F5,external_position_filter,all8,ID02,414.80151183802343,-36.81721906915979,53.23588792692236,False
v2,T1+F5,external_position_filter,all8,ID03,762.7501078007356,324.32309621258725,175.61673848445213,True
v2,T1+F5,external_position_filter,all8,ID04,1065.811558067375,182.72362964534136,176.3771620228604,True
v2,T1+F5,external_position_filter,all8,ID05,692.4979819346567,39.5002236292085,26.466760383925305,True
v2,T1+F5,external_position_filter,all8,ID06,983.0246745750289,110.86235863371262,88.38550272777857,True
v2,T1+F5,external_position_filter,all8,ID07,954.6549679640887,147.43901266684884,121.25394587235118,True
v2,T1+F5,external_position_filter,all8,ID08,580.6086421076762,53.73566778511582,46.42351126291205,True
v2,T1+F5,external_position_filter,all8,ID09,825.5734294328124,4.711063401355234,61.17562336431414,True
v2,T1+F5,external_position_filter,all8,ID10,1063.4564290726642,103.95599957286069,36.096986083316715,True
v2,T1+F5,external_position_filter,all8,ID11,770.8923252279794,45.00634920599413,48.695672613512045,True
v2,T1+F5,external_position_filter,all8,ID12,972.8722083943702,110.54050733582663,83.29869131291207,True
v2,T1+F5,external_position_filter,all8,ID13,164.33330797041327,-71.00774227140816,16.569926556476588,False
v2,T1+F5,external_position_filter,all8,ID14,160.68776077464324,-65.43427064170425,30.219570995492294,False
v2,T1+F5,external_position_filter,all8,ID15,161.88022524167178,-83.40024777524148,20.31115481348109,False
v2,T1+F5,external_position_filter,all8,ID16,147.9126953292345,-8.07123660839778,14.20985597852467,False
v2,T1+F5,external_position_filter,all8,ID17,780.0403542483501,60.779586381373356,22.439461143929496,True
v2,T1+F5,external_position_filter,all8,ID18,785.9969931308584,16.437215801162697,40.831058587448666,True
v2,T1+F5,external_position_filter,all8,ID19,779.8893538325998,154.08950497679578,52.38169268088279,True
v2,T1+F5,external_position_filter,all8,ID20,780.296291419316,144.24474041215416,12.16195134057567,True
v2,T1+F5,external_position_filter,all8,ID21,622.457440757399,37.52044047113421,32.00341669237993,True
v2,T1+F5,external_position_filter,all8,ID22,625.807129330668,-11.273714499116592,20.87985852252472,False
v2,T1+F5,external_position_filter,all8,ID23,625.4677339212478,103.78718781548574,66.11055316374716,True
v2,T1+F5,external_position_filter,all8,ID24,623.9880940820714,64.40079615296354,32.25594137779422,True
v2,T2+F0,external_position_filter,all8,ID01,904.8581057484208,89.51170368672135,116.85686462820625,True
v2,T2+F0,external_position_filter,all8,ID02,414.80151183802343,-48.055452837890485,58.77676464178899,False
v2,T2+F0,external_position_filter,all8,ID03,762.7501078007356,329.48242362060677,176.7692686380064,True
v2,T2+F0,external_position_filter,all8,ID04,1065.811558067375,183.97814044847826,178.6436648905402,True
v2,T2+F0,external_position_filter,all8,ID05,692.4979819346567,38.873623650867195,26.283687405761192,True
v2,T2+F0,external_position_filter,all8,ID06,983.0246745750289,112.36793876760103,86.4412443513589,True
v2,T2+F0,external_position_filter,all8,ID07,954.6549679640887,146.518761317063,120.86525646123458,True
v2,T2+F0,external_position_filter,all8,ID08,580.6086421076762,49.59188121190455,46.214276504380116,True
v2,T2+F0,external_position_filter,all8,ID09,825.5734294328124,2.407562268368354,69.93045718114449,True
v2,T2+F0,external_position_filter,all8,ID10,1063.4564290726642,106.32759303691401,35.32513357192506,True
v2,T2+F0,external_position_filter,all8,ID11,770.8923252279794,46.23191736915491,50.718957697117844,True
v2,T2+F0,external_position_filter,all8,ID12,972.8722083943702,115.54280693542267,84.65171775083115,True
v2,T2+F0,external_position_filter,all8,ID13,164.33330797041327,-84.6477587490828,17.306513562366906,False
v2,T2+F0,external_position_filter,all8,ID14,160.68776077464324,-64.97683300998516,29.472514977745746,False
v2,T2+F0,external_position_filter,all8,ID15,161.88022524167178,-95.823725900878,23.523774970936092,False
v2,T2+F0,external_position_filter,all8,ID16,147.9126953292345,-6.235252582103665,13.646056254544026,False
v2,T2+F0,external_position_filter,all8,ID17,780.0403542483501,51.47146586148341,20.753697468318485,True
v2,T2+F0,external_position_filter,all8,ID18,785.9969931308584,19.368084586455385,42.5857261298141,True
v2,T2+F0,external_position_filter,all8,ID19,779.8893538325998,147.26167987716155,55.28030308628249,True
v2,T2+F0,external_position_filter,all8,ID20,780.296291419316,141.6853406069885,13.203238050053141,True
v2,T2+F0,external_position_filter,all8,ID21,622.457440757399,26.668343370471867,40.749424888670845,True
v2,T2+F0,external_position_filter,all8,ID22,625.807129330668,-14.204593535113839,18.980391762170655,False
v2,T2+F0,external_position_filter,all8,ID23,625.4677339212478,99.80935461464883,66.94081355849436,True
v2,T2+F0,external_position_filter,all8,ID24,623.9880940820714,59.60715027841875,30.271156495385206,True
v2,T2+F1,external_position_filter,all8,ID01,904.8581057484208,90.57938849057189,118.17876326458517,True
v2,T2+F1,external_position_filter,all8,ID02,414.80151183802343,-38.3477820518065,53.13667734537338,False
v2,T2+F1,external_position_filter,all8,ID03,762.7501078007356,326.3410671212199,175.29140256561354,True
v2,T2+F1,external_position_filter,all8,ID04,1065.811558067375,182.96481235121456,176.55701898650392,True
v2,T2+F1,external_position_filter,all8,ID05,692.4979819346567,40.85001479911659,26.161633331177345,True
v2,T2+F1,external_position_filter,all8,ID06,983.0246745750289,110.63102510373983,87.80589201321361,True
v2,T2+F1,external_position_filter,all8,ID07,954.6549679640887,151.34021912089483,121.49865467485166,True
v2,T2+F1,external_position_filter,all8,ID08,580.6086421076762,54.850982355368515,45.79826678951921,True
v2,T2+F1,external_position_filter,all8,ID09,825.5734294328124,4.0987028114704955,62.47498557993743,True
v2,T2+F1,external_position_filter,all8,ID10,1063.4564290726642,104.88204443041067,35.65780504342152,True
