mount,temporal_region_only,segment_id,start_hardware_s,end_hardware_s,duration_s,start_plateau_center_V4_m,start_uncertainty_m,end_plateau_center_V4_m,end_uncertainty_m,signed_delta_p_V4_m,magnitude_V4_m,delta_p_N_m,magnitude_N_m,start_speed_mps,end_speed_mps,start_stationary_confidence,end_stationary_confidence,start_gyro_median_dps,end_gyro_median_dps,start_accel_norm_residual_g,end_accel_norm_residual_g,attitude_change_deg,gyro_saturated_or_clipped,acceptance_weight,decision
B,vertical_original,B-vertical_original-01,2834.979062,2836.419062,1.4400000000000546,"[2.925498484648768,1.1223835083813936,1.6802291230782243]",0.1821140237941267,"[2.7596045194661207,0.9830661102360323,0.7124326266363533]",0.13686520416007517,"[-0.14893387905262534,-0.13732216223750549,-0.8891008385232606]",0.9118875904594881,"[-0.01829369028076321,-0.04249192872191997,-0.5158871155473874]",0.5179572753600442,0.029359159498289083,0.12146837304308512,0.0,0.0,16.954991783363436,14.979723413842551,0.14309506369142955,0.07803410685978696,2.8855538600266457,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-02,2836.419062,2837.859061,1.4399990000001708,"[2.7596045194661207,0.9830661102360323,0.7124326266363533]",0.13686520416007517,"[2.907628781371207,1.1132806293282265,1.5220556797527833]",0.10021668842154638,"[0.14577987675028492,0.12255798977259003,0.8450237190355898]",0.8662201331388956,"[-0.0010333234589964678,0.03410991897576767,0.5106184027844926]",0.5117574695029772,0.12146837304308512,0.10996151132003609,0.0,0.0,14.979723413842551,16.53699991542065,0.07803410685978696,0.1253901397720053,3.8368644390444393,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-03,2837.859061,2839.179412,1.320350999999846,"[2.907628781371207,1.1132806293282265,1.5220556797527833]",0.10021668842154638,"[2.7569404301426683,0.9543390335336401,0.6244273988572557]",0.09609183386409083,"[-0.1363655610386152,-0.08731353857507274,-0.9467894449224739]",0.9605360343435758,"[-0.01920289403363535,-0.025067714286656557,-0.4607334126271956]",0.46181426888948135,0.10996151132003609,0.0858462206364329,0.0,0.039603960396039604,16.53699991542065,15.043087126618502,0.1253901397720053,0.11341209311971467,5.428003591861341,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-04,2839.179412,2840.259414,1.0800020000001496,"[2.7569404301426683,0.9543390335336401,0.6244273988572557]",0.09609183386409083,"[2.9009337936097155,1.1027415251826542,1.481168011458025]",0.075,"[0.11495380400491984,0.06666303952714436,0.9056973177925765]",0.9153938875428798,"[0.00825562142903836,0.013448875926796156,0.4439400797529314]",0.44422046548973076,0.0858462206364329,0.08796535578066775,0.039603960396039604,0.0,15.057241837417317,18.13149653587746,0.11341209311971467,0.15954824765159026,6.318725494051266,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-05,2840.259414,2841.699130,1.439715999999862,"[2.9009337936097155,1.1027415251826542,1.481168011458025]",0.075,"[2.737223099549689,0.8959890832981106,0.589303138958129]",0.17127444914824788,"[-0.14988068246099528,-0.10729483865644696,-0.9207457892236253]",0.9390150210461615,"[-0.032829429955789545,-0.025657776592987062,-0.5129600235392867]",0.5146494716992754,0.08796535578066775,0.12476280783925996,0.0,0.019801980198019802,18.13149653587746,19.576417131228272,0.16032957934140646,0.07319298059540236,6.035798798858774,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-06,2841.699130,2842.779133,1.0800030000000334,"[2.737223099549689,0.8959890832981106,0.589303138958129]",0.17127444914824788,"[2.9168236568191444,1.1362195396911987,1.4297664689969536]",0.13087594052490226,"[0.16068853197606137,0.14549911716493802,0.8859738397665446]",0.9121076921915926,"[0.013647368306226246,0.018058063456184405,0.4751303382818512]",0.4756691945809606,0.12476280783925996,0.06163485114999947,0.019801980198019802,0.0,19.576417131228272,17.327949582911263,0.07319298059540236,0.1593912459457859,7.521702665274171,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-07,2842.779133,2843.859450,1.0803169999999227,"[2.9168236568191444,1.1362195396911987,1.4297664689969536]",0.13087594052490226,"[2.83517712169202,1.0196235666716607,0.5475441844631836]",0.075,"[-0.09274194997036389,-0.0942643368785725,-0.8888854676471243]",0.8986680193963226,"[-0.031276900702057964,-0.021132940513013305,-0.4646871764308294]",0.4662177791885566,0.06163485114999947,0.1774460994473648,0.0,0.0,17.327949582911263,31.832958112738087,0.1593912459457859,0.22588538656874757,10.32262626528768,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-08,2843.859450,2844.939170,1.0797200000001794,"[2.83517712169202,1.0196235666716607,0.5475441844631836]",0.075,"[2.8975627455186563,1.0412300028488888,1.482623142988144]",0.2341215842478516,"[0.07853040102698472,0.028897293208726804,0.8975743823610784]",0.9014664992727803,"[0.014568339860055332,0.046313386980980774,0.5136974883009048]",0.5159867012109773,0.1774460994473648,0.17470170334020144,0.0,0.0,31.832958112738087,23.401462292948555,0.22588538656874757,0.2109418812486269,10.44988173005542,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
B,vertical_original,B-vertical_original-09,2844.939170,2846.979403,2.0402329999997164,"[2.8975627455186563,1.0412300028488888,1.482623142988144]",0.2341215842478516,"[2.9618544359872745,1.0446820782088546,1.4118074858255931]",0.08682340977919625,"[0.018301899486778517,-0.0489667664975415,-0.02241830390137811]",0.0568795578029879,"[0.03809876122814433,0.13007454177373193,0.35691570236686143]",0.3817849140822559,0.17470170334020144,0.1394415161228463,0.0,0.0,23.40443896583414,18.789017267331342,0.21019379566356577,0.24580523225368178,1.1736184946163286,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
B,vertical_original,B-vertical_original-10,2846.979403,2849.379203,2.399800000000141,"[2.9618544359872745,1.0446820782088546,1.4118074858255931]",0.08682340977919625,"[2.640243369702681,0.7911959762970884,0.5630895368342633]",0.08133348865462234,"[-0.2890910388601915,-0.21217947805631765,-0.8751344084679422]",0.9457557784872642,"[-0.013377794464898023,0.10359164043070664,-0.10273696155124441]",0.14650964685184298,0.1394415161228463,0.07147555302548032,0.0,1.0,18.672170569362915,0.09493517762835002,0.24354564811026436,0.001018958705816253,8.183507536747465,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
