peer_name,sweep,x_mm,y_mm,z_mm,used_anchors,median_abs_residual_mm,p80_abs_residual_mm,rms_residual_mm,median_quality_percent
BSCCF4,10856,811.9485512113571,1938.3346888090248,1637.0946891626286,7,51.41632806733696,64.49222927702185,87.72900590092523,100.0
BSCCF4,10857,972.3860742025307,2089.478950453129,1541.8506434281521,7,35.37000140156033,47.21292456864631,79.59998587785795,100.0
BSCCF4,10858,917.4836278178948,2079.9931979118755,1816.1595592491954,7,57.78383498628364,183.97168952522716,126.37913891706584,100.0
BSCCF4,10859,1187.7742067871131,2192.5309118308187,1385.5950125028135,7,52.44781684823192,258.0559911143673,169.9420684090482,100.0
BSCCF4,10860,1691.3826667330345,2340.74781508311,1203.719814972053,7,49.0814232897651,175.41882420723167,166.92369694211672,100.0
BSCCF4,10861,1829.8306851906095,2304.702758463008,1413.9492121554044,8,94.62566649711971,196.5586836590169,144.56187997411234,100.0
BSCCF4,10862,1746.386997201882,2239.9789061404326,1633.2637173153857,7,79.98020445950124,215.10978879774243,173.5279971670122,100.0
BSCCF4,10863,1750.3345729283053,2305.386426194047,1753.5863224318905,8,66.68438596909937,136.8731172114911,103.93390024900526,100.0
BSCCF4,10864,1538.7199200713483,2458.2710451071785,1917.5632806403555,8,98.12122152498705,160.5787629983328,125.11062589903052,100.0
BSCCF4,10865,1457.2880851164687,2579.484267267917,1905.9371375950273,7,140.00203995025004,216.6277340865588,275.31712538836973,100.0
BSCCF4,10866,1630.1526571382876,2549.048090256534,1930.9760639828328,7,58.50075302868345,197.3094224021206,179.53984101680638,100.0
BSCCF4,10867,1460.8242916061179,2671.2266561492693,1824.931304051548,8,78.7779640584954,127.05425155028618,230.09980345889988,100.0
BSCCF4,10868,1135.1358509937645,2674.0929046494525,1870.238077961752,7,34.58754635780633,60.64953301215612,61.40215209927869,100.0
BSCCF4,10869,927.09440215378,2642.609400484527,1751.3840359893406,8,26.079892275356997,37.817025877041495,31.350287000445654,100.0
BSCCF4,10870,728.4291421698139,2669.687201686628,1486.9398358893905,7,25.700896086164448,37.0911807049466,34.43035521529243,100.0
BSCCF4,10871,570.1967783398633,2647.71102324727,1348.3804362472692,8,53.20521685065842,172.56513408442672,154.96524096512425,100.0
BSCCF4,10872,698.1199649835513,2655.285027677453,1359.2090926619553,7,57.36672910146308,88.08876696211038,69.73261084048927,100.0
BSCCF4,10873,723.4689425084839,2541.2363666398155,1391.9855194742875,7,21.42674290516061,42.77509313884866,35.25589854105847,100.0
BSCCF4,10874,807.0039811668282,2579.244251746981,1316.340890162458,7,38.40594118617719,60.002262078374685,117.29045735628699,100.0
BSCCF4,10875,834.7650038922236,2640.0321885883104,1421.6317982060186,8,71.25659746579686,138.71495046849023,130.21131466309973,100.0
BSCCF4,10876,941.69061826751,2677.8405405189396,1886.9698158724054,8,19.686887129593288,69.66115779479789,97.99335421236538,100.0
BSCCF4,10877,920.7611496767393,2916.180109092743,1915.2731074440403,7,39.67936905857641,45.35366302898974,87.20994315679664,100.0
BSCCF4,10878,1031.8114460257991,3134.318038915427,1571.2580145977154,7,46.82735738253905,114.5470745705913,105.3555028843103,100.0
BSCCF4,10879,901.3364754671721,3140.1146565314284,1509.6471526052842,7,44.2305127392483,107.09974203353454,104.00673124384441,100.0
BSCCF4,10880,872.6433622626912,3270.6113342315552,1379.590934925475,7,50.75223991454277,58.16729048147318,106.96110099665631,100.0
BSCCF4,10881,997.0307086147166,3256.8306390323023,1059.5893767865487,8,49.35250837077865,100.42022999369286,128.84354776279892,100.0
BSCCF4,10882,802.07975432795,3476.284818840913,1527.4730982561578,7,162.158800644439,209.35011879846826,177.21799699176142,100.0
BSCCF4,10883,1073.0327357607077,3272.5005845869764,1290.1600012969209,8,42.98986882887971,108.65647183032557,130.34146078528798,100.0
BSCCF4,10884,1267.5396502468643,3440.3883382373706,1296.828878678483,8,44.61685573339764,110.45624383051504,83.27934829879871,100.0
BSCCF4,10885,1421.6571604009741,3362.2253651893798,1409.6026300735937,7,42.23084865253122,103.06452411496943,122.31136982843628,100.0
BSCCF4,10886,1417.3359407736418,3278.2542074858484,1519.0187564570242,7,42.41680881591719,379.3103619544868,269.45144668805574,100.0
BSCCF4,10887,1603.7242589709847,3395.6846162034744,1768.9566877075722,8,22.5063099303934,82.63319644455073,73.91758292369336,100.0
BSCCF4,10888,1539.7780918227472,3681.8307069384527,1798.8475656816336,8,83.34289921920731,153.70350185341823,122.54589347390281,100.0
BSCCF4,10889,1524.6107679142651,3727.6281249933095,1544.1817385458917,7,73.04347579282148,123.35895699948445,114.95188209834699,100.0
BSCCF4,10890,1316.0960887182623,3905.490028924878,1423.8770715113224,7,44.50639474170566,64.00795031614803,94.68418577980512,100.0
BSCCF4,10891,1343.0582327186876,3829.3976612028778,1234.0857313297397,7,29.116535330204897,39.482456157105126,40.05709642271174,100.0
BSCCF4,10892,1288.9944801440508,3828.7122369781055,1394.6486579488078,7,51.357197003032525,85.01200541293932,148.06174123627036,100.0
BSCCF4,10893,1124.8843316502598,3841.5149749072357,1243.378472432235,7,47.94233590872864,279.3727472497523,215.3894556162231,100.0
BSCCF4,10894,1248.6464772513245,3814.3552461686922,1362.382612698088,7,53.48191972349423,99.30630978799675,82.89581926443313,100.0
BSCCF4,10895,1273.0668901810066,3754.275657549784,1262.3016568645,7,54.93110677387085,59.91701323047146,56.642088756990894,100.0
BSCCF4,10896,1239.5329700484892,3650.335385909734,1258.4259887918931,8,28.29988577438189,54.0092084994778,54.87816261890455,100.0
BSCCF4,10897,1170.029060632823,3637.8187114968355,1455.8221819207783,7,46.32992729704529,183.7731572409033,213.6971003615455,100.0
BSCCF4,10898,1095.3382658339758,3761.2592768213726,1865.6253969983386,7,57.5247637839102,194.19832876951898,194.9471068580818,100.0
BSCCF4,10899,1413.7152646951647,3841.1403065756735,1861.5000052997348,8,45.4537385094211,71.97897746910908,75.82474412512227,100.0
BSCCF4,10900,1547.7844766031578,3947.9482180933524,2002.5804081251422,7,23.402510183975664,42.55337838871811,41.96737785550117,100.0
BSCCF4,10901,1615.9792797182008,4148.716154755965,2038.3528756142455,7,57.47145963271123,121.63778528817092,87.195794077613,100.0
BSCCF4,10902,1964.26645061861,4218.869343828398,2175.8087236242964,8,83.16021388352908,156.00432164323323,120.49564965015324,100.0
BSCCF4,10903,2324.5790878340217,4244.382002095288,2035.1377809708324,8,23.43284498052435,120.68788758504566,128.98021151276464,100.0
BSCCF4,10904,2348.4208012767544,4375.0276703010795,1825.134739379911,7,40.99396957294948,100.97022474821793,287.2152018290982,100.0
BSCCF4,10905,2512.59915653569,4452.676303502679,1646.819175495733,8,67.79843107828947,133.18113396090362,112.07489941913393,100.0
BSCCF4,10906,2624.927518761249,4358.336883000707,1427.1820781723472,7,45.14469517610701,73.05241260451731,79.4910652343152,100.0
BSCCF4,10907,2654.5384604901988,4318.60144216626,1357.364587823739,7,25.416045179017374,30.960776126350723,27.47563895150372,100.0
BSCCF4,10908,2803.8825599583975,4247.379754220267,1371.2777413116223,8,15.040125441239638,30.396702992198524,42.007170229673356,100.0
BSCCF4,10909,2928.022566602584,4173.93971027455,1424.1258384443072,7,59.32392731298023,128.64808445531514,146.4590790966253,100.0
BSCCF4,10910,2938.570445729151,4118.284808951737,1463.5308123914183,7,41.115828964089815,77.58042270632652,161.38599614970357,100.0
BSCCF4,10911,2945.5204199891564,4104.248527433393,1491.8691606869725,8,44.6533742229783,90.88981746426563,64.88162064990452,100.0
BSCCF4,10912,2924.177457626889,4115.061847206479,1587.2088024266768,8,34.364593038148314,55.99792009988605,58.483179259987715,100.0
BSCCF4,10913,3028.899086645879,4091.8773756414316,1603.799626883012,7,49.41686632654887,94.83904844121636,98.23439359025014,100.0
BSCCF4,10914,2982.3499166538068,4053.4393456367557,1579.0712153019163,8,34.12946231785395,84.36682568851668,64.26767842180504,100.0
BSCCF4,10915,2954.1056704833622,4043.747079851954,1560.6549041278004,8,31.776702316605224,40.792882911575724,82.94404355893913,100.0
BSCCF4,10916,3003.534838257914,4028.1601929447456,1512.0520780786132,7,46.89472173178001,86.01512631700763,82.73490637018976,100.0
BSCCF4,10917,2921.1791682625976,4063.3299703615266,1497.36424400248,8,41.55589283368363,86.01479167972914,75.07364941754703,100.0
BSCCF4,10918,2926.236568455054,4091.1919194157576,1454.9684075943346,7,27.069969960031813,63.30785341404137,75.58518120499686,100.0
BSCCF4,10919,2892.2626141026863,4157.411224051911,1445.3546140067715,7,44.088017495325516,140.67698147862237,105.61568084317726,100.0
