start,parameter_index,parameter_name,unit,value,lower_bound,upper_bound,normalized_bound_clearance,raw_robust_gradient,scaled_gradient,projected_gradient,near_bound,gradient_direction_relative_to_bound,active_mask
0,57,yaw_drift:torso:knot_13,rad,-2.798285752830372e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-7.431681587722457e-09,-7.431681587722457e-09,-7.431681587722457e-09,False,INTERIOR_UNBOUNDED,0.0
0,58,yaw_drift:torso:knot_14,rad,-2.1556773198266457e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-5.833524237660152e-09,-5.833524237660152e-09,-5.833524237660152e-09,False,INTERIOR_UNBOUNDED,0.0
0,59,yaw_drift:torso:knot_15,rad,-1.4381938524536312e-07,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-4.113385901107371e-09,-4.113385901107371e-09,-4.113385901107371e-09,False,INTERIOR_UNBOUNDED,0.0
0,60,yaw_drift:upper_arm_L:knot_1,rad,-0.014318575924585328,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.004150694708088931,-0.004150694708088931,-0.004150694708088931,False,INTERIOR_UNBOUNDED,0.0
0,61,yaw_drift:upper_arm_L:knot_2,rad,-0.01920291694338173,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.0011596215264176868,-0.0011596215264176868,-0.0011596215264176868,False,INTERIOR_UNBOUNDED,0.0
0,62,yaw_drift:upper_arm_L:knot_3,rad,-0.018544435551718946,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,0.001557485525404717,0.001557485525404717,0.001557485525404717,False,INTERIOR_UNBOUNDED,0.0
0,63,yaw_drift:upper_arm_L:knot_4,rad,-0.0152002939908251,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.0006336746383087677,-0.0006336746383087677,-0.0006336746383087677,False,INTERIOR_UNBOUNDED,0.0
0,64,yaw_drift:upper_arm_L:knot_5,rad,-0.01103991690741734,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.00022547835795383442,-0.00022547835795383442,-0.00022547835795383442,False,INTERIOR_UNBOUNDED,0.0
0,65,yaw_drift:upper_arm_L:knot_6,rad,-0.007141968806883174,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,0.00036793247749250524,0.00036793247749250524,0.00036793247749250524,False,INTERIOR_UNBOUNDED,0.0
0,66,yaw_drift:upper_arm_L:knot_7,rad,-0.004010054449659677,UNBOUNDED,UNBOUNDED,NOT_APPLICABLE_UNBOUNDED,-0.00013589952482284673,-0.00013589952482284673,-0.00013589952482284673,False,INTERIOR_UNBOUNDED,0.0
