experiment_id,seed_id,wall_time_s,status,backend,device
X_A0_U4_P4_L19_I7_T3,S02,2.34783067600074,ok,,
X_A0_U4_P4_L19_I7_T4,S02,1.3875494750027428,ok,,
X_A0_U4_P4_L19_I7_T5,S02,2.258205664998968,ok,,
X_A0_U4_P4_L19_I8_T1,S02,0.06902339500084054,ok,,
X_A0_U4_P4_L19_I8_T2,S02,2.2565893799983314,ok,,
X_A0_U4_P4_L19_I8_T3,S02,2.257364274999418,ok,,
X_A0_U4_P4_L19_I8_T4,S02,1.4788012400022126,ok,,
X_A0_U4_P4_L19_I8_T5,S02,1.3821727679969626,ok,,
X_A0_U4_P5_L19_I0_T1,S02,0.04450356699817348,ok,,
X_A0_U4_P5_L19_I0_T2,S02,1.4086399810039438,ok,,
X_A0_U4_P5_L19_I0_T3,S02,2.3495953689998714,ok,,
X_A0_U4_P5_L19_I0_T4,S02,2.352251365002303,ok,,
X_A0_U4_P5_L19_I0_T5,S02,2.3402172770001926,ok,,
X_A0_U4_P5_L19_I1_T1,S02,0.06988753999758046,ok,,
X_A0_U4_P5_L19_I1_T2,S02,2.3597979379992466,ok,,
X_A0_U4_P5_L19_I1_T3,S02,2.26345644799585,ok,,
X_A0_U4_P5_L19_I1_T4,S02,2.3714023690044996,ok,,
X_A0_U4_P5_L19_I1_T5,S02,1.4009244129993021,ok,,
X_A0_U4_P5_L19_I2_T1,S02,0.044210223997652065,ok,,
X_A0_U4_P5_L19_I2_T2,S02,1.393021546995442,ok,,
X_A0_U4_P5_L19_I2_T3,S02,1.403334973998426,ok,,
X_A0_U4_P5_L19_I2_T4,S02,2.34661061999941,ok,,
X_A0_U4_P5_L19_I2_T5,S02,2.4762964979963726,ok,,
X_A0_U4_P5_L19_I3_T1,S02,0.07236087400087854,ok,,
X_A0_U4_P5_L19_I3_T2,S02,2.349113923999539,ok,,
X_A0_U4_P5_L19_I3_T3,S02,2.2564780180036905,ok,,
X_A0_U4_P5_L19_I3_T4,S02,1.3855102250017808,ok,,
X_A0_U4_P5_L19_I3_T5,S02,2.2549065860002884,ok,,
X_A0_U4_P5_L19_I4_T1,S02,0.07077348299935693,ok,,
X_A0_U4_P5_L19_I4_T2,S02,2.251225528001669,ok,,
X_A0_U4_P5_L19_I4_T3,S02,1.383961747000285,ok,,
X_A0_U4_P5_L19_I4_T4,S02,1.379577491999953,ok,,
X_A0_U4_P5_L19_I4_T5,S02,2.3476051969992113,ok,,
X_A0_U4_P5_L19_I5_T1,S02,0.07273562499904074,ok,,
X_A0_U4_P5_L19_I5_T2,S02,2.34505653600354,ok,,
X_A0_U4_P5_L19_I5_T3,S02,2.4688707739987876,ok,,
X_A0_U4_P5_L19_I5_T4,S02,1.3833825980036636,ok,,
X_A0_U4_P5_L19_I5_T5,S02,2.252628235000884,ok,,
X_A0_U4_P5_L19_I6_T1,S02,0.06995631699828664,ok,,
X_A0_U4_P5_L19_I6_T2,S02,2.261922310994123,ok,,
X_A0_U4_P5_L19_I6_T3,S02,2.25428610000381,ok,,
X_A0_U4_P5_L19_I6_T4,S02,1.3875491400031024,ok,,
X_A0_U4_P5_L19_I6_T5,S02,1.3893751629948383,ok,,
X_A0_U4_P5_L19_I7_T1,S02,0.04478191700036405,ok,,
X_A0_U4_P5_L19_I7_T2,S02,1.3935153120037285,ok,,
X_A0_U4_P5_L19_I7_T3,S02,2.322556496001198,ok,,
X_A0_U4_P5_L19_I7_T4,S02,2.2515994810019038,ok,,
X_A0_U4_P5_L19_I7_T5,S02,2.348334287002217,ok,,
X_A0_U4_P5_L19_I8_T1,S02,0.0704018989999895,ok,,
X_A0_U4_P5_L19_I8_T2,S02,2.3535050170030445,ok,,
X_A0_U4_P5_L19_I8_T3,S02,2.266123750996485,ok,,
X_A0_U4_P5_L19_I8_T4,S02,2.253839892000542,ok,,
X_A0_U4_P5_L19_I8_T5,S02,1.3866721720041824,ok,,
X_A1_U4_P0_L19_I0_T1,S02,0.044928205999895,ok,,
