experiment_id,deployability,description,capture_id,tag,n_samples,availability_fraction,effective_update_rate_hz,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,max_gap_s,turn_center_abs_error_3d_mm,turn_center_abs_error_xz_mm,turn_center_abs_error_y_mm,fused_radius_mm,opti_radius_mm,nominal_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,A,U,P,L,I,T,kind
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R11,BS2DCE,1201,1.0,9.788279514109378,79.57381869250496,164.5754803558258,94.76072770141921,59.13115264838721,159.4604743603902,39.27820255662709,80.65607523964923,0.20445999999999742,88.51859994897183,87.90195459456103,10.430192490162653,341.9234450597528,313.22875369861083,440.0,28.694691361141963,28.694691361141963,116.11039555835539,217.96296305093915,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R11,BSDC91,1200,1.0,9.54863597735027,72.65036640925626,106.65991857141124,74.06369202924647,44.8180972617688,82.63878722458298,47.28993053973272,88.4076393480975,0.18422900000000197,70.07086165216269,52.635957340516434,46.25345011481693,411.73148098533795,405.0202579913873,560.0,6.711222993950628,6.711222993950628,132.97077273167537,263.7534494646108,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R12,BS2DCE,1200,1.0,9.557853688376094,91.0051918728882,144.70730515141602,96.99248804088147,62.87850563229689,105.42185068501405,53.43462360937349,124.84718843005348,0.19435199999999497,112.55739603244383,111.28669717449428,16.865302653578738,320.07664259467145,312.4971456957752,440.0,7.579496898896252,7.579496898896252,122.25088057945634,237.27016256834256,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R12,BSDC91,1200,1.0,10.241494438868845,54.24970538616624,102.4023960729194,63.253644546524065,38.39696934496807,72.27640785335973,35.5034739566172,82.64805192594827,0.22837300000000482,78.20651817217068,70.7569199632317,33.31242653921936,414.32721268033043,405.07303073094835,560.0,9.254181949382087,9.254181949382087,145.7469109805322,297.7626159649447,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R13,BS2DCE,1201,1.0,9.591544094726066,80.36002071244633,141.01351614132352,90.65851289335176,51.8477499614042,114.3211040708759,45.96816884470854,119.51033052582403,0.20947100000000063,106.90947191774904,106.19149125503728,12.369412708908726,352.0072898150479,312.9256941817329,440.0,39.081595633314976,39.081595633314976,123.42610493516801,252.5234332372236,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R13,BSDC91,1200,1.0,10.239711649719927,69.45765873664757,107.40194533275616,73.03966141378419,37.64829581428536,70.06177108812025,55.147162125398495,95.41787823777483,0.2275070000000028,59.06366881613558,58.65029666357355,6.97564873663805,429.19029205182204,404.7056833816649,560.0,24.484608670157115,24.484608670157115,147.4171220987535,298.22649137320457,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R14,BS2DCE,1201,1.0,9.913553810770187,79.88724613155773,162.57811027550437,94.42718639439039,30.506814154174137,62.239120374276105,66.64264014256241,159.4967183920553,0.22201900000000308,4098.316314669002,4097.009652559202,103.48198837884695,667.3399150569835,3519.476794205686,440.0,-2852.1368791487025,2852.1368791487025,41.48083436245732,71.11596114213364,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R14,BSDC91,1200,1.0,9.69170680648559,47.48428590499781,92.04019150649202,56.25612981622223,24.82076771072511,51.73221624085873,37.80998976131468,85.6570715863647,0.24100400000000022,2446.0821384425394,2445.7873010732733,37.97770288394577,1270.3614387906655,3671.731055538712,560.0,-2401.3696167480466,2401.3696167480466,41.2255576808926,69.08487878236873,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R15,BS2DCE,1200,1.0,10.218262077985642,80.6928401753411,141.009442490016,90.87100726580019,59.66858754089964,127.58677317551535,40.39041153979821,93.9976255472656,0.20982399999999757,2697.546963220521,2697.223177100052,41.794158617633,1222.3842431914713,3877.162448810546,440.0,-2654.7782056190745,2654.7782056190745,16.369240012350588,32.622837126873414,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R15,BSDC91,1200,1.0,9.582031774017846,72.25883125709784,115.34017507823182,75.87537488609014,44.48313924931631,83.57613651353171,45.067213339056025,98.97208750132387,0.20667399999999958,3432.303563631098,3431.953892769704,48.99215057140373,1268.9887903409883,4673.0834398405395,560.0,-3404.0946494995515,3404.0946494995515,37.1023786348002,56.36575863539074,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R16,BS2DCE,1201,1.0,9.989860291803902,96.32126341925284,144.5529290469588,102.55367299259613,52.72105060476712,102.93362722423636,76.10530107898194,135.55967597467787,0.21618399999999838,10859.279348303566,10858.96591882016,82.5053840337423,384.4346418405113,10574.864179320666,440.0,-10190.429537480155,10190.429537480155,87.69573100642131,155.5443391985013,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R16,BSDC91,1200,1.0,9.615754452094354,73.74017827807708,116.03805273574778,77.39685354237932,33.21620655292047,64.87053766632145,60.683327434112385,107.2515975141072,0.22661499999999535,9819.16779031365,9819.00660575627,56.261625001141624,1532.479851095605,11331.750282028692,560.0,-9799.270430933087,9799.270430933087,31.348745870748377,52.540135712519834,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R17,BS2DCE,1201,1.0,10.213982942648773,104.94958532684548,180.27899211643486,111.78839023245226,51.51938985565574,116.22677903493256,75.95871228747114,165.4497847246232,0.21145999999999887,11496.425546438975,11495.96736587935,102.63852810552919,1519.9309269804703,9979.831054517754,440.0,-8459.900127537283,8459.900127537283,14.320455583475361,26.92320240259187,A0,U4,P4,B0,I0,T1,uwb_only
X_A0_U4_P4_T1,uwb_only_control,A0/U4/P4/T1 pure UWB control.,R17,BSDC91,1200,1.0,9.542348944616176,76.8434318569278,115.61671375558578,79.15467571112578,41.32495746637368,88.62265739774215,50.793478664269685,107.2348731958067,0.21490299999999252,9350.653081981794,9350.588501138285,34.7525820059202,500.1290682396522,9684.284195854798,560.0,-9184.155127615146,9184.155127615146,114.8938698227286,189.06764473359007,A0,U4,P4,B0,I0,T1,uwb_only
