L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,legacy_xz_p95_mean,legacy_yvertical_p95_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,sensor_label,experiment_short
L16,A0,R4,I5,T8,range_fusion,5,527.5394565265399,785.6494193760003,7.368923669126231,560.3182856096959,732.2419883663028,461.55541699323396,231.8021379954777,-553.8472813805226,0.0,144.621773899962,157.5093267544875,92.46990331849288,L16 ICM-45686,X_A0_R4_L16_I5_T8
L20,A0,R4,I0,T10,range_fusion,5,527.378174020778,788.094418571188,16.484842677576943,560.0924671966657,725.226349114206,454.4445659017557,231.8021379954777,-556.2922805757104,0.0,143.5205814856483,170.16271686679545,90.02239774398568,L20 Xsens MTi-3,X_A0_R4_L20_I0_T10
L2,A0,R2,I3,T10,range_fusion,5,504.55903623741654,788.1381803558435,17.80502185846693,540.0113784077124,723.3163996464714,465.78526899514526,231.8021379954777,-556.3360423603658,0.0,152.53821636624224,200.12292350272506,90.3243862342051,L2 MPU6050/JY61P-like,X_A0_R2_L2_I3_T10
L20,A0,R3,I8,T6,range_fusion,5,528.1439009373632,790.3578815189978,14.133249345229284,557.3973128953021,730.1164812319352,462.5163946513185,231.8021379954777,-558.5557435235203,0.0,148.17694517932523,161.35473875849883,86.20187063247046,L20 Xsens MTi-3,X_A0_R3_L20_I8_T6
L16,A0,R2,I6,T6,range_fusion,5,537.0374250977289,791.2427908740614,5.837386680193132,562.9636415843903,738.5174017254687,472.2872315460053,231.8021379954777,-559.4406528785837,0.0,140.30829258550463,163.2480628064719,84.36719009078483,L16 ICM-45686,X_A0_R2_L16_I6_T6
L20,A0,R4,I1,T6,range_fusion,5,527.7920195332623,791.3503907661919,17.629127086011398,561.7465612893332,728.1579023583654,462.2563775034634,231.8021379954777,-559.5482527707143,0.0,142.2385377642575,162.35989992288404,73.98355135432112,L20 Xsens MTi-3,X_A0_R4_L20_I1_T6
L20,A0,R3,I3,T7,range_fusion,5,530.2071497056462,792.3482084023166,7.0599093251023195,562.9754178078865,731.7375029484176,465.0819998528474,231.8021379954777,-560.5460704068389,0.0,145.17661613062452,155.046608740242,83.31544802538663,L20 Xsens MTi-3,X_A0_R3_L20_I3_T7
L2,A0,R3,I6,T9,range_fusion,5,514.70795580423,792.7668442743676,28.35387131527667,545.7215917957949,712.2634045779928,468.7734799885801,231.8021379954777,-560.9647062788898,0.0,145.14983953650648,194.45602377454335,71.00403218460704,L2 MPU6050/JY61P-like,X_A0_R3_L2_I6_T9
L16,A0,R3,I3,T7,range_fusion,5,538.0056408040409,793.9115950892867,10.784653822909664,566.4105991529464,740.7614781779766,473.0985467346003,231.8021379954777,-562.109457093809,0.0,144.2072399659434,161.5889691632542,74.61542168796159,L16 ICM-45686,X_A0_R3_L16_I3_T7
L16,A0,R4,I7,T6,range_fusion,5,536.985517665368,795.1779495712324,14.443396738882763,568.7120697563927,728.1805608372326,468.7323204112384,231.8021379954777,-563.3758115757546,0.0,140.29041908434974,160.67692685984917,77.32910992083134,L16 ICM-45686,X_A0_R4_L16_I7_T6
L2,A0,R4,I6,T7,range_fusion,5,518.5441330584903,795.6286322745771,27.17268786321346,549.8542554815027,717.54643643075,472.89226169388695,231.8021379954777,-563.8264942790995,0.0,143.12222720427437,195.84993762584395,73.36063914651022,L2 MPU6050/JY61P-like,X_A0_R4_L2_I6_T7
L2,A0,R4,I3,T9,range_fusion,5,515.8165629471288,795.7091594596874,16.315992800474806,548.8801565516495,728.640941761945,472.37379315414955,231.8021379954777,-563.9070214642097,0.0,147.2167477948269,201.6264496417121,90.73230523965685,L2 MPU6050/JY61P-like,X_A0_R4_L2_I3_T9
L20,A0,R3,I7,T7,range_fusion,5,539.7944230544923,798.0903050623336,15.891521611497362,571.717737199369,745.2800516416294,479.2278262189378,231.8021379954777,-566.288167066856,0.0,144.2680981488149,159.1578885249248,68.61729268648287,L20 Xsens MTi-3,X_A0_R3_L20_I7_T7
L16,A0,R2,I4,T7,range_fusion,5,529.843611033735,798.3976652753579,14.874971577513243,566.5854136268271,733.5183844829546,465.65510228650385,231.8021379954777,-566.5955272798803,0.0,140.52058525470363,162.70933613453244,84.1259305337992,L16 ICM-45686,X_A0_R2_L16_I4_T7
L2,A0,R2,I6,T9,range_fusion,5,521.2104973038857,800.1494121362755,26.86939335480838,555.4146167150745,722.8236839276448,474.8461540729533,231.8021379954777,-568.3472741407978,0.0,144.9984404110478,188.32388575522896,69.67707375817807,L2 MPU6050/JY61P-like,X_A0_R2_L2_I6_T9
L20,A0,R2,I8,T6,range_fusion,5,540.6077437487809,804.3323476242132,12.44759983107216,567.1815385845091,744.7447254847817,469.9109239707918,231.8021379954777,-572.5302096287354,0.0,143.44708625317665,161.18236109855417,78.2277202326198,L20 Xsens MTi-3,X_A0_R2_L20_I8_T6
L20,A0,R4,I2,T6,range_fusion,5,528.4264101326505,804.4928313192706,14.467576018942118,558.0467951079311,727.7458568098015,456.1592114005433,231.8021379954777,-572.6906933237931,0.0,143.6557749535121,164.31106083495845,90.34675904038542,L20 Xsens MTi-3,X_A0_R4_L20_I2_T6
L20,A0,R3,I4,T6,range_fusion,5,550.4410553818734,804.5075968706964,6.88909619419584,576.2331751596736,757.9858154932131,478.46710092968095,231.8021379954777,-572.7054588752187,0.0,144.36073183129898,158.97905994803565,62.59403910399685,L20 Xsens MTi-3,X_A0_R3_L20_I4_T6
L16,A0,R3,I8,T6,range_fusion,5,536.0376603763785,805.9210948832749,15.173271815177833,568.5088784621055,739.1684439216266,471.6654157465192,231.8021379954777,-574.1189568877974,0.0,145.01661446268412,160.07389264077057,73.16623319880648,L16 ICM-45686,X_A0_R3_L16_I8_T6
L20,A0,R4,I6,T8,range_fusion,5,546.531717975902,806.5492561209237,11.130753727360082,572.1333621752303,758.4657042705454,475.1640141083858,231.8021379954777,-574.747118125446,0.0,141.74345548480034,159.27058253509992,69.69206818715163,L20 Xsens MTi-3,X_A0_R4_L20_I6_T8
L2,A0,R4,I5,T6,range_fusion,5,522.7263184361033,806.9484658955677,22.49622278586121,560.5074094496547,727.1005459939793,467.91848364785983,231.8021379954777,-575.14632790009,0.0,143.28515237026335,180.3905370807506,80.2264544942386,L2 MPU6050/JY61P-like,X_A0_R4_L2_I5_T6
L20,A0,R2,I3,T7,range_fusion,5,539.5648073899904,807.2841927678381,6.109217405285606,571.9587235660787,745.7826700040429,471.5358105067004,231.8021379954777,-575.4820547723605,0.0,142.47980653849407,158.88443493462378,74.77320621933664,L20 Xsens MTi-3,X_A0_R2_L20_I3_T7
L16,A0,R2,I3,T7,range_fusion,5,548.7734854653623,808.728870579013,11.714877633608653,577.0218738874761,754.4587347167271,481.0136966411413,231.8021379954777,-576.9267325835352,0.0,140.36800270027953,166.21382234299017,65.84616779042881,L16 ICM-45686,X_A0_R2_L16_I3_T7
L2,A0,R3,I8,T9,range_fusion,5,522.26354036341,809.1844760361471,15.265838924935249,561.8269408337256,732.3367333294407,473.20141794131825,231.8021379954777,-577.3823380406694,0.0,149.2754102513884,183.1154790593781,84.6968658222428,L2 MPU6050/JY61P-like,X_A0_R3_L2_I8_T9
L2,A0,R4,I7,T10,range_fusion,5,485.5627641037032,810.2637535187876,75.61365562687887,525.1170838010896,708.1400709509611,465.3395940256858,231.8021379954777,-578.4616155233099,0.0,131.77421594493975,232.9894253188147,98.96020208209966,L2 MPU6050/JY61P-like,X_A0_R4_L2_I7_T10
L20,A0,R2,I7,T7,range_fusion,5,547.935669777969,810.8506984256073,16.408666314104075,582.9848172118417,760.4662234897023,484.8189899500874,231.8021379954777,-579.0485604301296,0.0,138.32676473386462,164.48518938303783,60.65254767660076,L20 Xsens MTi-3,X_A0_R2_L20_I7_T7
L16,A0,R4,I6,T8,range_fusion,5,553.0342596711397,811.5501122149246,6.876476887766809,579.1114526219067,758.3158484913678,485.1180883775319,231.8021379954777,-579.7479742194471,0.0,140.12562298754375,168.91161282445472,63.34802844188509,L16 ICM-45686,X_A0_R4_L16_I6_T8
L16,A0,R4,I2,T6,range_fusion,5,537.8799017909778,812.3717136789837,21.079223628801895,574.8816124471733,741.4782710750159,475.6803484063565,231.8021379954777,-580.569575683506,0.0,142.66403979135842,164.5272138873903,81.31849974067515,L16 ICM-45686,X_A0_R4_L16_I2_T6
L2,A0,R4,I8,T7,range_fusion,5,525.2060701612314,813.681406374627,13.555890568486888,565.5543628748579,737.2621976466304,477.55106265971034,231.8021379954777,-581.8792683791493,0.0,145.8694635090732,184.93965747299694,84.78718283757726,L2 MPU6050/JY61P-like,X_A0_R4_L2_I8_T7
L16,A0,R4,I1,T6,range_fusion,5,547.0476034238949,814.0425793658034,9.99107296713807,578.9315221141474,748.5699530336215,474.1743769437911,231.8021379954777,-582.2404413703257,0.0,143.20785776791826,165.72925503472825,73.87425583897516,L16 ICM-45686,X_A0_R4_L16_I1_T6
L20,A0,R3,I1,T7,range_fusion,5,548.3997391985799,815.507235602433,15.67236342415585,578.0128059413267,755.8446443211973,474.21333606541003,231.8021379954777,-583.7050976069553,0.0,141.39647388960483,163.8583368508795,58.41459852806527,L20 Xsens MTi-3,X_A0_R3_L20_I1_T7
L16,A0,R3,I7,T7,range_fusion,5,551.7432118168465,817.0941156356317,14.705159747978312,583.427505189536,754.0956584026038,481.3595959434221,231.8021379954777,-585.2919776401541,0.0,141.06044038924028,169.099993890197,58.79952221692537,L16 ICM-45686,X_A0_R3_L16_I7_T7
L2,A0,R2,I8,T9,range_fusion,5,530.2735704705121,817.1960490062277,10.719614525962943,570.481257093665,744.3828253353756,475.1796957997365,231.8021379954777,-585.3939110107501,0.0,147.3784330843359,183.1075766784785,78.84091822059993,L2 MPU6050/JY61P-like,X_A0_R2_L2_I8_T9
L20,A0,R2,I4,T6,range_fusion,5,558.8942968551559,818.4991143752865,6.629326346711217,589.4284001851022,772.2458769259699,485.8797223858968,231.8021379954777,-586.6969763798088,0.0,139.4974873657174,171.50058439726024,57.2092935374935,L20 Xsens MTi-3,X_A0_R2_L20_I4_T6
L16,A0,R2,I8,T6,range_fusion,5,544.9801401605704,819.2263155476,14.261773780834071,578.2509964658,754.5528397145287,479.5042616184438,231.8021379954777,-587.4241775521225,0.0,140.77780996828275,162.55742391759844,66.71548460290862,L16 ICM-45686,X_A0_R2_L16_I8_T6
L2,A0,R3,I7,T10,range_fusion,5,525.4803053789553,824.2131118505949,55.962199686879785,557.2113634276868,746.1956650279346,483.7429160545031,231.8021379954777,-592.4109738551173,0.0,141.02149751506232,211.23527994454952,92.20941260298018,L2 MPU6050/JY61P-like,X_A0_R3_L2_I7_T10
L16,A0,R4,I0,T10,range_fusion,5,543.5205624467923,825.4627101381623,25.80312942184382,579.5735892347988,749.7320543952571,477.1346447199611,231.8021379954777,-593.6605721426846,0.0,146.03900639978337,193.20093075455048,72.38780756057795,L16 ICM-45686,X_A0_R4_L16_I0_T10
L20,A0,R4,I8,T8,range_fusion,5,557.6135659385588,825.498533950943,11.35298138524492,583.1703494248601,765.4214617650339,481.6870973120409,231.8021379954777,-593.6963959554653,0.0,139.2529252925006,166.95375913189696,58.12212095050852,L20 Xsens MTi-3,X_A0_R4_L20_I8_T8
L20,A0,R3,I2,T7,range_fusion,5,544.7975633375216,825.5983418587555,11.582574731225941,574.4337865208724,755.0863728676557,467.14334180838387,231.8021379954777,-593.7962038632779,0.0,143.2645870109669,161.8941844881139,69.0596080486889,L20 Xsens MTi-3,X_A0_R3_L20_I2_T7
L2,A0,R4,I1,T10,range_fusion,5,488.01084031306453,827.0887741027751,33.8647725119963,536.3449423687592,756.0701623317182,481.13205366667637,231.8021379954777,-595.2866361072973,0.0,137.85608102054894,230.12296947718545,109.37429614818139,L2 MPU6050/JY61P-like,X_A0_R4_L2_I1_T10
L16,A0,R3,I4,T6,range_fusion,5,556.5052054424119,827.5703103443304,12.13586433085139,587.9078451644983,766.4326143196902,483.5636939781431,231.8021379954777,-595.7681723488528,0.0,142.46008348325253,170.98709474977278,57.58516584879906,L16 ICM-45686,X_A0_R3_L16_I4_T6
L2,A0,R2,I7,T10,range_fusion,5,532.6196834557267,830.2440504106047,50.636885469494956,564.9676928040932,754.93022709752,486.96722567111874,231.8021379954777,-598.441912415127,0.0,143.19510315423352,203.61736134815553,89.21387447778744,L2 MPU6050/JY61P-like,X_A0_R2_L2_I7_T10
L20,A0,R2,I1,T7,range_fusion,5,558.962022916148,830.2680030376114,14.176292750206212,590.5097242521031,772.6947624241009,481.25242065648473,231.8021379954777,-598.4658650421336,0.0,135.24839565102735,173.68383335326547,54.851912968453846,L20 Xsens MTi-3,X_A0_R2_L20_I1_T7
L2,A0,R3,I5,T7,range_fusion,5,535.9519477927922,830.904955653926,22.52724312820199,576.2858751901639,752.6467751250908,476.67479288969537,231.8021379954777,-599.1028176584482,0.0,139.47539140494428,181.33362454303042,73.63484989699134,L2 MPU6050/JY61P-like,X_A0_R3_L2_I5_T7
L16,A0,R2,I7,T7,range_fusion,5,564.0465750715099,830.9635817938868,13.983650872486137,594.48086673585,772.7004234976333,488.7162478228753,231.8021379954777,-599.1614437984092,0.0,135.85673144441768,178.51640810723524,54.900039183772876,L16 ICM-45686,X_A0_R2_L16_I7_T7
L16,A0,R3,I1,T7,range_fusion,5,559.9783335448903,831.1496162031524,9.523154135750742,594.5586698881717,773.4957517366938,486.41926477745227,231.8021379954777,-599.3474782076748,0.0,141.55374196218705,171.82199132134457,58.687959013251564,L16 ICM-45686,X_A0_R3_L16_I1_T7
L2,A0,R4,I6,T6,range_fusion,5,545.4805513895436,833.1268498564114,25.937300749936387,579.9659748956698,757.8304835763585,488.66952378074456,231.8021379954777,-601.3247118609336,0.0,142.47450819421766,201.06613431799977,64.45551106250053,L2 MPU6050/JY61P-like,X_A0_R4_L2_I6_T6
L16,A0,R3,I2,T7,range_fusion,5,554.6500483859088,833.359028082267,20.134689810557045,589.584008036474,763.973023056959,484.12613246022147,231.8021379954777,-601.5568900867892,0.0,140.3194554032744,166.5050772280767,65.02785471421562,L16 ICM-45686,X_A0_R3_L16_I2_T7
L20,A0,R2,I2,T7,range_fusion,5,555.8910194744976,838.3435750941684,10.602266999998273,586.0597229715789,771.4777920833219,474.71788890489836,231.8021379954777,-606.5414370986907,0.0,138.0848160494184,172.651836140702,62.34291000911291,L20 Xsens MTi-3,X_A0_R2_L20_I2_T7
L20,A0,R3,I3,T6,range_fusion,5,568.7912432783921,838.6123158668606,4.050913202407686,595.6878321519758,781.1598288914716,487.5792067865847,231.8021379954777,-606.810177871383,0.0,137.7117923277718,180.75241963909298,53.001103632510066,L20 Xsens MTi-3,X_A0_R3_L20_I3_T6
L16,A0,R4,I8,T8,range_fusion,5,558.8630718902502,839.4841595901083,13.162988626637373,592.1389385091644,775.9631961268432,490.2472585611132,231.8021379954777,-607.6820215946307,0.0,136.72805668881148,174.20352198768782,54.19255365026837,L16 ICM-45686,X_A0_R4_L16_I8_T8
L20,A0,R4,I4,T8,range_fusion,5,576.7626526769271,840.4617064693124,7.602549950469605,606.3427361977404,794.1499892911518,496.28279370339834,231.8021379954777,-608.6595684738347,0.0,139.17592532652424,185.38363998956703,50.271369438576144,L20 Xsens MTi-3,X_A0_R4_L20_I4_T8
L16,A0,R2,I4,T6,range_fusion,5,565.1106264027433,840.6980364182016,11.759183146729386,599.5388939154129,780.9147257895062,489.83111461238684,231.8021379954777,-608.895898422724,0.0,138.88161259079325,183.56106542558845,53.27817836115852,L16 ICM-45686,X_A0_R2_L16_I4_T6
L2,A0,R4,I8,T6,range_fusion,5,557.0586113463675,840.9395657176495,10.587718951274752,594.0261251975858,775.3417050414093,488.86716941905024,231.8021379954777,-609.1374277221719,0.0,142.41212090455548,196.0333047829631,70.7044677124755,L2 MPU6050/JY61P-like,X_A0_R4_L2_I8_T6
L16,A0,R3,I3,T6,range_fusion,5,575.7445311998842,842.4826328681074,14.701540331169136,605.2453831685341,791.7001509762158,496.9346697676855,231.8021379954777,-610.6804948726298,0.0,136.0568253194117,189.40876338857677,50.29719527828431,L16 ICM-45686,X_A0_R3_L16_I3_T6
L16,A0,R2,I1,T7,range_fusion,5,568.4858502970104,842.7136336435882,8.598079712169397,603.66337197521,788.769428798965,492.7659546713493,231.8021379954777,-610.9114956481105,0.0,138.01786146577155,183.82659318683636,54.32487403952838,L16 ICM-45686,X_A0_R2_L16_I1_T7
L2,A0,R4,I7,T9,range_fusion,5,539.4234727780592,843.1532082282587,46.213033417623265,572.8359175284195,768.1567902204749,490.67259984733107,231.8021379954777,-611.351070232781,0.0,138.6801065973172,206.7898325040876,94.12625428075005,L2 MPU6050/JY61P-like,X_A0_R4_L2_I7_T9
L20,A0,R3,I7,T6,range_fusion,5,573.4688341300325,843.6897148296072,14.10618464591441,606.5924689116239,795.9177096827586,498.3451523547254,231.8021379954777,-611.8875768341295,0.0,136.2568316228346,188.91486638446685,48.366421902239935,L20 Xsens MTi-3,X_A0_R3_L20_I7_T6
L20,A0,R3,I5,T8,range_fusion,5,572.572527660438,844.27300821684,12.161032930043998,604.5346743417513,790.0255607766754,498.41999467024436,231.8021379954777,-612.4708702213622,0.0,138.0784204826153,186.97684970607526,49.518948866517704,L20 Xsens MTi-3,X_A0_R3_L20_I5_T8
L2,A0,R3,I4,T9,range_fusion,5,547.4655826741396,845.0164971424034,24.876414341069808,580.0480294776669,774.4673493306855,484.279495076598,231.8021379954777,-613.2143591469257,0.0,149.20790624702676,189.90848943148424,77.26491703563784,L2 MPU6050/JY61P-like,X_A0_R3_L2_I4_T9
L2,A0,R2,I5,T7,range_fusion,5,543.9818916182414,845.654104809425,20.688445437665894,585.6230507198129,764.1271889649784,482.8501049755911,231.8021379954777,-613.8519668139473,0.0,139.48233665983335,190.90492995880317,72.37295138468194,L2 MPU6050/JY61P-like,X_A0_R2_L2_I5_T7
L16,A0,R2,I2,T7,range_fusion,5,563.0007362901584,845.8515082389574,18.943243793275233,599.2317084823195,775.9377406924829,489.9211001326429,231.8021379954777,-614.0493702434799,0.0,138.00791847342396,177.90089399264406,58.41816030316818,L16 ICM-45686,X_A0_R2_L16_I2_T7
L2,A0,R3,I6,T7,range_fusion,5,562.0787557472916,851.5367222379573,27.429010936166122,595.8668465478406,778.8142631809314,495.9914274570854,231.8021379954777,-619.7345842424796,0.0,141.33778290612955,194.57439071213057,54.18604696118602,L2 MPU6050/JY61P-like,X_A0_R3_L2_I6_T7
L2,A0,R4,I4,T7,range_fusion,5,553.1265066486096,851.8870953700668,25.50079833503434,583.4863699702718,779.8180212673333,487.59288435100717,231.8021379954777,-620.0849573745893,0.0,145.39805285210548,197.0651086106355,75.41094252246863,L2 MPU6050/JY61P-like,X_A0_R4_L2_I4_T7
L20,A0,R3,I0,T10,range_fusion,5,573.849261597314,852.736510676129,15.369101962888632,607.1929639483815,792.3083553606556,484.52196019166956,231.8021379954777,-620.9343726806513,0.0,141.87297620973126,189.72931395154504,51.45252093768388,L20 Xsens MTi-3,X_A0_R3_L20_I0_T10
L20,A0,R2,I3,T6,range_fusion,5,580.8995186854802,853.5924635730132,4.081859640669667,607.6748761527818,799.0734122405061,494.0576384466549,231.8021379954777,-621.7903255775357,0.0,142.06922947253278,195.2551608522289,48.80142324557703,L20 Xsens MTi-3,X_A0_R2_L20_I3_T6
L16,A0,R3,I5,T8,range_fusion,5,577.5943357605306,854.252036314356,11.80663123994753,611.1985657079712,807.8847431376543,500.36917255412226,231.8021379954777,-622.4498983188784,0.0,141.63554030833288,190.5700539493733,48.49573359985253,L16 ICM-45686,X_A0_R3_L16_I5_T8
L2,A0,R3,I1,T10,range_fusion,5,529.7220326684653,856.0667819755461,20.446447685341976,569.5326921833733,773.7318235619086,499.5504831319037,231.8021379954777,-624.2646439800685,0.0,145.92536313162913,209.72550384800948,103.75380756813017,L2 MPU6050/JY61P-like,X_A0_R3_L2_I1_T10
L2,A0,R2,I4,T9,range_fusion,5,558.3869638873397,856.3994491987621,24.93497247971478,587.673257985967,782.6253230257147,490.02850469002453,231.8021379954777,-624.5973112032846,0.0,145.3511904701653,194.58922091857056,70.04563063721972,L2 MPU6050/JY61P-like,X_A0_R2_L2_I4_T9
L16,A0,R2,I3,T6,range_fusion,5,585.2792820628404,856.6487310041244,14.840658774913923,618.3216163488121,807.2737099446359,503.2635344993503,231.8021379954777,-624.8465930086467,0.0,141.002180661097,196.06157279282934,47.03545712106096,L16 ICM-45686,X_A0_R2_L16_I3_T6
L2,A0,R3,I8,T7,range_fusion,5,574.3157782148124,857.4951803128108,11.783247649462588,606.1762168211138,794.7087500107989,496.49815912880183,231.8021379954777,-625.693042317333,0.0,140.84653718407384,200.7575200865589,66.84083547121763,L2 MPU6050/JY61P-like,X_A0_R3_L2_I8_T7
L20,A0,R2,I7,T6,range_fusion,5,586.8117165438978,858.6461599474994,12.896044345989601,618.1105464372273,810.5132617909034,503.52492131377767,231.8021379954777,-626.8440219520219,0.0,142.54867033125333,195.4750938656028,45.323026453933565,L20 Xsens MTi-3,X_A0_R2_L20_I7_T6
L20,A0,R2,I5,T8,range_fusion,5,584.8253716099109,860.0856657137592,12.493280490186676,614.5799936307128,805.3040704499246,504.35337357855195,231.8021379954777,-628.2835277182816,0.0,139.71498899366912,190.20688735089624,47.13328628621893,L20 Xsens MTi-3,X_A0_R2_L20_I5_T8
L2,A0,R3,I3,T9,range_fusion,5,560.327145819173,860.174740971435,15.851399922287303,593.212562156375,781.5012501039564,492.0888068194505,231.8021379954777,-628.3726029759572,0.0,144.5778271956736,196.9854702216907,71.00556724189175,L2 MPU6050/JY61P-like,X_A0_R3_L2_I3_T9
L2,A0,R2,I1,T10,range_fusion,5,535.4911438765259,861.4032221874601,20.756780560916383,579.1446281417763,778.1575083578994,503.5370885322491,231.8021379954777,-629.6010841919824,0.0,147.18910245388565,204.05825360456976,99.14285602057758,L2 MPU6050/JY61P-like,X_A0_R2_L2_I1_T10
L16,A0,R3,I7,T6,range_fusion,5,589.9495280453752,861.4349369425188,12.325831563876681,619.9248200728712,806.1865067438371,504.7465439595959,231.8021379954777,-629.6327989470412,0.0,140.20551753999013,191.7761164506892,48.29525552337159,L16 ICM-45686,X_A0_R3_L16_I7_T6
L2,A0,R2,I6,T7,range_fusion,5,570.9638707184337,861.6424531565553,27.009032839745046,606.0940629739077,792.1072092625747,502.1829426958724,231.8021379954777,-629.8403151610777,0.0,137.4596126638168,199.12939063466,51.84300496534195,L2 MPU6050/JY61P-like,X_A0_R2_L2_I6_T7
L20,A0,R3,I1,T6,range_fusion,5,583.6973317393648,861.8271475787485,10.595273531873056,617.4737467611919,808.165548480283,496.4209712137059,231.8021379954777,-630.025009583271,0.0,141.55981342417786,190.4042574451377,47.449675045888874,L20 Xsens MTi-3,X_A0_R3_L20_I1_T6
L20,A0,R2,I0,T10,range_fusion,5,584.3506879426023,864.7672496137059,17.693559190945596,615.8609701800591,805.2185304596625,490.27562729020394,231.8021379954777,-632.9651116182282,0.0,147.3369722862186,193.5175730832525,49.00585493003507,L20 Xsens MTi-3,X_A0_R2_L20_I0_T10
L16,A0,R4,I4,T8,range_fusion,5,583.1318067023441,865.1775449861018,9.868771070950054,613.8022043922268,805.568538500549,499.6578825697281,231.8021379954777,-633.3754069906241,0.0,141.92070806304864,191.60207626276602,48.40486414535012,L16 ICM-45686,X_A0_R4_L16_I4_T8
L20,A0,R3,I2,T6,range_fusion,5,583.4816358939354,865.295335659696,5.94687359830373,612.6290395154656,808.3596885141171,489.9989572113588,231.8021379954777,-633.4931976642183,0.0,141.3634480271662,190.72036110512033,49.29530965865266,L20 Xsens MTi-3,X_A0_R3_L20_I2_T6
L2,A0,R4,I3,T7,range_fusion,5,564.9515766396313,866.5002424581911,15.270058680342352,597.0521289870189,788.0813406313373,495.6468711041043,231.8021379954777,-634.6981044627134,0.0,141.65209674799067,195.44400332609297,68.45605802637367,L2 MPU6050/JY61P-like,X_A0_R4_L2_I3_T7
L16,A0,R2,I5,T8,range_fusion,5,589.8702225109238,867.8748141315651,11.850418429872184,620.6031178421401,820.08431149357,506.4914367879692,231.8021379954777,-636.0726761360875,0.0,144.61087046127335,191.8292779288767,46.42283956107782,L16 ICM-45686,X_A0_R2_L16_I5_T8
L2,A0,R2,I8,T7,range_fusion,5,585.3078994670957,869.4842064745559,13.44968362810463,615.5031922548055,806.5880138039976,501.7130342190873,231.8021379954777,-637.6820684790782,0.0,138.40503496706282,205.8971624691303,62.024828151864256,L2 MPU6050/JY61P-like,X_A0_R2_L2_I8_T7
L2,A0,R4,I1,T9,range_fusion,5,542.4495682531565,870.1885509797936,18.553627094214676,587.7316470519552,787.5424932472303,507.79083692622316,231.8021379954777,-638.3864129843159,0.0,142.49720188277496,208.04909846570027,91.72591120318245,L2 MPU6050/JY61P-like,X_A0_R4_L2_I1_T9
L2,A0,R2,I3,T9,range_fusion,5,568.5739665559877,870.2899941682226,16.80118971544444,601.0254011434806,794.7570107736631,496.675725525472,231.8021379954777,-638.487856172745,0.0,140.4771110492457,193.1743851818681,64.9088124019637,L2 MPU6050/JY61P-like,X_A0_R2_L2_I3_T9
L16,A0,R3,I1,T6,range_fusion,5,594.4216986615398,872.8271577951846,10.392298023852575,624.1335330344062,819.6111499035272,505.5541521809952,231.8021379954777,-641.0250197997069,0.0,144.4325247691588,194.59491997579943,47.26964277004787,L16 ICM-45686,X_A0_R3_L16_I1_T6
L2,A0,R4,I2,T10,range_fusion,5,507.0682043690558,874.0567502064621,45.65868918442425,557.3463307456701,785.3215155648153,488.7735849073624,231.8021379954777,-642.2546122109845,0.0,134.93293975569094,238.8428461325872,114.65277490275692,L2 MPU6050/JY61P-like,X_A0_R4_L2_I2_T10
L16,A0,R3,I2,T6,range_fusion,5,589.3074460404699,874.411794933674,16.98017392891351,621.2509481315054,810.0070897306987,503.57865414357946,231.8021379954777,-642.6096569381963,0.0,143.99689478574646,194.67019290529106,47.41103873090386,L16 ICM-45686,X_A0_R3_L16_I2_T6
L16,A0,R2,I7,T6,range_fusion,5,601.9326106911677,875.7891022560727,10.510187137869758,629.4879947326491,822.1358043957183,510.4148822209114,231.8021379954777,-643.9869642605951,0.0,140.03167926272508,203.55674894323224,46.49714034822572,L16 ICM-45686,X_A0_R2_L16_I7_T6
L20,A0,R2,I1,T6,range_fusion,5,596.6110015458186,875.8557140987492,7.845114761500526,626.4256833634324,823.267025558469,502.47842098814044,231.8021379954777,-644.0535761032716,0.0,141.63327969878426,201.08820775125474,45.450250727362835,L20 Xsens MTi-3,X_A0_R2_L20_I1_T6
L20,A0,R4,I3,T8,range_fusion,5,599.6300553890744,875.9789197253806,2.983463789233287,625.600916923948,821.6912733584134,503.91806935717705,231.8021379954777,-644.1767817299029,0.0,143.16420384391066,194.93131567703625,46.31594003132585,L20 Xsens MTi-3,X_A0_R4_L20_I3_T8
L2,A0,R3,I5,T6,range_fusion,5,568.4097468763687,876.2834229117949,15.791886866679373,605.9720962475709,794.7033462872731,493.5771701200313,231.8021379954777,-644.4812849163171,0.0,135.87803140815225,184.92338415891197,58.87336346544843,L2 MPU6050/JY61P-like,X_A0_R3_L2_I5_T6
L20,A0,R2,I2,T6,range_fusion,5,593.7664483113443,876.6773169825385,4.742319366175384,624.3459302038748,823.4543395290946,495.76807018896153,231.8021379954777,-644.8751789870608,0.0,143.68094118250653,197.56335251278685,46.69203592217629,L20 Xsens MTi-3,X_A0_R2_L20_I2_T6
L20,A0,R4,I0,T9,range_fusion,5,594.1875360826847,878.4047240983942,20.489976224273235,625.857926328188,817.8494611711178,497.316986954958,231.8021379954777,-646.6025861029166,0.0,145.3017629012954,194.72843500660215,49.08476701379546,L20 Xsens MTi-3,X_A0_R4_L20_I0_T9
