row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L1:I0:T8,S00,torch_gpu,,9.601057140999728,0.0,1.0,9.601057140999728,9.601057140999728,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I1:T6,S00,simulate_imu_prior,L1:I1,1.194344538000223,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I1:T6,S00,build_track_tensors,L1:I1,18.397752134000257,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I1:T6,S00,torch_gpu,,9.229754874999344,0.0,1.0,9.229754874999344,9.229754874999344,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I1:T8,S00,torch_gpu,,10.3059919490006,0.0,1.0,10.3059919490006,10.3059919490006,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I3:T6,S00,simulate_imu_prior,L1:I3,0.9345194649995392,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I3:T6,S00,build_track_tensors,L1:I3,15.871969884000464,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I3:T6,S00,torch_gpu,,6.35770273000071,0.0,1.0,6.35770273000071,6.35770273000071,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I3:T8,S00,torch_gpu,,9.186089213999368,0.0,1.0,9.186089213999368,9.186089213999368,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I4:T6,S00,simulate_imu_prior,L1:I4,0.6511149480002132,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I4:T6,S00,build_track_tensors,L1:I4,18.485226218999745,,,,,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I4:T6,S00,torch_gpu,,4.98576671400042,0.0,1.0,4.98576671400042,4.98576671400042,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I4:T8,S00,torch_gpu,,5.522200996999345,0.0,1.0,5.522200996999345,5.522200996999345,partial_raw_0002,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0002_cuda0
R2:L1:I7:T6,S00,simulate_imu_prior,L1:I7,0.7918048010005805,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I7:T6,S00,build_track_tensors,L1:I7,15.494298657999934,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I7:T6,S00,torch_gpu,,9.479986790000112,0.0,1.0,9.479986790000112,9.479986790000112,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I7:T8,S00,torch_gpu,,11.5161654679996,0.0,1.0,11.5161654679996,11.5161654679996,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I8:T6,S00,simulate_imu_prior,L1:I8,0.6323091780004688,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I8:T6,S00,build_track_tensors,L1:I8,16.274356285000067,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I8:T6,S00,torch_gpu,,4.121929440999338,0.0,1.0,4.121929440999338,4.121929440999338,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I8:T8,S00,torch_gpu,,8.5477468830004,0.0,1.0,8.5477468830004,8.5477468830004,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I3+I7:T6,S00,simulate_imu_prior,L1:I1+I3+I7,0.6096361319996504,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I3+I7:T6,S00,build_track_tensors,L1:I1+I3+I7,13.63390574999994,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I3+I7:T6,S00,torch_gpu,,1.9249915950003924,0.0,1.0,1.9249915950003924,1.9249915950003924,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I3+I7:T8,S00,torch_gpu,,1.7739880989993253,0.0,1.0,1.7739880989993253,1.7739880989993253,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I2+I3+I8:T6,S00,simulate_imu_prior,L1:I1+I2+I3+I8,0.8564179300001342,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I2+I3+I8:T6,S00,build_track_tensors,L1:I1+I2+I3+I8,15.643924521000372,,,,,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I2+I3+I8:T6,S00,torch_gpu,,10.687650664999635,0.0,1.0,10.687650664999635,10.687650664999635,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
R2:L1:I1+I2+I3+I8:T8,S00,torch_gpu,,5.34090245400057,0.0,1.0,5.34090245400057,5.34090245400057,partial_raw_0003,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0003_cuda0
