bibkey,authors,year,title,venue,doi_or_url,cluster,read_status,relevance_1to5,addresses_coupling,addresses_identifiability,uses_ground_truth,shows_wrong_cal_wins
fontaine_2023_transfer_learning_for_uwb,Jaron Fontaine; Fuhu Che; Adnan Shahid; Ben Van Herbruggen; Qasim Zeeshan Ahmed; Waqas Bin Abbas; Eli De Poorter,2023,Transfer Learning for UWB Error Correction and (N)LOS Classification in Multiple Environments,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2023.3299319,C;D,FULL_TEXT_READ,5,no,no,no,no
jeong_2023_hybrid_quantum_convolutional_neu,Seon-Geun Jeong; Quang-Vinh Do; Hae-Ji Hwang; Mikio Hasegawa; Hiroo Sekiya; Won–Joo Hwang,2023,Hybrid Quantum Convolutional Neural Networks for UWB Signal Classification,IEEE Access,https://doi.org/10.1109/access.2023.3323019,C;D,FULL_TEXT_READ,5,no,no,yes,no
yang_2023_uwb_sensor_based_indoor_los_nlos,Hongchao Yang; Yunjia Wang; Chee Kiat Seow; Meng Sun; Minghao Si; Lu Huang,2023,UWB Sensor-Based Indoor LOS/NLOS Localization With Support Vector Machine Learning,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2022.3232479,C;D,abstract_read_via_openalex,5,no,no,no,no
g_ven_2007_nlos_identification_and_weighted,İsmail Güvenç; Chia‐Chin Chong; Fujio Watanabe; Hiroshi Inamura,2007,NLOS Identification and Weighted Least-Squares Localization for UWB Systems Using Multipath Channel Statistics,EURASIP Journal on Advances in Signal Processing,https://doi.org/10.1155/2008/271984,C;D;F,FULL_TEXT_READ,5,no,no,no,no
yu_2018_a_novel_nlos_mitigation,Kegen Yu; Kai Wen; Yingbing Li; Shuai Zhang; Kefei Zhang,2018,A Novel NLOS Mitigation Algorithm for UWB Localization in Harsh Indoor Environments,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2018.2883810,C;D;F,abstract_read_via_openalex,5,no,no,no,no
liu_2019_an_approach_to_robust,Jianfeng Liu; Jiexin Pu; Lifan Sun; Zishu He,2019,An Approach to Robust INS/UWB Integrated Positioning for Autonomous Indoor Mobile Robots,Sensors,https://doi.org/10.3390/s19040950,C;D;F,abstract_read_via_openalex,5,no,no,no,no
sung_2023_accurate_indoor_positioning_for,Sangmo Sung; Hokeun Kim; Jae-il Jung,2023,Accurate Indoor Positioning for UWB-Based Personal Devices Using Deep Learning,IEEE Access,https://doi.org/10.1109/access.2023.3250180,C;D;F,FULL_TEXT_READ,5,no,no,yes,no
garc_a_2015_a_robust_uwb_indoor,Enrique García; Pablo Poudereux; Álvaro Hernández; Jesús Ureña; David Gualda,2015,A robust UWB indoor positioning system for highly complex environments,2015 IEEE International Conference on Industrial Technology (ICIT),https://doi.org/10.1109/icit.2015.7125601,C;F,abstract_read_via_openalex,5,no,no,no,no
barral_2019_nlos_identification_and_mitigati,Valentín Barral; Carlos J. Escudero; José A. García‐Naya; Roberto Maneiro-Catoira,2019,NLOS Identification and Mitigation Using Low-Cost UWB Devices,Sensors,https://doi.org/10.3390/s19163464,C;F,abstract_read_via_openalex,5,no,no,no,no
gao_2023_a_method_for_uwb,Zefu Gao; Yiwen Jiao; Wenge Yang; Xuejian Li; Yuxin Wang,2023,A Method for UWB Localization Based on CNN-SVM and Hybrid Locating Algorithm,Information,https://doi.org/10.3390/info14010046,C;F,abstract_read_via_openalex,5,no,no,no,no
qiu_2024_1d_clanet_a_novel_network,Wang Qiu; Ming-Song Chen; Jiajie Liu; Y.C. Lin; Kai Li; Xin Yan; Chizhou Zhang,2024,1D-CLANet: A Novel Network for NLoS Classification in UWB Indoor Positioning System,Applied Sciences,https://doi.org/10.3390/app14177609,C;F,abstract_read_via_openalex,5,no,no,no,no
zwire_o_2012_uwb_localization_system_for,Łukasz Zwirełło; Tom Schipper; Marlene Harter; Thomas Zwick,2012,"UWB Localization System for Indoor Applications: Concept, Realization and Analysis",Journal of Electrical and Computer Engineering,https://doi.org/10.1155/2012/849638,D,abstract_read_via_openalex,5,no,no,yes,no
delamare_2019_static_and_dynamic_evaluation,Mickaël Delamare; Rémi Boutteau; Xavier Savatier; Nicolas Iriart,2019,Static and Dynamic Evaluation of an UWB Localization System for Industrial Applications,Sci,https://doi.org/10.3390/sci1030062,D,abstract_read_via_openalex,5,no,no,yes,no
gabela_2019_experimental_evaluation_of_a,Jelena Gabela; Guenther Retscher; Salil Goel; Harris Perakis; Andrea Masiero; Charles Toth; Vassilis Gikas; Allison Kealy; Zoltán Koppányi; Wioleta Błaszczak-Bąk; Yan Li; Dorota A. Grejner‐Brzezinska,2019,Experimental Evaluation of a UWB-Based Cooperative Positioning System for Pedestrians in GNSS-Denied Environment,Sensors,https://doi.org/10.3390/s19235274,D,abstract_read_via_openalex,5,no,no,yes,no
delamare_2020_static_and_dynamic_evaluation,Mickaël Delamare; Rémi Boutteau; Xavier Savatier; Nicolas Iriart,2020,Static and Dynamic Evaluation of an UWB Localization System for Industrial Applications,Sci,https://doi.org/10.3390/sci2020023,D,abstract_read_via_openalex,5,no,no,yes,no
delamare_2020_static_and_dynamic_evaluation_2,Mickaël Delamare; Rémi Boutteau; Xavier Savatier; Nicolas Iriart,2020,Static and Dynamic Evaluation of an UWB Localization System for Industrial Applications,Sci,https://doi.org/10.3390/sci2010007,D,abstract_read_via_openalex,5,no,no,yes,no
fleureau_2020_validity_of_an_ultra_wideband,Antoine Fleureau; Mathieu Lacome; Martin Buchheit; Antoine Couturier; Giuseppe Rabita,2020,Validity of an ultra-wideband local positioning system to assess specific movements in handball,Biology of Sport,https://doi.org/10.5114/biolsport.2020.96850,D,abstract_read_via_openalex,5,no,no,yes,no
gerwen_2021_indoor_drone_positioning_accurac,Jono Vanhie-Van Gerwen; Kurt Geebelen; Jia Wan; Wout Joseph; Jeroen Hoebeke; Eli De Poorter,2021,Indoor Drone Positioning: Accuracy and Cost Trade-Off for Sensor Fusion,IEEE Transactions on Vehicular Technology,https://doi.org/10.1109/tvt.2021.3129917,D,abstract_read_via_openalex,5,no,no,yes,no
istomin_2021_janus,Timofei Istomin; Elia Leoni; Davide Molteni; Amy L. Murphy; Gian Pietro Picco; Maurizio Griva,2021,Janus,Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,https://doi.org/10.1145/3494978,D,abstract_read_via_openalex,5,no,no,yes,no
mor_n_2023_benchmarking_uwb_based_infrastru,Paola Torrico Morón; Sahar Salimpour; Lei Fu; Xianjia Yu; Jorge Peña Queralta; Tomi Westerlund,2023,Benchmarking UWB-Based Infrastructure-Free Positioning and Multi-Robot Relative Localization: Dataset and Characterization,2023 IEEE Sensors Applications Symposium (SAS),https://doi.org/10.1109/sas58821.2023.10254018,D,abstract_read_via_openalex,5,no,no,yes,no
retscher_2023_fusion_of_gnss_pseudoranges,Guenther Retscher; Dániel Kiss; Jelena Gabela,2023,Fusion of GNSS Pseudoranges with UWB Ranges Based on Clustering and Weighted Least Squares,Sensors,https://doi.org/10.3390/s23063303,D,abstract_read_via_openalex,5,no,no,yes,no
zhao_2024_util_an_ultra_wideband_time_diff,Wenda Zhao; Abhishek Goudar; Xinyuan Qiao; Angela P. Schoellig,2024,UTIL: An ultra-wideband time-difference-of-arrival indoor localization dataset,The International Journal of Robotics Research,https://doi.org/10.1177/02783649241230640,D,abstract_read_via_openalex,5,no,no,yes,no
jiang_2025_fwaf_vid_a_flapping_wing_aggress,Ji Hai Jiang; Erzhen Pan; Wenfu Xu; Wei Sun; Jingyang Ye,2025,FWAF-VID: A Flapping-Wing Aggressive Flight Benchmark Dataset for Visual-Inertial Localization,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3560856,D,abstract_read_via_openalex,5,no,no,yes,no
joudarwin_2008_position_error_bound_uwb,Yuan Shen; Moe Z. Win,2008,On the Accuracy of Localization Systems Using Wideband Antenna Arrays,IEEE Transactions on Communications,https://doi.org/10.1109/TCOMM.2008.060156,D;E,FULL_TEXT_READ,5,no,yes,no,no
wymeersch_2009_cooperative_localization_wireless_networks,Henk Wymeersch; Jaime Lien; Moe Z. Win,2009,Cooperative Localization in Wireless Networks,Proceedings of the IEEE,https://doi.org/10.1109/JPROC.2009.202055 cooperative-localization-open-pdf,D;E,FULL_TEXT_READ,5,no,yes,no,no
aspnes_2006_theory_network_localization,James Aspnes; Tolga Eren; David K. Goldenberg; A. Stephen Morse; Walter Whiteley; Yang Richard Yang; Brian D. O. Anderson; Peter N. Belhumeur,2006,A Theory of Network Localization,IEEE Transactions on Mobile Computing,https://doi.org/10.1109/TMC.2006.174,E,FULL_TEXT_READ,5,no,yes,no,no
ho_2007_source_localization_using_tdoa,K. C. Ho; Xiaoning Lu; La-or Kovavisaruch,2007,Source Localization Using TDOA and FDOA Measurements in the Presence of Receiver Location Errors: Analysis and Solution,IEEE Transactions on Signal Processing,https://doi.org/10.1109/tsp.2006.885744,E,abstract_read_via_openalex,5,no,yes,no,no
dardari_2009_ranging_with_ultrawide_bandwidth,Davide Dardari; Andrea Conti; Ulric J. Ferner; Andrea Giorgetti; Moe Z. Win,2009,Ranging With Ultrawide Bandwidth Signals in Multipath Environments,Proceedings of the IEEE,https://doi.org/10.1109/jproc.2008.2008846,E,abstract_read_via_openalex,5,no,yes,yes,no
korso_2010_conditional_and_unconditional_cr,Mohammed Nabil El Korso; Rémy Boyer; Alexandre Renaux; Sylvie Marcos,2010,Conditional and Unconditional Cramér–Rao Bounds for Near-Field Source Localization,IEEE Transactions on Signal Processing,https://doi.org/10.1109/tsp.2010.2043128,E,abstract_read_via_openalex,5,no,yes,no,no
hesch_2014_camera_imu_observability,Joel A. Hesch; Dimitrios G. Kottas; Sean L. Bowman; Stergios I. Roumeliotis,2014,Camera-IMU-based localization: Observability analysis and consistency improvement,The International Journal of Robotics Research,https://doi.org/10.1177/0278364913509675,E,ABSTRACT_AND_METADATA_ONLY_NO_LOCAL_PDF,5,no,yes,no,no
su_2021_necessary_and_sufficient_conditi,Daobilige Su; He Kong; Salah Sukkarieh; Shoudong Huang,2021,Necessary and Sufficient Conditions for Observability of SLAM-Based TDOA Sensor Array Calibration and Source Localization,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2021.3069140,E,abstract_read_via_openalex,5,no,yes,no,no
chen_2022_identifiability_analysis_of_posi,Jinming Chen; Tong Wang; Xiaoyu Liu; Jianxin Wu,2022,Identifiability Analysis of Positioning and Synchronization Errors in Airborne Distributed Coherence Aperture Radars,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2022.3144481,E,abstract_read_via_openalex,5,no,yes,no,no
vaghefi_2012_cooperative_received_signal_stre,Reza Monir Vaghefi; Mohammad Gholami; R. Michael Buehrer; Erik G. Ström,2012,Cooperative Received Signal Strength-Based Sensor Localization With Unknown Transmit Powers,IEEE Transactions on Signal Processing,https://doi.org/10.1109/tsp.2012.2232664,E,abstract_read_via_openalex,4,no,yes,no,no
wang_2013_range_angle_localization_of_targ,Wen-Qin Wang; Huaizong Shao,2013,Range-Angle Localization of Targets by A Double-Pulse Frequency Diverse Array Radar,IEEE Journal of Selected Topics in Signal Processing,https://doi.org/10.1109/jstsp.2013.2285528,E,abstract_read_via_openalex,4,no,yes,no,no
rath_2020_single_anchor_positioning_multip,Michael Rath; Josef Kulmer; Erik Leitinger; Klaus Witrisal,2020,Single-Anchor Positioning: Multipath Processing With Non-Coherent Directional Measurements,IEEE Access,https://doi.org/10.1109/access.2020.2993197,E,FULL_TEXT_READ,4,no,yes,no,no
patwari_2005_locating_the_nodes,Neal Patwari; Joshua N. Ash; Spyros Kyperountas; Alfred O. Hero III; Randolph L. Moses; Neiyer S. Correal,2005,Locating the Nodes: Cooperative Localization in Wireless Sensor Networks,IEEE Signal Processing Magazine,https://doi.org/10.1109/MSP.2005.1458287,E;D,PDF_AVAILABLE_SCANNED_NO_TEXT,5,no,yes,no,no
stewart_1999_robust_parameter_estimation_in,Charles V. Stewart,1999,Robust Parameter Estimation in Computer Vision,SIAM Review,https://doi.org/10.1137/s0036144598345802,F,abstract_read_via_openalex,5,no,no,no,no
ibrahim_2006_two_stage_acquisition_for_uwb,Jihad Ibrahim; R. Michael Buehrer,2006,Two-stage acquisition for UWB in dense multipath,IEEE Journal on Selected Areas in Communications,https://doi.org/10.1109/jsac.2005.863832,F,abstract_read_via_openalex,5,no,no,no,no
jourdan_2006_monte_carlo_localization_in,Damien Jourdan; John Deyst; Moe Z. Win; Nicholas Roy,2006,Monte Carlo Localization in Dense Multipath Environments Using UWB Ranging,2005 IEEE International Conference on Ultra-Wideband,https://doi.org/10.1109/icu.2005.1570005,F,abstract_read_via_openalex,5,no,no,no,no
zampella_2013_robust_indoor_positioning_fusing,Francisco Zampella; Antonio R. Jiménez; Fernando Seco,2013,Robust indoor positioning fusing PDR and RF technologies: The RFID and UWB case,International Conference on Indoor Positioning and Indoor Navigation,https://doi.org/10.1109/ipin.2013.6817857,F,abstract_read_via_openalex,5,no,no,no,no
savic_2014_measurement_analysis_and_channel,Vladimir Savic; Javier Ferrer-Coll; Per Angskog; Jose Chilo; Peter Stenumgaard; Erik G. Larsson,2014,Measurement Analysis and Channel Modeling for TOA-Based Ranging in Tunnels,IEEE Transactions on Wireless Communications,https://doi.org/10.1109/twc.2014.2350493,F,abstract_read_via_openalex,5,no,no,no,no
gross_2015_robust_uav_relative_navigation,Jason N. Gross; Yu Gu; Matthew B. Rhudy,2015,"Robust UAV Relative Navigation With DGPS, INS, and Peer-to-Peer Radio Ranging",IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/tase.2014.2383357,F,abstract_read_via_openalex,5,no,no,no,no
blewitt_2016_midas_robust_trend_estimator,Geoffrey Blewitt; Corné Kreemer; W. C. Hammond; Julien Gazeaux,2016,MIDAS robust trend estimator for accurate GPS station velocities without step detection,Journal of Geophysical Research Solid Earth,https://doi.org/10.1002/2015jb012552,F,abstract_read_via_openalex,5,no,no,no,no
wang_2020_a_robust_extended_kalman,Chuanyang Wang; Houzeng Han; Jian Wang; Hang Yu; Yang Deng,2020,A Robust Extended Kalman Filter Applied to Ultrawideband Positioning,Mathematical Problems in Engineering,https://doi.org/10.1155/2020/1809262,F,abstract_read_via_openalex,5,no,no,no,no
zhou_2022_a_robust_detection_and,Ning Zhou; Lawrence Lau; Ruibin Bai; Terry Moore,2022,A Robust Detection and Optimization Approach for Delayed Measurements in UWB Particle-Filter-Based Indoor Positioning,NAVIGATION Journal of the Institute of Navigation,https://doi.org/10.33012/navi.514,F,abstract_read_via_openalex,5,no,no,no,no
luder_2025_anitrack,Victor Luder; Lukas Schulthess; Silvano Cortesi; Leyla Rivero Davis; Michele Magno,2025,AniTrack: A Power-Efficient Time-Slotted and Robust UWB Localization System for Animal Tracking in a Controlled Setting,arXiv preprint arXiv:2506.00216,https://doi.org/10.48550/arXiv.2506.00216,A;D,FULL_TEXT_READ,5,partially,no,yes,yes
