event_id,node,mode,status,onset_s,end_s,state_classification,lock_release,max_position_excursion_m,max_velocity_mps,recovery_settling_s,false_persistent_platform_transition,post_event_shift_m,reinitializations
E005,BSFAA61,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFAA61,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFAA61,S1,OK,518.0,519.0,STATIONARY_LOCK,0,4.09499597765e-05,2.2013959806e-05,0.0,0,0.035459487372,0
E005,BSFB165,B0,INPUT_RESPONSE,518.0,519.0,,,0.263037875515,,,,,
E005,BSFB165,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,53.7619172524,,,,
E005,BSFB165,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00205059043397,,,,
E005,BSFB165,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFB165,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFB165,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFB165,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.0310330721393,0.0104044634811,0.0,0,0.03168072405,0
E005,BSFEC35,B0,INPUT_RESPONSE,518.0,519.0,,,0.0960720513242,,,,,
E005,BSFEC35,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,131.788639614,,,,
E005,BSFEC35,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00157563781629,,,,
E005,BSFEC35,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFEC35,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFEC35,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSFEC35,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.00576564831077,0.00126595564062,0.0,0,0.0212051389673,0
E008,BSF3C79,B0,INPUT_RESPONSE,599.0,600.0,,,0.097019284496,,,,,
E008,BSF3C79,I0,LOCAL_FRAME_CONTROL,599.0,600.0,,,,77.9839939777,,,,
E008,BSF3C79,I1,LOCAL_FRAME_CONTROL,599.0,600.0,,,,0.166061033766,,,,
E008,BSF3C79,H2,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF3C79,H3,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF3C79,H5,BLOCKED_FRAME_BINDING,599.0,600.0,,,,,,,,
E008,BSF3C79,S1,OK,599.0,600.0,STATIONARY_LOCK,0,0.0960109260371,0.393611987889,0.0,0,0.0412734496975,0
E008,BSFC2CC,B0,INPUT_RESPONSE,599.0,600.0,,,0.0813657341763,,,,,
