host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:35:41.988+02:00,BSF66F,4612,2,C,2632,535747381,6550,47897,11290,679,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004612_C.bin
2026-06-02T01:35:42.963+02:00,BSF66F,4614,3,D,2599,2232091014,6691,47986,11137,757,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004614_D.bin
2026-06-02T01:35:43.916+02:00,BSF66F,4616,0,A,2709,4187940206,5513,47962,14044,1745,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004616_A.bin
2026-06-02T01:35:44.830+02:00,BSF66F,4617,4,E,2662,2104190341,8430,47969,12266,662,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004617_E.bin
2026-06-02T01:35:45.761+02:00,BSF66F,4618,1,B,3229,1383456830,5953,47650,10068,527,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004618_B.bin
2026-06-02T01:35:46.686+02:00,BSF66F,4619,5,F,3010,45886238,85,47898,22160,2053,64,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004619_F.bin
2026-06-02T01:35:47.617+02:00,BSF66F,4620,2,C,2578,3677354573,6634,47673,9882,662,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004620_C.bin
2026-06-02T01:35:48.591+02:00,BSF66F,4622,3,D,2616,1130627973,6631,47969,11361,717,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004622_D.bin
2026-06-02T01:35:49.544+02:00,BSF66F,4624,0,A,2730,3025711803,5587,47775,15484,1981,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004624_A.bin
2026-06-02T01:35:50.458+02:00,BSF66F,4625,4,E,2533,919728002,8707,47958,21376,1750,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004625_E.bin
