link_id,position_id,anchor_id,anchor_label,model,best_loglik,bic,mu_los,sigma,pi,lambda_or_equiv,n_inits_tried,adam_steps,lbfgs_steps,device
ID02_A,ID02,0,A,M1,-5157.096607103405,10342.553521549915,1873.9649670992544,17.861667299005184,0.017555737741804578,11.188141116764198,100,500,200,cuda:0
ID02_B,ID02,1,B,M1,-5285.551538856087,10599.466717000494,1830.8462614344564,19.570848213023723,0.005328111355111809,30.97096319230893,100,500,200,cuda:0
ID02_C,ID02,2,C,M1,-5729.393029234287,11487.133010206615,2249.3276296382155,29.094277662264528,0.0008470836353182015,44.16531343460265,100,500,200,cuda:0
ID02_D,ID02,3,D,M1,-5148.462892275368,10325.289423839056,2448.9999999981874,18.185404374541157,0.032636316308794606,3.369436383843926,100,500,200,cuda:0
ID02_E,ID02,4,E,M1,-5375.615847639415,10779.59533456715,1697.9999998691314,21.38282688478236,0.01988308553720768,11.829868149902184,100,500,200,cuda:0
ID02_F,ID02,5,F,M1,-6890.982510414806,13810.308626687074,1738.3684692099607,66.80083230152279,0.06153010643046308,193.3437782591027,100,500,200,cuda:0
ID02_G,ID02,6,G,M1,-5826.981311811634,11682.235311624821,2267.98565197444,26.037187739122075,0.054797936311898506,349.14313390711493,100,500,200,cuda:0
ID02_H,ID02,7,H,M1,-6139.829302153348,12307.975341885134,2197.155292084999,40.49961299776902,0.03701524640200138,68.83492621998579,100,500,200,cuda:0
ID03_A,ID03,0,A,M1,-5858.04290851232,11744.446124367743,2208.221534276846,31.905235677675794,0.00017868266098904377,45.095966473110565,100,500,200,cuda:0
ID03_B,ID03,1,B,M1,-5464.628071864159,10957.619783016638,2435.351459218937,22.50429244775543,0.01608971636158561,31.755645610782597,100,500,200,cuda:0
ID03_C,ID03,2,C,M1,-5417.137383166567,10862.628401447835,2545.031967842969,22.259035074636135,0.00012081879169682162,166.353132129555,100,500,200,cuda:0
ID03_D,ID03,3,D,M1,-5471.317979663498,10970.999598615315,2977.999999895794,23.325211202392342,0.015069424748501549,3.8380952171238647,100,500,200,cuda:0
