scenario,ID,capture,n_samples,bias_3d_mm,bias_xz_mm,bias_y_mm,scatter_3d_rms_mm,scatter_xz_rms_mm,scatter_y_rms_mm,gdop,residual_rms_median_mm,anchors_used_median,tag_truth_source,tag_truth_corrected
vicon_truth_delaycal_T4,ID10,static_ID10_BSF66F_120s_20260528_114216,1201,10.411996266221243,9.880406435505838,3.2843926252839992,45.54238730189396,33.66875807372607,30.667960005983748,1.1232684454029784,63.755764274753744,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID11,static_ID11_BSF66F_120s_20260528_114551,1201,17.496748613209576,11.192463512330097,13.448604855486337,33.13139953181049,25.31652849055655,21.37201488216051,1.170085568736034,40.919665190922785,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID12,static_ID12_BSF66F_120s_20260528_115143,1201,62.100870165253696,61.964536521030944,4.112698507734194,44.18278449703237,37.687027417743884,23.060928219077066,1.1272001511709564,70.64251278032621,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID13,static_ID13_BSF66F_120s_20260528_115704,1200,69.06624380038132,9.13908143826041,68.45891631598147,59.82620683556198,40.2466407209619,44.264917655060145,1.2132358879523046,74.53240617050409,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID14,static_ID14_BSF66F_120s_20260528_120122,1201,113.78016267672832,60.14353809140554,96.58509328354148,48.41431244936946,38.832385076134734,28.913517932689537,1.2138935097105596,72.66923582971411,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID15,static_ID15_BSF66F_120s_20260528_120437,1201,53.03461087226736,11.840790868982234,51.69589560080999,61.2508512500232,46.41359994351739,39.96804372415032,1.213882088317755,79.11242421934148,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID16,static_ID16_BSF66F_120s_20260528_120804,1201,56.46302300130211,33.226263679873554,45.6518167034028,51.564510275427715,38.59999493316496,34.189751550783896,1.2148753635800749,57.33441651102964,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID17,static_ID17_BSF66F_120s_20260528_121200,1199,61.37348381931583,46.7520418577728,39.761175765423246,74.87897379895404,54.727803657713466,51.10507043324771,1.1280594957745882,100.91053899222106,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID18,static_ID18_BSF66F_120s_20260528_121519,1199,80.8819915380245,26.648815509315238,76.36581163784973,49.94588093490676,40.11016265916927,29.761819060985935,1.1291625849215885,71.50290956198091,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID19,static_ID19_BSF66F_120s_20260528_121846,1201,9.42856049317463,7.077564009128232,6.229433414857738,112.666242793343,52.691868147861065,99.58538696142593,1.1276818223135927,202.11033653450505,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID20,static_ID20_BSF66F_120s_20260528_122210,1201,43.188627638801805,38.64449026689231,19.28369594593164,74.65552464593742,40.73607285316813,62.56212695122783,1.1278368765519142,125.30074371379372,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID21,static_ID21_BSF66F_120s_20260528_122611,1201,41.71795366280401,26.446911871049977,32.26373366950543,69.85734089117857,54.147771772057574,44.136910726822435,1.1386288486672942,105.47751553438393,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID22,static_ID22_BSF66F_120s_20260528_122946,1201,100.21679839393644,29.487237263371536,95.78052786921012,43.52867473122334,34.6175271907682,26.388867634915023,1.1388515263644108,118.69924042939658,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID23,static_ID23_BSF66F_120s_20260528_123303,1201,57.39408342249289,57.000032741957924,6.713946628012309,55.485262489106844,48.16575404322153,27.544046379081195,1.138761486418698,82.01501546219983,8.0,motive_iantenna,False
vicon_truth_delaycal_T4,ID24,static_ID24_BSF66F_120s_20260528_123717,1201,28.725717687121374,20.711513754863454,19.90477466896573,59.426890806463355,46.81372357522568,36.606428888184084,1.1385579407914876,147.3123737432398,8.0,motive_iantenna,False
