variant,position,frames_input,frames_solved,delta_tag_train_mm,rho_tag_train_percent,anchor_delay_min_mm,anchor_delay_max_mm,correction_description,anchor_registration,anchor_registration_det,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,d3_std_mm,pct_solved_ge8,residual_rms_median_mm
V-B_tagfit_delta_only_LOO_T4,ID20,1201,1201,-148.11485472789704,7.438644735136535,-43.72625465806432,84.8208134216426,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,47.608674649685554,-295.0228272974175,-26.686912792981758,54.578175274736196,295.0228272974175,300.0287416946611,91.83578327614288,91.42381348875936,124.82128241089396
V-B_tagfit_delta_plus_rho_LOO_T4,ID20,1201,1201,-148.11485472789704,7.438644735136535,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,8.00242650518976,22.459849694253506,-21.987862531488446,23.398823232688372,22.459849694253506,32.4337752499313,72.61636933046223,91.42381348875936,114.99743400047592
V-B_tagfit_delta_only_LOO_T4,ID21,1201,1201,-153.33615091218945,7.569000086278876,-39.42384685106235,84.3867173093517,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-23.09867341463311,239.27758650743135,-2.6043706439593564,23.245030866122672,239.27758650743135,240.4040242275247,77.09019330135465,91.3405495420483,120.47521693148626
V-B_tagfit_delta_plus_rho_LOO_T4,ID21,1201,1201,-153.33615091218945,7.569000086278876,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,5.639695385238184,-26.943877303208637,14.801369181057197,15.839403198107771,26.943877303208637,31.25474712427839,54.80109707732156,91.3405495420483,89.3501342412437
V-B_tagfit_delta_only_LOO_T4,ID22,1201,1201,-158.30208388449512,7.684915548277971,-42.1549971966232,67.63918684491003,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-19.954723323506983,162.77266547809882,-31.431590593098008,37.23084568109944,162.77266547809882,166.97627525183003,59.098344764307605,92.67277268942547,157.3701665754292
V-B_tagfit_delta_plus_rho_LOO_T4,ID22,1201,1201,-158.30208388449512,7.684915548277971,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,12.800607540055239,-90.16742807851892,0.44726696914472086,12.808419150551208,90.16742807851892,91.07261216980157,45.401847648321905,92.67277268942547,112.02657987269754
V-B_tagfit_delta_only_LOO_T4,ID23,1201,1201,-157.15332281815915,7.646698815256769,-40.9134733293917,83.27544539049933,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,50.997774905199634,282.67819891657496,-100.82578484524507,112.98943284635541,282.67819891657496,304.4233500861256,84.76826485497833,93.75520399666945,123.2049251198809
V-B_tagfit_delta_plus_rho_LOO_T4,ID23,1201,1201,-157.15332281815915,7.646698815256769,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,26.828636353561564,-4.621288010647277,-16.78754465983471,31.648023386897165,4.621288010647277,31.98364718375536,64.29665070426397,93.75520399666945,77.68385753342143
V-B_tagfit_delta_only_LOO_T4,ID24,1201,1201,-147.63086282632443,7.336224239255529,-35.8106878313461,83.24158099173748,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-32.67135953045732,210.28649456209791,-64.8268261934202,72.59431884025304,210.28649456209791,222.4642553829616,97.01964009245262,92.5895087427144,188.47385899614426
V-B_tagfit_delta_plus_rho_LOO_T4,ID24,1201,1201,-147.63086282632443,7.336224239255529,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-9.676768320012513,-57.89481192184189,-3.3648164203209774,10.245088318880393,57.89481192184189,58.79431164770199,63.17880678036217,92.5895087427144,167.86784236948097
