layout,tag_method,kind,keep_k,drop_category,dropped_lower_count,dropped_upper_count,drop_sets,d3_std_mm_median,d3_std_mm_p95_over_drop_sets,z_std_mm_median,residual_rms_median_mm
v3-full,T1,static,7,upper_heavy,0,1,4,67.22978591918945,71.70294017791748,49.283711433410645,81.18487930297852
v3-full,T1,static,6,balanced,1,1,16,77.28422546386719,91.47272968292236,51.24275588989258,70.57622146606445
v3-full,T1,static,6,lower_heavy,2,0,6,85.96719741821289,92.86031818389893,60.94438362121582,73.88749504089355
v3-full,T1,static,6,upper_heavy,0,2,6,66.88895606994629,76.36681747436523,44.89482879638672,76.47489166259766
v3-full,T1,static,5,lower_heavy,2,1,24,102.40675354003906,138.42694358825682,70.76813888549805,59.5613226890564
v3-full,T1,static,5,lower_heavy,3,0,4,115.78499221801758,119.19346199035644,74.03532409667969,60.25474691390991
v3-full,T1,static,5,upper_heavy,0,3,4,71.29520034790039,79.1013557434082,41.69968128204346,67.27920579910278
v3-full,T1,static,5,upper_heavy,1,2,24,75.62347984313965,105.72358055114746,50.75216770172119,58.813881397247314
v3-full,T1,static,4,balanced,2,2,36,116.17733001708984,164.9426975250244,70.33350563049316,35.08096218109131
v3-full,T1,static,4,lower_heavy,3,1,16,124.12196350097656,177.16772651672363,90.13222122192383,32.30049753189087
v3-full,T1,static,4,lower_heavy,4,0,1,132.41606903076172,132.41606903076172,73.10454177856445,28.8065185546875
v3-full,T1,static,4,upper_heavy,0,4,1,45.97134208679199,45.97134208679199,28.414602279663086,42.23186016082764
v3-full,T1,static,4,upper_heavy,1,3,16,70.45472717285156,108.34133529663086,42.14467811584473,32.686508655548096
v3-full,T2,static,7,lower_heavy,1,0,4,72.1476879119873,74.52577705383301,48.01593780517578,79.91700744628906
v3-full,T2,static,7,upper_heavy,0,1,4,68.14279556274414,72.51974678039551,49.821754455566406,81.13991737365723
v3-full,T2,static,6,balanced,1,1,16,77.14285278320312,92.73739624023438,51.09316158294678,70.4917984008789
v3-full,T2,static,6,lower_heavy,2,0,6,86.34299850463867,93.4727087020874,60.89407253265381,73.97743606567383
v3-full,T2,static,6,upper_heavy,0,2,6,67.41605949401855,76.15136814117432,45.082247734069824,76.274489402771
v3-full,T2,static,5,lower_heavy,2,1,24,103.31596755981445,138.279292678833,70.05569076538086,59.72062587738037
v3-full,T2,static,5,lower_heavy,3,0,4,115.19845581054688,119.39601345062256,76.13204574584961,60.14147329330444
v3-full,T2,static,5,upper_heavy,0,3,4,70.78627300262451,79.05023212432862,41.5357141494751,67.24548673629761
v3-full,T2,static,5,upper_heavy,1,2,24,75.23496627807617,105.96254577636718,50.5286750793457,58.9714937210083
v3-full,T2,static,4,balanced,2,2,36,116.28290557861328,162.63714218139648,70.89188957214355,36.23426961898804
v3-full,T2,static,4,lower_heavy,3,1,16,124.76747512817383,175.9410572052002,89.52919387817383,32.365540981292725
v3-full,T2,static,4,lower_heavy,4,0,1,131.63948822021484,131.63948822021484,85.9494514465332,28.804203033447266
v3-full,T2,static,4,upper_heavy,0,4,1,45.97102165222168,45.97102165222168,28.41316032409668,41.08004283905029
v3-full,T2,static,4,upper_heavy,1,3,16,70.40875244140625,112.47537136077881,42.76103591918945,31.851073741912842
v3-full,T3,static,7,lower_heavy,1,0,4,68.36519145965576,70.93473396301269,46.08913040161133,82.58651924133301
v3-full,T3,static,7,upper_heavy,0,1,4,64.29740524291992,70.17091970443725,46.322251319885254,83.85891532897949
v3-full,T3,static,6,balanced,1,1,16,72.88502311706543,90.80415058135986,47.74115753173828,72.15649223327637
v3-full,T3,static,6,lower_heavy,2,0,6,84.54521179199219,90.64259147644043,55.91677951812744,77.08319854736328
v3-full,T3,static,6,upper_heavy,0,2,6,62.66793632507324,71.99351978302002,44.38379764556885,79.8567762374878
v3-full,T3,static,5,lower_heavy,2,1,24,96.8501091003418,117.8270107269287,64.78206062316895,60.96561145782471
v3-full,T3,static,5,lower_heavy,3,0,4,103.2921371459961,111.18030853271485,70.87670135498047,60.736520767211914
v3-full,T3,static,5,upper_heavy,0,3,4,58.07925891876221,68.7395531654358,37.29308795928955,69.54585647583008
v3-full,T3,static,5,upper_heavy,1,2,24,68.21962547302246,95.70755825042724,45.86662197113037,62.04007530212402
v3-full,T3,static,4,balanced,2,2,36,107.54122734069824,136.8424015045166,63.31123447418213,36.892635345458984
v3-full,T3,static,4,lower_heavy,3,1,16,123.12538719177246,163.51374435424805,81.50391578674316,32.577696084976196
v3-full,T3,static,4,lower_heavy,4,0,1,107.08192825317383,107.08192825317383,73.91255569458008,30.054280757904053
v3-full,T3,static,4,upper_heavy,0,4,1,50.74203681945801,50.74203681945801,29.948190689086914,42.0556697845459
v3-full,T3,static,4,upper_heavy,1,3,16,63.39650821685791,106.7497968673706,40.89114570617676,32.76404428482056
v3-full,T4,static,7,lower_heavy,1,0,4,68.36519145965576,70.93473396301269,46.08913040161133,82.58651924133301
v3-full,T4,static,7,upper_heavy,0,1,4,64.29740524291992,70.17091970443725,46.322251319885254,83.85891532897949
v3-full,T4,static,6,balanced,1,1,16,72.88502311706543,90.80415058135986,47.74115753173828,72.15649223327637
v3-full,T4,static,6,lower_heavy,2,0,6,84.54521179199219,90.64259147644043,55.91677951812744,77.08319854736328
v3-full,T4,static,6,upper_heavy,0,2,6,62.66793632507324,71.99351978302002,44.38379764556885,79.8567762374878
v3-full,T4,static,5,lower_heavy,2,1,24,96.8501091003418,117.8270107269287,64.78206062316895,60.96561145782471
v3-full,T4,static,5,lower_heavy,3,0,4,103.2921371459961,111.18030853271485,70.87670135498047,60.736520767211914
v3-full,T4,static,5,upper_heavy,0,3,4,58.07925891876221,68.7395531654358,37.29308795928955,69.54585647583008
v3-full,T4,static,5,upper_heavy,1,2,24,68.21962547302246,95.70755825042724,45.86662197113037,62.04007530212402
v3-full,T4,static,4,balanced,2,2,36,107.54122734069824,136.8424015045166,63.31123447418213,36.892635345458984
v3-full,T4,static,4,lower_heavy,3,1,16,123.12538719177246,163.51374435424805,81.50391578674316,32.577696084976196
v3-full,T4,static,4,lower_heavy,4,0,1,107.08192825317383,107.08192825317383,73.91255569458008,30.054280757904053
v3-full,T4,static,4,upper_heavy,0,4,1,50.74203681945801,50.74203681945801,29.948190689086914,42.0556697845459
v3-full,T4,static,4,upper_heavy,1,3,16,63.39650821685791,106.7497968673706,40.89114570617676,32.76404428482056
v3-lite,T1,static,7,lower_heavy,1,0,4,69.95039367675781,71.7352445602417,49.17268371582031,77.9995174407959
v3-lite,T1,static,7,upper_heavy,0,1,4,60.810730934143066,71.45816316604613,42.54647636413574,77.0322265625
v3-lite,T1,static,6,balanced,1,1,16,74.07221031188965,95.86534690856934,51.719637870788574,71.78156661987305
v3-lite,T1,static,6,lower_heavy,2,0,6,88.64689826965332,94.33052349090576,66.49655342102051,72.6028823852539
v3-lite,T1,static,6,upper_heavy,0,2,6,66.77657508850098,76.25501441955566,47.75235939025879,71.99625015258789
v3-lite,T1,static,5,lower_heavy,2,1,24,98.69076347351074,142.57451705932615,67.56353378295898,56.363040924072266
v3-lite,T1,static,5,lower_heavy,3,0,4,111.59281539916992,117.93751907348633,73.33535575866699,50.69051742553711
v3-lite,T1,static,5,upper_heavy,0,3,4,68.45476245880127,80.90481472015381,38.72526931762695,66.36572742462158
v3-lite,T1,static,5,upper_heavy,1,2,24,79.72043228149414,112.33394660949706,51.581960678100586,59.71200656890869
v3-lite,T1,static,4,balanced,2,2,36,111.63673210144043,154.65993309020996,70.7386589050293,34.54493951797485
