capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R06,BSDC91,1201,1201,0.0003768106306251525,0.0007128855629111964,0.0010418224361086166,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R07,BS2DCE,1200,1200,0.0003962099463018747,0.0006139534408833839,0.0007660453483944147,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R07,BSDC91,1201,1201,0.0005308536832849258,0.0009275654552465327,0.0013370621097292975,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R08,BS2DCE,1201,1201,0.0003294085882736188,0.0005319331699990623,0.0007436449799307115,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R08,BSDC91,1200,1200,0.0004524401913391395,0.0008179842685383542,0.001228061152161971,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R09,BS2DCE,1200,1200,0.00027941786785999644,0.0004362260377089855,0.0007112917232895217,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R09,BSDC91,1200,1200,0.00035351963084850137,0.000591870324533344,0.0008444485625211822,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R10,BS2DCE,1200,1200,0.0003735269253753605,0.0006667034352315613,0.0008480348603495141,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R10,BSDC91,1200,1200,0.0003857070360280312,0.0007370105714581578,0.0010631129591940427,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R11,BS2DCE,1201,1201,0.00033021997365165846,0.00044745564862316167,0.0005613117539293887,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R11,BSDC91,1200,1200,0.0003875479918961285,0.0005978235303749326,0.0009660120271561087,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R12,BS2DCE,1200,1200,0.00034415485065842293,0.0005144895654249533,0.0006628756335365389,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R12,BSDC91,1200,1200,0.0003538805118221737,0.0005552003102455914,0.0006951261551897618,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R13,BS2DCE,1201,1201,29.762140138205393,0.2848547216357168,694.2219794651227,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R13,BSDC91,1200,1200,0.00027262752998934126,0.00042542623560257355,0.0006887616342587554,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R14,BS2DCE,1201,1201,0.00030624963381994046,0.0005726401185264422,0.0007973234465842156,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R14,BSDC91,1200,1200,0.00032502998528772473,0.0006129654005458798,0.0010108864200737014,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R15,BS2DCE,1200,1200,0.00030938991716578416,0.000535177348901463,0.0010844383733360355,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R15,BSDC91,1200,1200,0.00034723578903783983,0.0005097141626355607,0.0006595762360181585,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R16,BS2DCE,1201,1201,0.00029829287791687307,0.00048046840576996153,0.0006049029927281198,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R16,BSDC91,1200,1200,0.00031248311056385295,0.00048809415456133525,0.0007402648354954462,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R17,BS2DCE,1201,1201,0.00027197653075531605,0.00038571494603902706,0.0005181015824974817,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R17,BSDC91,1200,1200,0.0002977182430588329,0.00042620493973401414,0.0005926261957780215,1.0,1.0,R2:L12:I1+I2+I3+I8:T6,R2,L12,I1+I2+I3+I8,T6,47.32,1.0,False
R01,BS2DCE,1201,1201,0.0004342183168713929,0.0007369253023224033,0.001045145568041174,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R01,BSDC91,1200,1200,0.0003915703785523774,0.0006659898818453032,0.0008683850699559596,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R02,BS2DCE,1201,1201,0.0004090763016949413,0.0006810537094769349,0.0009956893657929178,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R02,BSDC91,1200,1200,0.00034286060809635464,0.0006152189079576665,0.0008416301810469819,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R03,BS2DCE,1200,1200,0.0003972031221331282,0.0006627654237802646,0.0009075552061125737,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R03,BSDC91,1200,1200,0.0003504373438915366,0.0006100200217295845,0.0009322102434121429,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
R04,BS2DCE,1200,1200,0.00043254442927942986,0.0007741523553435899,0.0009958046508893848,1.0,1.0,R2:L12:I1+I2+I3+I8:T8,R2,L12,I1+I2+I3+I8,T8,69.16,1.0,True
