s,delta_c_mm,d_tag_mm,median_3d_mm,rmse_mm,vert_slope
0.93,-20.0,25.0,362.05560302734375,343.63652672555054,541.8664891485442
0.93,-20.0,30.0,353.5930480957031,335.175187402051,528.6550421168364
0.93,-20.0,35.0,345.13372802734375,326.83107974533266,515.5019968998412
0.93,-20.0,40.0,336.66790771484375,318.5983340155752,502.40657566891934
0.93,-20.0,45.0,327.6351623535156,310.47135284515383,489.3680066843746
0.93,-20.0,50.0,318.7574462890625,302.4448296797285,476.38535686497005
0.93,-20.0,55.0,310.028564453125,294.51407277496946,463.4580526967366
0.93,-20.0,60.0,301.4429931640625,286.67478034787086,450.5851504351989
0.93,-20.0,65.0,292.99517822265625,278.92333456077137,437.76623018662303
0.93,-20.0,70.0,284.67987060546875,271.25655234021536,425.00074282680805
0.93,-20.0,75.0,276.42138671875,263.67186342592566,412.2883440941879
0.93,-20.0,80.0,267.63983154296875,256.1671969876315,399.62899428810084
0.93,-20.0,85.0,259.4311828613281,248.74117446655268,387.0226696015018
0.93,-20.0,90.0,251.34413146972656,241.39283336503593,374.46957208491784
0.93,-20.0,95.0,243.3298797607422,234.1218049034519,361.9701235080415
0.93,-20.0,100.0,235.38772583007812,226.92826509714473,349.5248838897797
0.93,-20.0,105.0,227.51727294921875,219.8128731870588,337.13457680863337
0.93,-20.0,110.0,219.71783447265625,212.77681418859999,324.79990487566033
0.93,-20.0,115.0,211.9888916015625,205.82193267178792,312.52207267280767
0.93,-20.0,120.0,204.33004760742188,198.95046886725348,300.3020936181745
0.93,-20.0,125.0,196.74102783203125,192.1653849064654,288.14133163570784
0.93,-20.0,130.0,189.2215576171875,185.47011635975215,276.0411485770184
0.93,-20.0,135.0,180.95765686035156,178.86877063751234,264.00288203578106
0.93,-20.0,140.0,172.25082397460938,172.3662355005324,252.0283215632484
0.93,-10.0,0.0,387.4451904296875,369.7855163807798,581.8558543255084
0.93,-10.0,5.0,378.9835205078125,360.935687224885,568.4667333419868
0.93,-10.0,10.0,370.5196533203125,352.2213437598579,555.1369571758557
0.93,-10.0,15.0,362.05560302734375,343.63652672555054,541.866479851459
0.93,-10.0,20.0,353.5930480957031,335.175187402051,528.6550478722058
0.93,-10.0,25.0,345.13372802734375,326.83107974533266,515.5019968998412
0.93,-10.0,30.0,336.66790771484375,318.5983340155752,502.40657566891934
0.93,-10.0,35.0,327.6351623535156,310.47135284515383,489.3680095620593
0.93,-10.0,40.0,318.7574462890625,302.4448296797285,476.38535686497005
0.93,-10.0,45.0,310.028564453125,294.51407277496946,463.4580526967366
0.93,-10.0,50.0,301.44293212890625,286.67479397393834,450.5851509663213
0.93,-10.0,55.0,292.9951171875,278.92334856551537,437.7662296655123
0.93,-10.0,60.0,284.67987060546875,271.25655234021536,425.00074282680805
0.93,-10.0,65.0,276.42138671875,263.67186342592566,412.2883440941879
0.93,-10.0,70.0,267.63983154296875,256.1671969876315,399.62899428810084
0.93,-10.0,75.0,259.4311828613281,248.74118231858995,387.0226792867887
0.93,-10.0,80.0,251.34413146972656,241.39283336503593,374.4695817702046
0.93,-10.0,85.0,243.3298797607422,234.1218049034519,361.9701263857262
0.93,-10.0,90.0,235.38772583007812,226.92826509714473,349.52488578059746
0.93,-10.0,95.0,227.51727294921875,219.8128731870588,337.13457491781554
0.93,-10.0,100.0,219.71783447265625,212.77681418859999,324.79990487566033
0.93,-10.0,105.0,211.9888916015625,205.82193267178792,312.5220659753889
0.93,-10.0,110.0,204.33004760742188,198.95045905011128,300.3020936181745
0.93,-10.0,115.0,196.7410888671875,192.1653849064654,288.1413422112768
0.93,-10.0,120.0,189.2215576171875,185.47012689042404,276.0411485770184
0.93,-10.0,125.0,180.95765686035156,178.86877063751234,264.00288203578106
0.93,-10.0,130.0,172.25082397460938,172.3662355005324,252.02832345406622
0.93,-10.0,135.0,163.58522033691406,165.96802332264187,240.11893798114946
0.93,-10.0,140.0,154.96432495117188,159.6805404549972,228.2764767290666
0.93,0.0,0.0,370.5196533203125,352.2213437598579,555.1369571758557
0.93,0.0,5.0,362.05560302734375,343.63652672555054,541.866479851459
0.93,0.0,10.0,353.5930480957031,335.175187402051,528.6550478722058
0.93,0.0,15.0,345.13372802734375,326.83107974533266,515.5019968998412
0.93,0.0,20.0,336.66790771484375,318.5983340155752,502.406566371834
0.93,0.0,25.0,327.6351623535156,310.47135284515383,489.3680095620593
