median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vertical_mm,n_positions,fail_rate,estimator,layout,split_family,split,evidence_label,dtag_fit_mm
47.422839767402564,47.422839767402564,47.422839767402564,4.388723714985019,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID17,HELD-OUT,45.54589171308119
33.275897706505845,33.275897706505845,33.275897706505845,19.036352318386378,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID18,HELD-OUT,45.48771871103386
127.61439175984684,127.61439175984684,127.61439175984684,121.79844397264957,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID19,HELD-OUT,44.95328279037177
22.76584379382284,22.76584379382284,22.76584379382284,1.6620386946495103,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID20,HELD-OUT,45.54589171308119
50.24042006476444,50.24042006476444,50.24042006476444,26.43061570514419,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID21,HELD-OUT,45.30777429916049
24.25115388488431,24.25115388488431,24.25115388488431,9.953809432655362,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID22,HELD-OUT,45.54589171308119
51.06855662328951,51.06855662328951,51.06855662328951,47.51480764600478,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID23,HELD-OUT,44.95328279037177
103.93719144544748,103.93719144544748,103.93719144544748,99.3952996821356,1,0.0,kde_lowest_mode,V5_CV5,loo_position,ID24,HELD-OUT,44.64998262706863
93.23624841332119,166.7091902586336,106.50890974228354,79.73474853037982,8,0.0,kde_lowest_mode,V5_CV5,leave_height,LOW,HELD-OUT,45.48771871103386
55.663871654413285,86.01853189786593,60.2630418645577,39.76270726773123,8,0.0,kde_lowest_mode,V5_CV5,leave_height,MID,HELD-OUT,44.95328279037177
59.889521681810365,132.47942684207095,84.15541104693192,57.01629516538719,8,0.0,kde_lowest_mode,V5_CV5,leave_height,HIGH,HELD-OUT,44.28683446314661
76.84429468039254,111.36542282137886,86.27100090466737,61.1887402069151,3,0.0,kde_lowest_mode,V5_CV5,leave_quadrant,NE,HELD-OUT,45.30777429916049
84.50475590077264,147.01161944450538,98.01053041116293,74.11739360071999,8,0.0,kde_lowest_mode,V5_CV5,leave_quadrant,NW,HELD-OUT,43.61452985874416
60.85092510211902,101.60761488848368,70.01656734586189,53.796019994398364,4,0.0,kde_lowest_mode,V5_CV5,leave_quadrant,SE,HELD-OUT,43.869157358355366
59.20569681023026,133.20198407352026,76.9856838114125,36.43387559732972,9,0.0,kde_lowest_mode,V5_CV5,leave_quadrant,SW,HELD-OUT,57.07741291192249
52.121025762144484,158.63032215130698,76.76868255846519,36.17645618740505,24,0.0,gaussian_exponential_mix,V5_CV5,all_data,ALL,TRANSDUCTIVE,14.352495871212597
160.2896609384373,160.2896609384373,160.2896609384373,135.5958727617386,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID01,HELD-OUT,13.749955548582605
52.1200146089771,52.1200146089771,52.1200146089771,22.703847571411643,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID02,HELD-OUT,15.213316878634323
63.0678149917958,63.0678149917958,63.0678149917958,61.92459812693642,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID03,HELD-OUT,14.972444384172853
152.88009710782455,152.88009710782455,152.88009710782455,139.45894464163146,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID04,HELD-OUT,13.313094000016903
40.849495072411266,40.849495072411266,40.849495072411266,7.744234616990752,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID05,HELD-OUT,13.532416505436828
163.63023059545696,163.63023059545696,163.63023059545696,161.4744500822128,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID06,HELD-OUT,13.532416505436828
107.62626688766137,107.62626688766137,107.62626688766137,79.66571408070146,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID07,HELD-OUT,14.53714539162447
67.25116327121161,67.25116327121161,67.25116327121161,54.348453233978034,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID08,HELD-OUT,14.352495871212597
40.219705564718694,40.219705564718694,40.219705564718694,30.811974587513077,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID09,HELD-OUT,14.352495871212597
58.76750639075681,58.76750639075681,58.76750639075681,57.739582835558565,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID10,HELD-OUT,13.532416505436828
61.521784847671604,61.521784847671604,61.521784847671604,47.83002842007431,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID11,HELD-OUT,13.313094000016903
116.12057475682361,116.12057475682361,116.12057475682361,93.87043177371629,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID12,HELD-OUT,13.749955548582605
35.19309389721796,35.19309389721796,35.19309389721796,14.916051147443113,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID13,HELD-OUT,14.972444384172853
69.46235156959801,69.46235156959801,69.46235156959801,54.959090964644474,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID14,HELD-OUT,14.972444384172853
46.3204763870509,46.3204763870509,46.3204763870509,41.01779022022674,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID15,HELD-OUT,14.972444384172853
24.00151744235212,24.00151744235212,24.00151744235212,13.72229193691146,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID16,HELD-OUT,14.352495871212597
50.35143904740924,50.35143904740924,50.35143904740924,32.28855706613339,1,0.0,gaussian_exponential_mix,V5_CV5,loo_position,ID17,HELD-OUT,15.213316878634323
