position_id,error_3d_mm,d_tag_train_mm,range_method,e_setting,layout_label
ID09,57.990694662541024,14.89340330065157,p30,E2_e_zero,p30__E2_e_zero
ID10,58.25808673960719,13.869101245951114,p30,E2_e_zero,p30__E2_e_zero
ID11,78.03752236094992,12.690018129042969,p30,E2_e_zero,p30__E2_e_zero
ID12,123.67113239989074,14.668064192427877,p30,E2_e_zero,p30__E2_e_zero
ID13,37.3828192909369,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID14,68.3234001646754,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID15,34.96673813243468,14.89340330065157,p30,E2_e_zero,p30__E2_e_zero
ID16,38.92809882881074,14.89340330065157,p30,E2_e_zero,p30__E2_e_zero
ID17,99.42662645901729,15.750134323284769,p30,E2_e_zero,p30__E2_e_zero
ID18,37.11085687200386,15.750134323284769,p30,E2_e_zero,p30__E2_e_zero
ID19,35.699571539427545,15.750134323284769,p30,E2_e_zero,p30__E2_e_zero
ID20,32.47724950499744,15.750134323284769,p30,E2_e_zero,p30__E2_e_zero
ID21,27.21234860650145,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID22,29.915758030971933,14.89340330065157,p30,E2_e_zero,p30__E2_e_zero
ID23,42.680805204444816,15.341017873295627,p30,E2_e_zero,p30__E2_e_zero
ID24,22.466559670932106,14.668064192427877,p30,E2_e_zero,p30__E2_e_zero
ID01,159.9328180308424,17.051730124087996,p20,E0_e_reg20,p20__E0_e_reg20
ID02,47.226016941963735,18.20967459812374,p20,E0_e_reg20,p20__E0_e_reg20
ID03,40.16891694444677,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID04,172.72528903785653,16.418185487478695,p20,E0_e_reg20,p20__E0_e_reg20
ID05,33.52245235941343,16.60182638453408,p20,E0_e_reg20,p20__E0_e_reg20
ID06,194.09500128510794,16.60182638453408,p20,E0_e_reg20,p20__E0_e_reg20
ID07,86.36785684541279,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID08,69.53993676252384,17.498082640435754,p20,E0_e_reg20,p20__E0_e_reg20
ID09,60.15674149627569,17.498082640435754,p20,E0_e_reg20,p20__E0_e_reg20
ID10,64.27943566804232,16.60182638453408,p20,E0_e_reg20,p20__E0_e_reg20
ID11,81.8120333864209,16.418185487478695,p20,E0_e_reg20,p20__E0_e_reg20
ID12,126.65000860861136,17.051730124087996,p20,E0_e_reg20,p20__E0_e_reg20
ID13,37.308292281762455,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID14,62.62529604857697,17.498082640435754,p20,E0_e_reg20,p20__E0_e_reg20
ID15,31.8438949698756,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID16,43.560213842821284,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID17,98.24506937573015,18.20967459812374,p20,E0_e_reg20,p20__E0_e_reg20
ID18,35.40587865249819,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID19,37.91796722205399,17.750134012295334,p20,E0_e_reg20,p20__E0_e_reg20
ID20,35.78852270887885,18.20967459812374,p20,E0_e_reg20,p20__E0_e_reg20
ID21,29.430686295975423,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID22,23.07932433338635,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID23,46.65145518518327,17.891545586283513,p20,E0_e_reg20,p20__E0_e_reg20
ID24,24.525006930952806,17.051730124087996,p20,E0_e_reg20,p20__E0_e_reg20
ID01,159.2331383484437,17.538930967895958,p20,E1_e_reg5,p20__E1_e_reg5
ID02,46.03512601614211,19.03952716981056,p20,E1_e_reg5,p20__E1_e_reg5
ID03,41.96147749089578,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID04,168.30746008437413,16.08926717257895,p20,E1_e_reg5,p20__E1_e_reg5
ID05,32.83341842398296,16.52201720972578,p20,E1_e_reg5,p20__E1_e_reg5
ID06,197.15511257661214,16.52201720972578,p20,E1_e_reg5,p20__E1_e_reg5
ID07,89.13942910994162,18.69184695518735,p20,E1_e_reg5,p20__E1_e_reg5
ID08,71.86222933303334,18.43638133889754,p20,E1_e_reg5,p20__E1_e_reg5
ID09,59.95466415685839,18.43638133889754,p20,E1_e_reg5,p20__E1_e_reg5
ID10,63.04166371304305,16.52201720972578,p20,E1_e_reg5,p20__E1_e_reg5
