solver,config,ID,N,X,Y,Z,3D
AutoPos V2,Best6 no DH,ID13,601,29.820128495126287,15.630645079264026,50.63953264883664,60.81052043809817
V3-lite,Best6 no DH,ID13,601,29.871749195650093,15.658676090366088,50.605869640374245,60.815044018477664
V3-lite,Lower+EF,ID13,601,27.056308680244157,15.59606373525539,54.086661361249405,62.45516776569632
MDS+NLS,Lower+EF,ID13,601,27.047638073371566,15.633593201065295,54.189401046139025,62.54978135424446
AutoPos V2,Lower only ABCD,ID13,601,32.62605451965505,21.083592066432377,51.8092888256784,64.75476582125673
V4-interonly,Upper only EFGH,ID15,192,57.33929831669254,32.409189859861264,6.522220156837697e-18,65.8646393660756
V4-interonly,Upper+AB,ID15,600,29.79310848805388,57.77491526280598,15.252931360456081,66.76991884143746
V4-interonly,Lower+EF,ID16,601,35.776681652322885,17.375166742136148,55.207224974985344,68.04193603071077
V4-interonly,Lower+EF,ID13,601,28.172179256626446,15.370196299765572,60.315732136975434,68.32204740477405
V3-lite,Lower only ABCD,ID13,601,36.19555057137774,22.733958098721864,53.78936520433627,68.70405039795736
V4-interonly,Lower only ABCD,ID13,601,36.19555057137774,22.733958098721864,53.78936520433627,68.70405039795736
MDS+NLS,Lower only ABCD,ID13,601,36.183320724705034,22.736119037112726,54.107118354458514,68.94740070633561
MDS+NLS,Upper+AB,ID15,600,31.638844248559494,59.420286320991465,15.862476191659974,69.16216482141223
V3-lite,Upper+AB,ID15,600,31.79124982806239,59.71463787738138,15.937034132674777,69.5018747905631
AutoPos V2,Upper+AB,ID15,600,31.89346925074511,59.8185095073105,16.029192542098837,69.65904445279233
V4-interonly,Upper+AB,ID16,601,33.5860576857185,57.04871685004913,28.15356822334296,71.9388821765526
AutoPos V2,Upper+AB,ID13,601,33.71955362315439,62.687118453954746,15.417311599839946,72.83115139534385
V3-lite,Upper+AB,ID13,601,33.79325866212824,63.071554039719906,15.425297923976075,73.19798546431612
MDS+NLS,Upper+AB,ID13,601,33.82321140604455,63.14466717813939,15.441473587835487,73.27822138548258
V4-interonly,Upper+AB,ID13,601,33.213893813370085,64.48681254040349,15.484537241058327,74.17198006954303
AutoPos V2,Upper+AB,ID16,601,32.12536362253595,61.330412876975345,28.673450199707872,74.93747579079206
V3-lite,Upper+AB,ID16,601,32.544409181331496,62.3039590058866,28.56438246518694,75.87388102889301
MDS+NLS,Upper+AB,ID16,601,32.91251407160632,62.18927906053149,28.50043269201235,75.91452216943917
AutoPos V2,Upper+AB,ID14,600,36.29063182854763,64.6318807847362,21.443148720913243,77.16280580276192
V3-lite,Upper+AB,ID14,600,36.53642186537456,64.73453786848575,21.397974470198093,77.35207707100233
MDS+NLS,Upper+AB,ID14,600,37.17858246734833,65.33886621052433,21.390143232577,78.15978927471835
MDS+NLS,Lower only ABCD,ID16,597,27.173080317424766,19.095115421055176,74.45051697233214,81.52226201675315
V4-interonly,Upper+AB,ID14,600,43.22086273983807,74.34706799925368,21.183432056297644,88.56786826917171
