dataset,ID,peer,version,N,metric,value_mm,X,Y,Z,radius_mm,radial_std,z_plane_std,rms_3d,tilt_deg
roto,ID32,BSDC91,V4-interonly,1801,roto_circle_3d_std,57.40800329474063,,,,569.5210444619809,71.62991645418327,71.67616230902911,101.40535375919758,50.815222625505676
roto,ID32,BS2DCE,V4-interonly,1800,roto_circle_3d_std,51.751692587326986,,,,495.2491164190095,70.43993266505221,72.25312636840357,101.0047733181931,58.051620343265135
roto,ID33,BS2DCE,V3-lite,1801,roto_circle_3d_std,89.14399547338628,,,,461.16108040056434,102.7983487899775,125.1099196244954,162.29578901201177,57.43576799509389
roto,ID33,BSDC91,V3-lite,1800,roto_circle_3d_std,85.63256545699133,,,,545.5077302780217,79.27793319405187,113.17269606331413,138.26042706209947,48.497920039655604
roto,ID33,BS2DCE,V4-interonly,1801,roto_circle_3d_std,90.55612880757678,,,,458.43580866136915,102.95034253228471,126.84147299475943,163.73657645217918,56.112638909028455
roto,ID33,BSDC91,V4-interonly,1800,roto_circle_3d_std,88.76717846779637,,,,539.9110339482748,79.36949266965735,118.03849760016423,142.32263021178883,46.04672473663154
roto,ID34,BSDC91,V3-lite,1801,roto_circle_3d_std,37.55068742711435,,,,544.7580430436127,56.32294847913646,43.45795621606753,71.17985814532894,71.09490897695376
roto,ID34,BS2DCE,V3-lite,1800,roto_circle_3d_std,64.8070848635681,,,,489.56546459574537,82.68656158052842,62.04198186923513,103.58450807692707,75.13455010390646
roto,ID34,BSDC91,V4-interonly,1801,roto_circle_3d_std,39.20074018317275,,,,548.2231503921814,58.24454485343836,46.825997207628916,74.77711255718012,71.64029276001216
roto,ID34,BS2DCE,V4-interonly,1800,roto_circle_3d_std,63.79180671615267,,,,489.71185558321093,83.01159903622862,63.30978416740515,104.60959957127406,75.70429333160762
roto,ID35,BS2DCE,V3-lite,1800,roto_circle_3d_std,55.86438401472571,,,,457.03903935975154,85.79103878994054,60.13055546158783,105.05054095100859,71.33019082457773
roto,ID35,BSDC91,V3-lite,1800,roto_circle_3d_std,42.4969855613224,,,,543.7188155191036,70.62915108169788,56.99126441465553,90.84660200143549,68.58338526608456
roto,ID35,BS2DCE,V4-interonly,1800,roto_circle_3d_std,57.561225689839205,,,,460.80108519220045,89.80492587384154,62.31376791691045,109.63245210592798,71.5273887122561
roto,ID35,BSDC91,V4-interonly,1800,roto_circle_3d_std,43.31082125408537,,,,547.2823119192253,73.36650182204886,57.94578141095186,93.59421381424093,69.01053240194011
roto,ID36,BS2DCE,V3-lite,1800,roto_circle_3d_std,52.09357927946963,,,,461.8502199110375,71.32459522770091,56.52908187095627,91.15260779046211,73.41474106875397
roto,ID36,BSDC91,V3-lite,1800,roto_circle_3d_std,37.57232500606128,,,,534.7413843137606,58.10353973667108,44.64467717821081,73.32256418748868,67.44743188859769
roto,ID36,BS2DCE,V4-interonly,1800,roto_circle_3d_std,52.17158044031844,,,,462.3639747827128,73.9603912838598,57.32165938778852,93.73609264407273,73.15999252927134
roto,ID36,BSDC91,V4-interonly,1800,roto_circle_3d_std,37.959019188195086,,,,535.4864233221256,59.184620602293954,45.48395457901526,74.69448010547492,67.17204523380713
roto,ID37,BSDC91,V3-lite,1801,roto_circle_3d_std,63.791616759000725,,,,541.932192440501,79.78818408367479,79.89505087822444,113.03598264259115,72.39232389927957
roto,ID37,BS2DCE,V3-lite,1800,roto_circle_3d_std,55.85863138481035,,,,455.57025942844047,81.49864630647836,69.49300597094664,107.3260577407755,74.5504597013901
roto,ID37,BSDC91,V4-interonly,1801,roto_circle_3d_std,66.44216602980174,,,,539.5013091670627,80.74779707880819,84.70062674540776,117.14814660511362,71.46890730516668
roto,ID37,BS2DCE,V4-interonly,1800,roto_circle_3d_std,57.48040162369877,,,,454.2212193196459,83.52697779954627,71.0817439122226,109.92097149867851,73.73893030008104
roto,ID38,BSDC91,V3-lite,1801,roto_circle_3d_std,36.063617334675406,,,,523.8814416984328,60.225618336057664,31.379453635642985,67.98003283588174,89.3287277345908
roto,ID38,BS2DCE,V3-lite,1800,roto_circle_3d_std,36.228791095443384,,,,447.3762029482989,61.86025870696356,25.199536634945346,66.91544700239285,87.91350613240213
roto,ID38,BSDC91,V4-interonly,1801,roto_circle_3d_std,38.81794240271045,,,,527.4172000893802,64.64000214934894,32.80004635450784,72.57442662736189,89.57891318354929
roto,ID38,BS2DCE,V4-interonly,1800,roto_circle_3d_std,38.12550472910258,,,,447.55209396641817,65.28031644351802,25.47378077596381,70.218162547037,88.19003775221668
roto,ID39,BSDC91,V3-lite,1801,roto_circle_3d_std,43.372974450120424,,,,541.4561350653644,64.00265788501946,56.9351587641557,85.72206139661678,85.1421998456077
roto,ID39,BS2DCE,V3-lite,1800,roto_circle_3d_std,46.2975610026962,,,,441.57681867195805,69.55573283605844,61.27624675994313,92.83511377913077,84.54564457156609
roto,ID39,BSDC91,V4-interonly,1801,roto_circle_3d_std,45.219925194624714,,,,541.2482942604983,66.96836625434382,58.434694857821825,88.95092579706734,85.63590677414821
roto,ID39,BS2DCE,V4-interonly,1800,roto_circle_3d_std,47.879585746376414,,,,441.67161538250986,73.4764397861224,63.65798231400816,97.38435506795426,84.63714566710443
roto,ID40,BSDC91,V3-lite,1801,roto_circle_3d_std,34.43992438668105,,,,524.4108942041555,51.58668834355723,39.3918819623449,64.93866073461044,87.53419040746661
roto,ID40,BS2DCE,V3-lite,1800,roto_circle_3d_std,41.16497847658117,,,,445.07242934757767,59.627796080831914,41.490699318770126,72.73308426346938,89.66829479226836
roto,ID40,BSDC91,V4-interonly,1801,roto_circle_3d_std,33.99046451919844,,,,527.4073915050257,50.95491119589741,40.38116262491188,65.0444060568172,87.11235588524391
roto,ID40,BS2DCE,V4-interonly,1800,roto_circle_3d_std,41.934960487359355,,,,447.0535469481302,60.260558022803465,43.86126463841678,74.62363730568784,89.47494915725895
roto,ID41,BS2DCE,V3-lite,1801,roto_circle_3d_std,52.03608162313366,,,,432.0618080391802,74.92803779054687,54.899933089672224,93.09260277699794,89.97610976471294
roto,ID41,BSDC91,V3-lite,1800,roto_circle_3d_std,46.47583531787968,,,,527.9850227058519,76.87915032460245,54.6774570601256,94.48128228191484,89.67644338706988
roto,ID41,BS2DCE,V4-interonly,1801,roto_circle_3d_std,53.36096331405411,,,,429.75629577838924,76.38839618865195,56.1376253215004,95.01794810439831,89.55192691029684
roto,ID41,BSDC91,V4-interonly,1800,roto_circle_3d_std,49.493491175048426,,,,527.5464490491536,78.7114045770772,58.63081063875991,98.29819880551865,89.70704695925464
