sigma_strategy,layout,ID,N,X,Y,Z,3D,sig_A,sig_B,sig_C,sig_D,sig_E,sig_F,sig_G,sig_H
today_DH_x1,MDS+NLS,ID13,601,22.931140875443308,13.156630138004846,42.32072919435204,49.899681942667385,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x2,MDS+NLS,ID14,600,25.00195851503447,16.055872700649264,40.10518124495152,49.91306983603963,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_exp_1.25,V3-lite,ID16,601,28.74829923952656,19.56630726265011,35.83236219746433,49.93258725233521,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_exp_1.25,MDS+NLS,ID16,601,28.868618369777174,19.654074055156894,35.947903045269136,50.11917284729964,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_DH_x0.75,V3-lite,ID13,601,22.894625778493822,13.293283859548545,42.5709629580369,50.13144893659426,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_DH_x0.75,MDS+NLS,ID13,601,22.977225656704,13.329757958027637,42.66943178807412,50.262468654213635,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_DH_x1.5,V4-interonly,ID16,601,29.43802768432699,19.45899631279141,36.14832545433431,50.516843177270154,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_sweep_mad,V4-interonly,ID13,601,23.374847122659556,13.311441523737416,42.78501164102157,50.538452435446985,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_clipped_20_60,V4-interonly,ID13,601,23.374847122659556,13.311441523737416,42.78501164102157,50.538452435446985,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
today_DH_x1,V4-interonly,ID13,601,23.374847122659556,13.311441523737416,42.78501164102157,50.538452435446985,27.4281,28.1694,25.574849999999998,33.72915,25.2042,21.4977,23.7216,28.9107
center_resid_mad,V4-interonly,ID15,600,26.947957050098623,19.951393626942345,37.853127321125974,50.56787265468589,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
today_exp_1.25,V3-lite,ID13,601,23.302832785184695,13.404328278433786,42.912373369914846,50.637632455015854,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_DH_x1.5,V3-lite,ID16,601,29.426185335290246,19.547751232677484,36.279126851419115,50.63783177371296,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_exp_1.25,MDS+NLS,ID13,601,23.393331201087033,13.441055022620397,43.018759115118144,50.779164433943,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_DH_x1.5,MDS+NLS,ID16,601,29.50378602118545,19.606307972647095,36.38259507795065,50.77966055920719,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x0.5,MDS+NLS,ID16,601,25.985638892207927,18.004042720961408,39.79593614378389,50.824359479432275,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x0.5,V3-lite,ID16,601,25.916188941653278,17.89722686118654,39.942584962606226,50.86619380369702,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x0.5,V3-lite,ID14,600,24.90173549066033,13.99868309390437,42.29258254131897,51.03647809973425,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x1.5,V3-lite,ID13,601,23.87513921551512,13.392193041802303,43.1140221865025,51.07046128759124,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x0.5,V4-interonly,ID15,600,25.403914273999952,15.341606743935241,41.641255534589966,51.13431255451976,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x0.5,MDS+NLS,ID14,600,24.89382880758069,13.994769657091148,42.433031999722076,51.1480057787751,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x1.5,MDS+NLS,ID13,601,23.934677028444316,13.411036770050584,43.1783350216974,51.157534019433825,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_exp_1.5,V4-interonly,ID16,601,29.886449865481527,20.232144019120682,36.30930566828334,51.19477722663919,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x3,V4-interonly,ID14,600,26.0600782125717,16.808177432929526,40.856370860258956,51.29215870806387,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x3,V3-lite,ID14,600,26.09176298431284,16.81709459112362,40.931576677189135,51.371088516761745,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_exp_1.25,V4-interonly,ID13,601,23.791505768603532,13.567425558651033,43.47291114358385,51.38097689150109,26.820343858390416,27.729477238008897,24.574577238646885,34.73173128590675,24.13019506935882,19.779243809698936,22.369159148369185,28.644612084492948
today_DH_x1.5,V4-interonly,ID13,601,24.17390512680315,13.498721774809715,43.3305030070271,51.42106250823086,27.4281,28.1694,25.574849999999998,50.59372499999999,25.2042,21.4977,23.7216,43.36605
today_DH_x3,MDS+NLS,ID14,600,26.100928855444494,16.811789298723752,41.00121189464898,51.42950634967793,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_exp_1.5,V3-lite,ID16,601,30.060052709658034,20.44909895778878,36.419468178673704,51.46017955186596,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_exp_2.0,V4-interonly,ID14,600,25.606074810514404,16.552454491143582,41.51953978482343,51.51239657428661,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_1.5,V3-lite,ID13,601,23.803297623075657,13.740991424056913,43.64046202253647,51.57423531754177,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_exp_2.0,V3-lite,ID14,600,26.15262640655404,16.78519150468763,41.21866839156042,51.62054964627215,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_1.5,MDS+NLS,ID16,601,30.1695611925428,20.533191346266833,36.53777948906738,51.64129838999698,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x0.75,V4-interonly,ID13,601,23.636199711294235,13.633426853481108,43.86691439482152,51.66087923258764,27.4281,28.1694,25.574849999999998,25.296862499999996,25.2042,21.4977,23.7216,21.683025
today_exp_1.5,MDS+NLS,ID13,601,23.88622285851691,13.775370598194554,43.73750217004644,51.703786840415816,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_exp_2.0,MDS+NLS,ID14,600,26.190045861179918,16.801462319369495,41.369197049240476,51.765027796561526,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_DH_x4,V3-lite,ID14,600,26.606463902981794,17.134854104669934,41.28927516801538,52.022220161283855,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,V4-interonly,ID14,600,26.73023780917586,17.1518401442919,41.20348470827278,52.023248512326745,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,MDS+NLS,ID14,600,26.630155345385674,17.130187997019835,41.35844698168477,52.087711134867945,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_exp_1.5,V4-interonly,ID13,601,24.243655956921717,13.870229763032327,44.20304985475725,52.288122401737176,26.22605447268679,27.296424769191166,23.613426724231882,35.76411377447797,23.10195578853162,18.198155415859077,21.093825079466342,28.38097318539778
today_DH_x2,V3-lite,ID13,601,24.842306373385632,13.722204839528718,44.01443646907718,52.37088608470906,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x2,MDS+NLS,ID13,601,24.891992677977132,13.733555057089866,44.07036149940937,52.44443341933641,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x2,V3-lite,ID16,601,30.868428282093312,20.06763247012535,37.476189717033755,52.536030810005755,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x2,V4-interonly,ID13,601,25.05331550474381,13.797692861423192,44.068880129355456,52.536759910884356,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x6,V4-interonly,ID14,600,27.18997774190482,17.44224144816739,41.4800517719281,52.574911995582866,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x6,V3-lite,ID14,600,27.06974774630638,17.416157054917633,41.59245416939721,52.59302247868651,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x2,V4-interonly,ID16,601,31.10480537631065,20.127653563078013,37.38974886188627,52.63672363861923,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x2,MDS+NLS,ID16,601,30.925989207799514,20.115193808832046,37.560709811143305,52.64831195740965,27.4281,28.1694,25.574849999999998,67.4583,25.2042,21.4977,23.7216,57.8214
today_DH_x6,MDS+NLS,ID14,600,27.093402899105545,17.410635423452224,41.66272425924826,52.65895269755926,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x0.5,V4-interonly,ID14,600,25.85913724022912,14.277464264612702,43.828164341342365,52.85308840709322,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_exp_2.0,V3-lite,ID13,601,24.859362996080556,14.517698276276786,45.11953226062234,53.52124515768714,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_2.0,MDS+NLS,ID13,601,24.94166772370731,14.54773183647874,45.191775528203785,53.62853592834209,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_DH_x0.5,V3-lite,ID13,601,23.938268904106287,14.134867742269499,46.0477196499163,53.788731990762166,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x3,V3-lite,ID13,601,25.95626813358607,14.138392695275796,44.97235998208031,53.81575202286281,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x3,V4-interonly,ID13,601,26.08330235036196,14.1960633664051,44.91161347482701,53.84161867473571,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x0.5,MDS+NLS,ID13,601,24.00364846190152,14.160335942031288,46.068624787174805,53.84244091100651,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x3,MDS+NLS,ID13,601,26.004150784100464,14.14442607966195,45.02286916499598,53.88264465459727,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_exp_2.0,V4-interonly,ID13,601,25.33731988268237,14.648675669352135,45.67020412782207,54.24325785551764,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_2.0,V4-interonly,ID16,601,32.653570755073815,22.11473395630173,37.417051431494485,54.363157366379305,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_exp_2.0,V3-lite,ID16,601,32.6326305706346,22.168129995962676,37.48249067422456,54.41738391930236,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_DH_x4,V4-interonly,ID13,601,26.554736806705215,14.38755825396004,45.275875314921336,54.42481754601279,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,V3-lite,ID13,601,26.45748683469465,14.325303987723291,45.384009914489695,54.451090896943654,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,MDS+NLS,ID13,601,26.500732363768453,14.331344632100251,45.4295527960736,54.51165491921294,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_exp_2.0,MDS+NLS,ID16,601,32.72855637174089,22.238006598458885,37.58682006935246,54.57523598278984,25.076688987,26.450503212,21.802431750749996,37.92185199074999,21.175056587999997,15.405036842999996,18.757143552,27.860952483
today_DH_x3,V3-lite,ID16,601,32.554168431322964,20.659436606923528,38.995009901273896,54.83791571869673,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
today_DH_x6,V4-interonly,ID13,601,26.93033939519101,14.541287988912448,45.56480600689934,54.88937768606086,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x3,V4-interonly,ID16,601,32.76647757003583,20.74020399138832,38.847778838402,54.89032733213982,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
center_resid_mad,V3-lite,ID13,601,25.895886589482547,18.66888886757256,44.693421056488084,54.92382214975255,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
today_DH_x3,MDS+NLS,ID16,601,32.60340246295024,20.700538018131454,39.072225254900495,54.93753646434193,27.4281,28.1694,25.574849999999998,101.18744999999998,25.2042,21.4977,23.7216,86.7321
center_resid_mad,MDS+NLS,ID13,601,25.8424130454735,18.616910108349032,44.76536737658056,54.93958291027909,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
today_DH_x6,V3-lite,ID13,601,26.84701152047218,14.477599799634968,45.69709923642707,54.941676368332814,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x6,MDS+NLS,ID13,601,26.890258858097997,14.482463848882409,45.74392125966181,55.00303730522382,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
old_report,V4-interonly,ID13,601,26.919579632036424,14.590624815205041,45.774344854587596,55.07123338849728,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
old_report,V3-lite,ID13,601,26.794350538001027,14.456808106677242,46.43841834272089,55.52894037851002,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
old_report,MDS+NLS,ID13,601,26.81177899155871,14.470485562539842,46.518611916398136,55.607982338296736,16.0,20.0,27.0,84.0,37.0,28.0,50.0,133.0
today_DH_x4,V3-lite,ID16,601,33.26649594850893,20.910348521284867,39.67927981290936,55.84216752996715,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,V4-interonly,ID16,601,33.45083780543827,20.989669919431783,39.49001854216971,55.847885883651365,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x4,MDS+NLS,ID16,601,33.31715884050323,20.951137110684673,39.75801308917966,55.943568211488014,27.4281,28.1694,25.574849999999998,134.9166,25.2042,21.4977,23.7216,115.6428
today_DH_x0.5,V4-interonly,ID16,601,28.149615069075047,18.471420757662624,44.95394251349713,56.164500895588056,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
today_DH_x6,V4-interonly,ID16,601,33.98986177094214,21.18615796392582,39.99705673804299,56.60325556172897,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x6,V3-lite,ID16,601,33.823710040200794,21.10786879165973,40.219661943958386,56.63220543732865,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
today_DH_x6,MDS+NLS,ID16,601,33.87427403851342,21.14860238023854,40.29937778065702,56.73420197536798,27.4281,28.1694,25.574849999999998,202.37489999999997,25.2042,21.4977,23.7216,173.4642
center_resid_mad,V4-interonly,ID13,601,26.848537681071473,18.94994280186554,46.72480669397642,57.12400430988144,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
today_DH_x0.5,V4-interonly,ID13,601,25.39807413075466,14.79599459136079,49.60204396754049,57.65714518823063,27.4281,28.1694,25.574849999999998,16.864575,25.2042,21.4977,23.7216,14.45535
center_resid_mad,V3-lite,ID16,601,33.01952491486621,28.42858154406948,40.359507994217154,59.391608496037186,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,MDS+NLS,ID16,601,32.933751834189856,28.341146800366435,40.56729676937863,59.443739611592086,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,V4-interonly,ID16,601,33.953940041589895,28.892092971641787,40.52657729043022,60.249701638324225,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,MDS+NLS,ID14,600,27.258444044332304,20.97796903188687,52.0670561213728,62.40253432006576,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,V3-lite,ID14,600,27.360392284188126,21.037096507750906,52.13397980300681,62.52281460012343,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
center_resid_mad,V4-interonly,ID14,600,27.897449991922805,21.092737394160906,52.71273053667328,63.25980751996322,50.4084,69.6822,58.5627,50.4084,139.3644,5.0,75.6126,56.3388
