layout,sigma,ID,d_tag_mm,N,X,Y,Z,3D
MDS+NLS,uniform50,ID16,-40,601,23.489596044850106,15.576827424302746,35.050973600153,44.97743239976433
MDS+NLS,uniform30,ID15,40,600,24.247209364557058,15.46471506488144,34.59982418448528,44.99147038721814
V3-lite,uniform30,ID15,40,600,24.208250768666133,15.46489109077631,34.63219880355033,44.99546038987522
MDS+NLS,uniform50,ID15,50,600,25.608482370863776,15.581156780168568,33.595638842854164,45.02481277258713
V3-lite,uniform50,ID15,50,600,25.642426975753185,15.58396466101788,33.57222313697078,45.02763798070297
V4-anchor-delay,uniform50,ID14,55,600,24.683170961625216,13.930075960262696,34.99231720478951,45.030747365995545
V4-anchor-delay,uniform30,ID14,-30,600,22.983948014213677,13.336563563157695,36.358527042756535,45.034079125847356
V4-anchor-delay,uniform30,ID15,30,600,24.44819955286031,14.482873468781886,34.94740569183048,45.04208309879341
V4-anchor-delay,uniform30,ID16,-40,601,22.85413529063887,15.900252308852247,35.486792350051076,45.10478860014344
V4-anchor-delay,uniform30,ID15,-45,600,20.93251099859704,12.694807327918937,37.89959292717161,45.1188130810717
V4-anchor-delay,uniform30,ID16,5,601,24.041562638168664,16.211888454849422,34.68902963543205,45.21228636560366
V3-lite,uniform30,ID16,10,601,24.110987875248323,16.3562958155152,34.60459440165922,45.23655715047683
V3-lite,uniform30,ID14,-20,600,22.861989796448494,13.101462280418636,36.78770299871932,45.251010853461935
V4-anchor-delay,uniform50,ID15,35,600,25.477391158776857,15.305809414258583,34.16451817618211,45.28332545533296
V4-anchor-delay,uniform50,ID16,-55,601,24.005957887927714,15.51966720179518,35.12052646383269,45.28352308807485
V3-lite,uniform50,ID16,40,601,25.248674772272068,16.938169727938465,33.58271881245036,45.30117188687867
V3-lite,uniform30,ID16,-30,601,23.262622718566387,15.971943387498937,35.487482071882184,45.33887928833256
V3-lite,uniform50,ID16,-45,601,23.81326396192859,15.505504194442336,35.33172389538942,45.341183423730655
MDS+NLS,uniform30,ID15,-45,600,20.746155768275532,12.92323263036973,38.2212673040864,45.36825095935074
MDS+NLS,uniform30,ID14,-20,600,22.86947756009715,13.100102516696536,36.93229371547259,45.37201790647714
V4-anchor-delay,uniform50,ID14,-35,600,23.32901756224381,13.638279516927946,36.461615222097706,45.38386401801464
MDS+NLS,uniform50,ID16,40,601,25.282200351709857,16.97019797588937,33.65804280508704,45.38767585406802
MDS+NLS,uniform30,ID16,10,601,24.205906621457476,16.423667219458103,34.7125555574988,45.394099546468176
V4-anchor-delay,uniform50,ID16,30,601,25.33469858865674,16.866529136430547,33.69217136318794,45.40362506292386
V3-lite,uniform30,ID15,-45,600,20.812294517937747,12.950933706248072,38.22158392200389,45.406692947976296
V3-lite,uniform50,ID15,-50,600,20.763067422439246,12.679533254487394,38.368079173883466,45.43110203190981
MDS+NLS,uniform50,ID16,-45,601,23.857563153994974,15.532472935075663,35.44574367209837,45.4625316012408
MDS+NLS,uniform30,ID16,-30,601,23.307528670949214,16.018481344187702,35.59847253233682,45.46519420344257
MDS+NLS,uniform50,ID15,-50,600,20.759437799335945,12.684463319263122,38.42739878702701,45.48092836540866
V3-lite,uniform50,ID14,-25,600,23.020964041796134,13.516935233435174,36.839016716431004,45.49489505595144
V3-lite,uniform50,ID15,55,600,26.176588117585975,15.966839865361587,33.6296395618837,45.5094099920671
MDS+NLS,uniform50,ID15,55,600,26.147231971397204,15.962540884528691,33.655513313881535,45.51015301750988
V4-anchor-delay,uniform30,ID14,35,600,23.511725541861786,13.184741684841258,36.67169515383016,45.51320552001668
V3-lite,uniform30,ID14,-25,600,23.27698139973992,13.241441120818045,36.8777219222104,45.57543198052879
V4-anchor-delay,uniform30,ID16,-45,601,23.140658775878826,16.011976660169573,35.85186086273923,45.576632307232686
MDS+NLS,uniform50,ID14,-25,600,23.03127954429121,13.497530348906395,36.94092254688892,45.57691215497362
V4-anchor-delay,uniform30,ID14,-35,600,23.34803871238873,13.686549058520043,36.73725646904898,45.62979892262467
V3-lite,uniform50,ID14,70,600,25.004531087656126,14.169615616941861,35.45771250118021,45.64267693137417
V4-anchor-delay,uniform50,ID15,40,600,25.9644482851206,15.555438473082319,34.17707608530323,45.65300396010275
MDS+NLS,uniform30,ID14,-25,600,23.30912644163427,13.243278581561885,37.07030005135419,45.74829995702988
V4-anchor-delay,uniform50,ID16,-60,601,24.381236507145434,15.523384800405955,35.47651566810855,45.76028117514562
V4-anchor-delay,uniform30,ID14,-150,600,30.17560070702231,16.801772229644666,30.022720230025865,45.762759511385546
MDS+NLS,uniform50,ID14,70,600,25.04778984981307,14.208895915371622,35.58406731988914,45.776744603790526
V4-anchor-delay,uniform30,ID14,-145,600,30.018067591551358,16.767428761564652,30.25342456892447,45.798479749361704
V4-anchor-delay,uniform30,ID16,10,601,24.518886773700668,16.427940316046094,35.05785669478243,45.82691728319752
V4-anchor-delay,uniform30,ID14,-140,600,29.85788347307447,16.727311173154686,30.49416568216286,45.838742186347545
V3-lite,uniform30,ID14,-30,600,23.675872269482984,13.421536543566477,36.88753199894624,45.84075247947449
V4-anchor-delay,uniform50,ID15,-60,600,21.233586636092515,12.804886450336397,38.58419140969429,45.86469388514854
V4-anchor-delay,uniform50,ID14,60,600,25.292616733280237,14.119705104795568,35.58084840723134,45.881143259964375
V3-lite,uniform30,ID16,-35,601,23.563902061763912,16.056755656476337,35.945560327904,45.88202469241274
V3-lite,uniform50,ID16,-50,601,24.251943029196795,15.492039153071897,35.73940934727388,45.885350584949514
V4-anchor-delay,uniform30,ID15,35,600,25.117310159292213,14.732109572505754,35.48816021880366,45.905597020514584
V4-anchor-delay,uniform30,ID14,-135,600,29.705907728362554,16.688681875487262,30.76640220029532,45.907783229617436
V4-anchor-delay,uniform30,ID14,-40,600,23.70236038374289,13.908588695043127,36.78943699731757,45.920729543728996
MDS+NLS,uniform50,ID16,-50,601,24.28916555659865,15.519208758735665,35.85701528027794,46.00581429279523
MDS+NLS,uniform30,ID16,-35,601,23.6169844978479,16.097556889183977,36.065730834428436,46.01771653606407
MDS+NLS,uniform30,ID14,-30,600,23.721685562888233,13.428293856879135,37.101419728166704,46.03860106146619
V4-anchor-delay,uniform50,ID15,45,600,26.4633209636121,15.80464023784613,34.20336787859119,46.0430709630574
V3-lite,uniform50,ID15,60,600,26.693574112695067,16.39916709170287,33.7934160679076,46.081173484952075
MDS+NLS,uniform50,ID15,60,600,26.673240935062946,16.39616881405866,33.81303010337501,46.08272060686926
V3-lite,uniform30,ID16,15,601,24.798670644289317,16.704245191122347,35.0739002668418,46.08887450412991
V3-lite,uniform30,ID15,45,600,25.04271127582772,15.922027521260942,35.292815607760325,46.111074396023675
V4-anchor-delay,uniform50,ID16,35,601,25.858578115787513,17.11953250087667,34.14952481979853,46.129540433835814
MDS+NLS,uniform30,ID15,45,600,25.130688520206192,15.93096848418346,35.263341941798835,46.139468432654255
V3-lite,uniform30,ID14,45,600,23.650309309515155,13.429842621098778,37.30615420061469,46.16759626083279
V4-anchor-delay,uniform30,ID16,-50,601,23.530047204733034,16.20065558947802,36.284620377119666,46.181143759087846
V3-lite,uniform30,ID14,-35,600,24.07839492232253,13.646164899581132,36.9889176302345,46.19704477516025
V4-anchor-delay,uniform50,ID14,-40,600,24.054768032492152,13.987143997562628,36.88110996290192,46.20052309661895
V4-anchor-delay,uniform30,ID14,-45,600,24.11093154279993,14.130864313883652,36.80134444496335,46.20992641279371
MDS+NLS,uniform30,ID16,15,601,24.907274323114493,16.781849208712618,35.18779873087254,46.262122266442134
V4-anchor-delay,uniform30,ID14,-50,600,24.559843095110036,14.383372287313353,36.512292368052336,46.29486780607556
V3-lite,uniform50,ID15,-55,600,21.228486557608207,12.813862732890769,39.11421698675043,46.311615067394435
V4-anchor-delay,uniform50,ID16,-65,601,24.845309544937187,15.605940409942384,35.8520850916772,46.327171162108336
V3-lite,uniform50,ID16,45,601,26.054217207756928,17.360500400755996,34.169244885118694,46.343786039692915
V4-anchor-delay,uniform30,ID14,-130,600,29.607661874549827,16.866926144127696,31.439194068307263,46.3630215030666
MDS+NLS,uniform50,ID15,-55,600,21.224029286091795,12.819274147317511,39.191743656551125,46.37656713947013
MDS+NLS,uniform30,ID14,-35,600,24.1398403451124,13.650410514654011,37.183304390295206,46.3860294106689
V3-lite,uniform50,ID14,-30,600,23.675922684480092,13.766283494478921,37.45491819701611,46.39968505665755
V4-anchor-delay,uniform30,ID15,-50,600,21.657372287851096,12.901950677756053,38.96424058309487,46.40812590401736
MDS+NLS,uniform30,ID14,45,600,23.74442928386911,13.487368682598136,37.52374803098245,46.40839042985276
V4-anchor-delay,uniform30,ID14,40,600,24.10174128858129,13.306032984730756,37.36113063305438,46.40903499441247
V3-lite,uniform30,ID16,-40,601,23.874861494811437,16.138716909538875,36.38028265457522,46.411121090849036
V4-anchor-delay,uniform30,ID14,-125,600,29.47508746266647,16.770949812642378,31.686309883352667,46.411935669328216
V4-anchor-delay,uniform50,ID15,50,600,26.924265755070362,16.032741967932836,34.23630178126177,46.412167166785025
V4-anchor-delay,uniform30,ID14,-55,600,25.033589450727046,14.680727446452153,36.27439145524158,46.45466429318663
MDS+NLS,uniform50,ID16,45,601,26.111644077000815,17.409613063959576,34.26230714656872,46.46308507241612
V4-anchor-delay,uniform30,ID14,-120,600,29.34690495434288,16.67464320156498,31.967237110510695,46.488587898304075
MDS+NLS,uniform50,ID14,-30,600,23.6892880958278,13.748192859280252,37.57581104796744,46.498782277556955
V3-lite,uniform50,ID16,-55,601,24.76242777353988,15.543665722410818,36.15781388645641,46.49914922208199
MDS+NLS,uniform30,ID16,-40,601,23.931968963801648,16.179017672360814,36.52260332444632,46.566085351055506
V3-lite,uniform30,ID14,-40,600,24.484633920831655,13.89621024729276,37.10607017774099,46.57748814083413
V4-anchor-delay,uniform30,ID16,15,601,25.053764599086357,16.70214531851455,35.577111793742915,46.60883674167047
MDS+NLS,uniform50,ID16,-55,601,24.80886704319217,15.561049744727686,36.278777409260414,46.62376908225396
V4-anchor-delay,uniform30,ID14,-115,600,29.225748705206072,16.58468233102347,32.419306159963185,46.692692011644
V3-lite,uniform50,ID15,65,600,27.272032488278168,16.902748185538425,33.966238321243914,46.72442613838035
MDS+NLS,uniform50,ID15,65,600,27.265344065322576,16.90523166905058,33.99916434887136,46.74536363326588
MDS+NLS,uniform30,ID14,-40,600,24.555648910366095,13.899120361114084,37.31447119045757,46.78178278395755
V4-anchor-delay,uniform50,ID15,55,600,27.377518685088265,16.263407233963886,34.283727561056054,46.79103460804025
MDS+NLS,uniform30,ID15,-50,600,21.502931063640386,13.274830791029375,39.47956971309469,46.87465841570726
V4-anchor-delay,uniform30,ID16,-55,601,24.04126286577417,16.426124674137142,36.750355158564325,46.886975763767964
V3-lite,uniform30,ID15,-50,600,21.588894826025072,13.303612943525758,39.44336302853981,46.891847736696185
V4-anchor-delay,uniform50,ID14,65,600,25.98689842650258,14.32711644762969,36.34551605159763,46.92101546844702
V4-anchor-delay,uniform30,ID15,40,600,25.827372001901022,14.998704354236272,36.192399998562756,46.92445092365314
V4-anchor-delay,uniform50,ID15,-65,600,21.769587649418987,12.999371696104824,39.518766427699404,46.95350371256961
V3-lite,uniform30,ID14,-150,600,30.47255995568275,16.549797103365893,31.663365684997594,46.957868572978704
V4-anchor-delay,uniform50,ID16,-70,601,25.371999603758326,15.76345463291043,36.23371925946532,46.958569795413126
V4-anchor-delay,uniform30,ID14,-110,600,29.12464735315451,16.521276688212737,32.92834893776437,46.96247257780684
MDS+NLS,uniform30,ID14,-150,600,30.454689375663392,16.542401212420042,31.763653982617015,47.01136944578665
V3-lite,uniform30,ID16,-45,601,24.30558686049167,16.257848681247932,36.81451301186872,47.0147590090209
V4-anchor-delay,uniform50,ID16,40,601,26.44639370223127,17.43688274412681,34.76769998007786,47.034557312581896
V4-anchor-delay,uniform50,ID14,-45,600,24.844017925262374,14.373857006177152,37.26978347919444,47.04114956600041
V3-lite,uniform30,ID14,-45,600,24.90746548500382,14.195767084310642,37.32364578582143,47.063320906456646
V3-lite,uniform30,ID16,20,601,25.600062075780492,17.165857192194625,35.608911102244406,47.095906205467365
V3-lite,uniform30,ID14,-145,600,30.354711670768392,16.570815549564742,32.00402388585169,47.11961368134659
V3-lite,uniform50,ID13,5,601,21.913489184721133,12.682269250729048,39.77011175869772,47.145548579862606
MDS+NLS,uniform30,ID14,-145,600,30.335610647013226,16.559985183673636,32.11399168917303,47.17828785387349
V4-anchor-delay,uniform30,ID14,-60,600,25.512926807640785,15.031308243234983,36.733505069506414,47.182624518848385
MDS+NLS,uniform30,ID16,-45,601,24.365233307682924,16.30355801121241,36.96974207268577,47.18296755062892
V3-lite,uniform50,ID14,75,600,25.88484961772952,14.488263807712487,36.697056339822616,47.18695976541039
MDS+NLS,uniform50,ID13,5,601,21.93937757163289,12.686808205374563,39.808515996855334,47.19119977858705
V3-lite,uniform50,ID13,0,601,21.68197137177048,12.582370046796964,40.02316571954833,47.22581616843945
V3-lite,uniform50,ID13,10,601,22.225472824770208,12.80754712726798,39.65415993689224,47.22771756079706
MDS+NLS,uniform50,ID13,10,601,22.235805486836927,12.8116744087194,39.65774572684201,47.23671075486034
V4-anchor-delay,uniform30,ID14,-105,600,28.99474788760169,16.486451887937022,33.46645469694649,47.24936074595736
V4-anchor-delay,uniform50,ID15,60,600,27.818191938821606,16.537242808640364,34.43462225326156,47.2554273304333
MDS+NLS,uniform30,ID14,-45,600,24.971127374358122,14.199158147653431,37.526346977518635,47.25886172905154
V3-lite,uniform30,ID14,-140,600,30.22049934657356,16.590913923703766,32.3282547430832,47.26153891182218
V3-lite,uniform50,ID16,-60,601,25.326590131792027,15.695394873589548,36.69192195794111,47.26604198480477
MDS+NLS,uniform50,ID13,0,601,21.71971929011471,12.58787430722487,40.076383611903296,47.28971673656234
MDS+NLS,uniform30,ID16,20,601,25.732339669669216,17.267984491905935,35.75202623900344,47.313253676769335
MDS+NLS,uniform30,ID14,-140,600,30.20023947137098,16.587221741224212,32.46082079050654,47.33809539487279
V3-lite,uniform50,ID14,-35,600,24.414810777599484,14.056240610108976,38.052044144855195,47.345738446002436
MDS+NLS,uniform50,ID16,-60,601,25.37462518338247,15.701357854313228,36.78499087830176,47.3660194188101
MDS+NLS,uniform50,ID14,75,600,25.95140618072102,14.546300488975772,36.85841586006174,47.36679385799289
V3-lite,uniform50,ID13,15,601,22.581817226386125,12.955530952436092,39.573358588392814,47.36913511423828
MDS+NLS,uniform50,ID13,15,601,22.59267647172873,12.960573732100066,39.584635722444965,47.385112502768976
V3-lite,uniform50,ID13,-5,601,21.507870493082994,12.507202691533816,40.34262423203108,47.397741952979175
V3-lite,uniform30,ID15,50,600,26.03369386753886,16.345538480092586,36.09400795251552,47.40999108488813
V3-lite,uniform30,ID14,-135,600,30.073215326955438,16.607492732162072,32.68357641729972,47.41754171586412
MDS+NLS,uniform50,ID14,-35,600,24.418732285405184,14.037365828199409,38.174489310362496,47.44063405908452
MDS+NLS,uniform30,ID15,50,600,26.17917032013797,16.362026935808064,36.049136361663074,47.461617297777366
V4-anchor-delay,uniform30,ID14,-65,600,25.957732383007265,15.281436320725385,36.685671128221095,47.46751133796888
MDS+NLS,uniform50,ID13,-5,601,21.552268603408173,12.513371406363454,40.4043585309769,47.472064777158934
V3-lite,uniform50,ID15,-60,600,21.84813748952311,13.006882511112737,40.091942982696736,47.4750881678676
V3-lite,uniform50,ID15,70,600,27.888883061247654,17.462635940394527,34.24230860359497,47.4896741502249
MDS+NLS,uniform30,ID14,-135,600,30.061648630708316,16.603020952264945,32.81218524823441,47.49739491700537
MDS+NLS,uniform50,ID15,70,600,27.904750487029546,17.471925292624995,34.26007439651978,47.51521830771184
MDS+NLS,uniform50,ID15,-60,600,21.836352649379315,13.010540620915071,40.1677641007543,47.5347213847981
V4-anchor-delay,uniform30,ID16,20,601,25.685054493259308,17.015964841441335,36.20699844020185,47.541685075895735
V3-lite,uniform30,ID13,5,601,22.08529437436579,12.892956246145783,40.07776234208914,47.54172465021017
V3-lite,uniform50,ID13,20,601,22.97264203376957,13.12277185064838,39.51077675734434,47.55050896704038
MDS+NLS,uniform50,ID13,20,601,22.97749841420547,13.12920006316718,39.50933578030029,47.55343248887509
V3-lite,uniform30,ID14,-130,600,29.9201049007251,16.596223115825687,33.03515895509576,47.560162175597185
V4-anchor-delay,uniform30,ID14,-100,600,28.809012129597612,16.441880894722022,34.08502743419924,47.56136796213543
V3-lite,uniform50,ID16,50,601,26.97833626964316,17.89185124791885,34.84566010688578,47.56226442506927
V3-lite,uniform30,ID13,10,601,22.4288169253423,13.117914842094125,39.87660180156722,47.59490403095386
V4-anchor-delay,uniform30,ID14,45,600,24.754288264769478,13.46353430196407,38.36219476397008,47.59936481198295
V3-lite,uniform30,ID14,-50,600,25.399784661572696,14.536915023052972,37.58067731423419,47.631693929969806
V4-anchor-delay,uniform30,ID16,-60,601,24.665628596287767,16.682089376901263,37.182629562363445,47.636470074942316
MDS+NLS,uniform30,ID13,5,601,22.144965084392812,12.918364924251929,40.16065794070963,47.64621786811418
MDS+NLS,uniform30,ID14,-130,600,29.916635276859584,16.602033302436965,33.18890114317078,47.66692496013382
V3-lite,uniform30,ID16,-50,601,24.802458480518265,16.377325570550447,37.28450093984239,47.68136690421895
V3-lite,uniform30,ID13,0,601,21.906160987816957,12.717650257135245,40.397551837007704,47.682079565709905
V4-anchor-delay,uniform30,ID15,-55,600,22.523233094282432,13.186019579286022,39.907378886280355,47.68402280573472
V3-lite,uniform50,ID13,-10,601,21.405112517483246,12.458144808598648,40.75202657281408,47.687649174073115
V4-anchor-delay,uniform50,ID16,-75,601,25.973595042488313,16.028645496096022,36.65468636672441,47.69812520963088
MDS+NLS,uniform30,ID13,10,601,22.507908823907602,13.147782035366223,39.95292266948196,47.70436208470292
MDS+NLS,uniform50,ID13,25,601,23.38710557621946,13.32104068247559,39.40790755619906,47.722007607133804
MDS+NLS,uniform50,ID16,50,601,27.073750965078666,17.961351201681946,34.959197760611005,47.72571252872784
V3-lite,uniform50,ID13,25,601,23.3865393965819,13.315488412717315,39.414882429168195,47.725940677185584
V3-lite,uniform30,ID14,-125,600,29.77301783119991,16.57458551636381,33.420503584036055,47.72923145858072
V4-anchor-delay,uniform30,ID14,-70,600,26.40095897476826,15.487365947621646,36.659686222662195,47.75774002951768
V4-anchor-delay,uniform50,ID15,65,600,28.250265888806254,16.841405101850672,34.64396855641769,47.76939402934634
MDS+NLS,uniform50,ID13,-10,601,21.45705275256921,12.464960412762638,40.82590862653222,47.77588477569238
MDS+NLS,uniform30,ID13,0,601,21.963115792446498,12.741727219463964,40.471605400689015,47.777410054927856
V4-anchor-delay,uniform30,ID14,-95,600,28.580457158223012,16.3524268924919,34.634490260646956,47.78903966666585
MDS+NLS,uniform30,ID14,-50,600,25.451101053783447,14.543888744696963,37.783739377600405,47.821482683229846
V3-lite,uniform30,ID13,15,601,22.956195030889877,13.431726322648526,39.76920867140619,47.84337070747244
MDS+NLS,uniform30,ID16,-50,601,24.876010077007148,16.428133858213688,37.46402917782333,47.87747843873512
V3-lite,uniform30,ID14,50,600,24.640731838595464,13.696082735194151,38.71532570046017,47.891802972153464
V4-anchor-delay,uniform30,ID14,-75,600,26.853065467714945,15.655270329982116,36.44111578235376,47.89707228611281
V3-lite,uniform50,ID13,30,601,23.815196308323614,13.526931436777854,39.343109992972174,47.93768614793987
MDS+NLS,uniform50,ID13,30,601,23.815854987663666,13.533790674032161,39.344985888846594,47.941488852511476
V4-anchor-delay,uniform50,ID14,-50,600,25.718157738881462,14.797034519486584,37.702327566689135,47.97750902244502
MDS+NLS,uniform30,ID13,15,601,23.053180498473385,13.474629278858222,39.86672570632851,47.98302391306212
V3-lite,uniform30,ID13,-5,601,21.80181535955443,12.595023504634973,40.87686673625348,48.009082518080234
V4-anchor-delay,uniform50,ID16,45,601,27.098070205347675,17.794581537833484,35.417554513763314,48.014119888798874
V4-anchor-delay,uniform30,ID15,45,600,26.669573114865774,15.34765569942851,36.863417659270574,48.01799899120322
V4-anchor-delay,uniform30,ID14,-80,600,27.38403758689823,15.881863307384279,36.11981788229167,48.028744940139866
V4-anchor-delay,uniform30,ID14,-90,600,28.306711203932803,16.22718151596241,35.25676205026675,48.03780375291919
MDS+NLS,uniform30,ID14,-125,600,29.79200495843468,16.731910936478425,33.79078444499983,48.05556696614957
V3-lite,uniform30,ID14,-120,600,29.654418953740514,16.659175179505493,33.98397517885499,48.08142312892214
V4-anchor-delay,uniform50,ID15,-70,600,22.452163743769976,13.265230741394724,40.40374280132774,48.08875581417495
V3-lite,uniform30,ID14,-55,600,25.924247862094003,14.830345407335765,37.69816144515403,48.095292373173784
V3-lite,uniform50,ID13,-15,601,21.384871032032336,12.437051009028352,41.27047125586707,48.116990185787586
V4-anchor-delay,uniform50,ID14,70,600,26.734383762198508,14.554486304552773,37.27117325909507,48.121727970256856
V3-lite,uniform50,ID16,-65,601,25.960010401804315,15.913430263283171,37.26987069143588,48.1269432247937
V4-anchor-delay,uniform30,ID14,-85,600,27.914506101511257,16.083584697561477,35.755893512636014,48.12884029874301
MDS+NLS,uniform30,ID13,-5,601,21.881585496779568,12.621750236086324,40.96723213850085,48.12926835060799
MDS+NLS,uniform30,ID14,50,600,24.793976433912533,13.77045237494598,38.99743983945856,48.219984861551495
MDS+NLS,uniform50,ID13,-15,601,21.445467131710124,12.44457482100777,41.359848628779915,48.222531886748826
MDS+NLS,uniform50,ID16,-65,601,26.00588813238126,15.918287274251217,37.36943439580476,48.2304127533849
V3-lite,uniform50,ID13,35,601,24.290865454926298,13.770687820883865,39.327342940127025,48.2319177551539
MDS+NLS,uniform50,ID13,35,601,24.294706091983244,13.781055288321468,39.338873909397236,48.246214664106816
MDS+NLS,uniform30,ID14,-120,600,29.66589080571608,16.694811842903544,34.22303185219313,48.27005001989171
V3-lite,uniform30,ID16,25,601,26.540306210039674,17.74950315459764,36.20226136400499,48.27045104228332
V3-lite,uniform30,ID13,20,601,23.628355870939902,13.839913336496206,39.76457805545346,48.28109433571029
V3-lite,uniform30,ID14,-115,600,29.540548633219153,16.624390834336197,34.43719548246857,48.32116323995213
MDS+NLS,uniform30,ID14,-55,600,25.973444038436675,14.855682485238543,37.994753592730994,48.36230348000775
V3-lite,uniform50,ID15,75,600,28.594527253574824,18.066761703420887,34.57095693776875,48.36533811415661
V3-lite,uniform50,ID14,-40,600,25.203131392315797,14.363996836119734,38.702140744976546,48.36711626022752
V3-lite,uniform30,ID16,-55,601,25.378032115692942,16.532954237561697,37.74814681356821,48.39737263266625
MDS+NLS,uniform50,ID15,75,600,28.63772980576567,18.07910425044595,34.57596272130577,48.39907826634366
V3-lite,uniform30,ID15,-55,600,22.465327076759113,13.686625887888397,40.64573965504907,48.41581147690093
MDS+NLS,uniform30,ID15,-55,600,22.366709302868557,13.663470230193491,40.71433694435355,48.421248812776014
V3-lite,uniform30,ID14,-60,600,26.477638559870325,15.125726182948556,37.628109719457726,48.432711851890105
V4-anchor-delay,uniform50,ID13,-10,601,21.94284909767468,12.573901800872424,41.30925969548312,48.43600488903035
V4-anchor-delay,uniform50,ID15,70,600,28.7589141828512,17.15503954795349,34.999387617145864,48.43890647448259
V4-anchor-delay,uniform50,ID13,-15,601,21.696529980803838,12.488539128937578,41.481233027591436,48.44992999243928
MDS+NLS,uniform30,ID13,20,601,23.745824640953373,13.893876923981697,39.88590449420261,48.45399241732627
V4-anchor-delay,uniform30,ID16,-65,601,25.37117123583112,16.92316235156805,37.66717819681406,48.46551420511227
MDS+NLS,uniform50,ID14,-40,600,25.207701247917537,14.349339022809351,38.835251225725145,48.471728567908215
V4-anchor-delay,uniform50,ID13,-5,601,22.23761227869315,12.685161760979282,41.17298797324657,48.483395790773585
V4-anchor-delay,uniform30,ID16,25,601,26.328076918506852,17.37388004663838,36.822185768019885,48.48600526787455
V4-anchor-delay,uniform30,ID13,0,601,22.55230574313357,12.987259240535044,40.93072969525233,48.50360842554345
MDS+NLS,uniform30,ID16,25,601,26.699758128481648,17.874058941713237,36.3772734947898,48.535194385991666
V4-anchor-delay,uniform50,ID13,-20,601,21.51450580868226,12.430746304187439,41.69286885762134,48.53547905861962
V4-anchor-delay,uniform50,ID16,-80,601,26.68671938155404,16.373256417051383,37.08843110016544,48.53675142116585
V4-anchor-delay,uniform30,ID13,5,601,22.887131163088476,13.189264580895417,40.7259699873352,48.54258032357371
MDS+NLS,uniform30,ID14,-115,600,29.56727049277117,16.66196696554609,34.70981686603076,48.544989591378425
V4-anchor-delay,uniform50,ID13,0,601,22.571098544934227,12.81964615655904,41.05578189493871,48.57339852336141
V3-lite,uniform30,ID13,-10,601,21.792935830494265,12.535227946189343,41.5664206344227,48.578095023711334
V4-anchor-delay,uniform30,ID13,-5,601,22.25354259839628,12.83065744780056,41.266644618685284,48.608454890135164
V3-lite,uniform30,ID14,-110,600,29.44759596381056,16.57828649755146,34.944691763845235,48.61205584742207
MDS+NLS,uniform30,ID16,-55,601,25.467013101713473,16.587682945198015,37.94467925783688,48.61603301168633
V3-lite,uniform50,ID13,40,601,24.856183677497498,14.064274651539785,39.36586586178501,48.634402263536536
MDS+NLS,uniform50,ID13,40,601,24.874622093225355,14.084181244372473,39.392759116888136,48.671351495990756
MDS+NLS,uniform30,ID13,-10,601,21.876680964243416,12.556622163755554,41.65608602401131,48.69792021241192
V4-anchor-delay,uniform30,ID13,10,601,23.26335211264726,13.43303289116851,40.63786767469934,48.71412745106494
V4-anchor-delay,uniform50,ID13,5,601,22.955056646374913,12.97757131908388,40.9790514926706,48.7302231086534
MDS+NLS,uniform30,ID14,-60,600,26.53471021147643,15.143760365617787,37.970457984649364,48.73581848684097
V3-lite,uniform50,ID13,-20,601,21.465227119432353,12.447451082032476,41.94835236311641,48.73765771668331
V4-anchor-delay,uniform50,ID13,-25,601,21.41010889221812,12.399941457173663,41.995604496804766,48.74199532200154
V4-anchor-delay,uniform30,ID13,-10,601,21.978795308000176,12.714200294427988,41.64846811722383,48.77820444449768
V3-lite,uniform30,ID15,55,600,27.232494221357822,16.783031337495025,36.8660396883016,48.80966876235748
MDS+NLS,uniform30,ID15,55,600,27.434305175207975,16.80510865197776,36.76987257109883,48.857714909173424
MDS+NLS,uniform50,ID13,-20,601,21.535034023755728,12.455857278133903,42.05169530650041,48.85950418381573
V3-lite,uniform50,ID15,-65,600,22.60983981126461,13.276969655227235,41.23506884659774,48.86526048534405
V4-anchor-delay,uniform30,ID15,-60,600,23.47838269643175,13.5394701395448,40.67993312927355,48.88157797270766
V3-lite,uniform50,ID16,55,601,28.01494616610483,18.50822695725295,35.53196145509809,48.88672579174753
MDS+NLS,uniform30,ID14,-110,600,29.47874939731662,16.633710396778053,35.28828202369002,48.89723750660319
V3-lite,uniform30,ID14,-65,600,27.00191743432815,15.477461619362307,37.71661893790834,48.89988453377466
V4-anchor-delay,uniform50,ID13,10,601,23.370545528818965,13.153986705728947,40.91055712578942,48.917107936912764
V3-lite,uniform30,ID13,25,601,24.454482297305894,14.312737856495142,39.88670392890688,48.92673420217491
MDS+NLS,uniform50,ID15,-65,600,22.591167441974406,13.27851897848737,41.331341605949106,48.9383255904923
V4-anchor-delay,uniform50,ID14,-55,600,26.654931793282852,15.262306619580182,38.16526831034169,48.98990811845857
V3-lite,uniform50,ID14,80,600,26.95112680880109,14.826561002677748,38.132794763561314,48.99285849907199
V3-lite,uniform30,ID14,-105,600,29.337312235493673,16.5542819191844,35.58675748365112,49.001422910593945
V4-anchor-delay,uniform30,ID13,15,601,23.719589330124915,13.71367392462749,40.65730959005122,49.02754933302351
V4-anchor-delay,uniform50,ID16,50,601,27.785416020786496,18.164326093569464,36.09326437846573,49.037697941232224
