sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
59326,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","100,94,100,100"
59327,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","100,94,100,100"
59328,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","94,100,100,100"
59329,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,timeout,ok,ok","95,95,100,100"
59330,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","95,95,100,100"
59331,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","95,95,100,100"
59332,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","95,95,100,100"
59333,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","95,95,100,100"
59334,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","96,96,100,100"
59335,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","96,96,100,100"
59336,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","96,96,100,100"
59337,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,timeout,ok","96,96,95,100"
59338,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","96,96,100,95"
59339,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","96,96,100,95"
59340,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,96,96,100"
59341,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","96,96,96,100"
59342,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59343,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59344,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,100,96,100"
59345,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,100,96,100"
59346,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,100,100,96"
59347,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,100,100,96"
59348,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59349,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59350,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59351,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59352,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59353,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59354,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59355,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,timeout,ok,ok","100,96,100,100"
59356,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59357,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,reject,timeout","100,96,96,96"
59358,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59359,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","100,100,96,100"
59360,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,100,96,100"
59361,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,100,96,100"
59362,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,timeout,ok,ok","100,95,100,96"
59363,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59364,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59365,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59366,,BS2DCE,,cal_roto,5,98,"C,A,E,G","reject,ok,ok,ok","92,100,100,100"
59367,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","92,100,100,100"
59368,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,92,100,100"
59369,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,timeout,ok,ok","100,89,100,100"
59370,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,89,100,100"
59371,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,90,100,100"
59372,,BS2DCE,,cal_roto,5,96,"A,C,E,G","timeout,ok,ok,ok","96,90,100,100"
59373,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","96,90,100,100"
59374,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59375,,BS2DCE,,cal_roto,5,98,"C,A,E,G","ok,ok,ok,ok","94,100,100,100"
59376,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,94,100,100"
59377,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59378,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,95,100,100"
59379,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,95,100,100"
59380,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59381,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59382,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59383,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59384,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59385,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59386,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,timeout,ok,ok","100,93,100,100"
59387,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,ok,ok,ok","100,93,100,100"
59388,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,reject,ok","100,93,96,100"
59389,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,93,96,100"
59390,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","94,100,96,100"
59391,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","94,100,96,100"
59392,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,timeout,ok,ok","100,89,96,100"
59393,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","100,90,96,100"
59394,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","100,90,100,96"
59395,,BS2DCE,,cal_roto,5,96,"A,C,G,E","ok,ok,ok,ok","100,90,100,96"
59396,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,timeout,ok","100,91,94,100"
59397,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","100,91,94,100"
59398,,BS2DCE,,cal_roto,5,96,"C,A,E,G","ok,ok,ok,ok","92,100,94,100"
59399,,BS2DCE,,cal_roto,5,96,"C,A,E,G","ok,ok,ok,ok","92,100,95,100"
59400,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","100,92,95,100"
59401,,BS2DCE,,cal_roto,5,96,"A,C,E,G","ok,ok,ok,ok","100,92,95,100"
59402,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,93,100,95"
59403,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,93,100,95"
59404,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,93,96,100"
59405,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,93,96,100"
59406,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","94,100,96,100"
59407,,BS2DCE,,cal_roto,5,97,"C,A,E,G","ok,ok,ok,ok","94,100,96,100"
59408,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,94,96,100"
59409,,BS2DCE,,cal_roto,5,97,"A,C,E,G","ok,ok,ok,ok","100,95,96,100"
59410,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59411,,BS2DCE,,cal_roto,5,97,"A,C,G,E","ok,ok,ok,ok","100,95,100,96"
59412,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59413,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59414,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59415,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59416,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59417,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59418,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,96,100,100"
59419,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,96,100,100"
59420,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59421,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59422,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59423,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59424,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59425,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59426,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59427,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59428,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59429,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59430,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59431,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59432,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59433,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59434,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59435,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59436,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59437,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59438,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59439,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59440,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59441,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
59442,,BS2DCE,,cal_roto,5,100,"A,C,G,E","ok,ok,ok,ok","100,100,100,100"
59443,,BS2DCE,,cal_roto,5,98,"A,C,G,E","ok,timeout,ok,ok","100,95,100,100"
59444,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59445,,BS2DCE,,cal_roto,5,98,"A,C,E,G","ok,ok,ok,ok","100,95,100,100"
59446,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59447,,BS2DCE,,cal_roto,5,99,"C,A,E,G","ok,ok,ok,ok","96,100,100,100"
59448,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59449,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59450,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,96,100,100"
59451,,BS2DCE,,cal_roto,5,99,"A,C,G,E","ok,ok,ok,ok","100,96,100,100"
59452,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59453,,BS2DCE,,cal_roto,5,99,"A,C,E,G","ok,ok,ok,ok","100,96,100,100"
59454,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59455,,BS2DCE,,cal_roto,5,100,"C,A,E,G","ok,ok,ok,ok","100,100,100,100"
59456,,BS2DCE,,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
