model,sigma_offset,outer_fold,anchor,dx,dy,dz,magnitude_mm
D,,5,H,0.0,15.230850995596029,0.0,15.230850995596029
E,2.0,5,A,56.25495497617935,-75.95912547290146,7.950376530516585,94.8557704568201
E,2.0,5,B,55.31511024430104,-13.688836868137715,-14.04792250990942,58.68977596639881
E,2.0,5,C,-47.528418625563475,-45.257626081213225,-111.4276824820549,129.318721455462
E,2.0,5,D,-43.62656885692276,-35.980327163597046,4.140870367434555,56.70104285131976
E,2.0,5,E,28.73832580136391,94.98585960399987,2.3985185764792867,99.26710324139528
E,2.0,5,F,-0.11087313327371709,67.6520542289981,5.923221999579189,67.91095120163817
E,2.0,5,G,9.37097562450925,30.370538184735427,-23.013032081667895,39.24008689309308
E,2.0,5,H,-95.5314738653444,18.395649620621835,4.717392712641521,97.40080193640577
E,5.0,5,A,119.6711916453485,-65.17670697568198,56.685005058718836,147.588573543207
E,5.0,5,B,128.29565477643663,0.6142829339474838,-50.480999631980254,137.87125770762208
E,5.0,5,C,-89.62973056974342,-32.15059719478519,-177.21148149397976,201.17419982511987
E,5.0,5,D,-107.87588193841555,-21.25704095294536,46.20043129348044,119.26251525844059
E,5.0,5,E,93.07987467080449,91.58486178402111,50.00445517994789,139.82880788512193
E,5.0,5,F,50.309634347839605,56.8850806290839,-47.10871185762254,89.36555510528207
E,5.0,5,G,-31.907710295167547,12.192609746197784,-82.38176177040695,89.18248920667949
E,5.0,5,H,-160.9279570082195,-4.069109554230292,44.92077596543894,167.12941426553505
E,10.0,5,A,178.95647066039743,-35.1183791413329,125.60975251404895,221.4419311498631
E,10.0,5,B,199.6292614473409,27.061561160474724,-109.81805254776526,229.4431842174368
E,10.0,5,C,-148.70563012868536,-2.2703351705077646,-246.25477177107763,287.68025909641653
E,10.0,5,D,-174.77295697983303,5.531851259530816,107.71132602231917,205.37263114475226
E,10.0,5,E,150.7570508199052,58.664114453370296,115.38364447479061,198.70216936107792
E,10.0,5,F,110.66885667125567,25.471998684244852,-110.35753349641122,158.35151958003
E,10.0,5,G,-91.52318144626948,-17.468453029765694,-147.91361659550805,174.81440892461595
E,10.0,5,H,-219.75215645146457,-38.614142707997395,110.90014921270064,249.1604009017922
E,20.0,5,A,210.56762517254546,-17.682357724094256,163.40937060091605,267.12171934471365
E,20.0,5,B,237.028607706698,41.57803004749812,-143.4725123309854,280.17076087374136
E,20.0,5,C,-181.81899950775863,14.535890517777473,-282.84742257506315,336.55921492733415
E,20.0,5,D,-210.36865446578327,20.089048137576604,141.99586843368414,254.6004070873692
E,20.0,5,E,180.21961356408488,39.10659004244031,151.66789805431387,238.77099027760747
E,20.0,5,F,143.75108368918242,7.464466808012852,-144.3051060412892,203.82359028368128
E,20.0,5,G,-124.65238469258036,-33.604752362122355,-183.0177751318316,223.97098563222934
E,20.0,5,H,-250.80114856229335,-58.06302946739608,147.52958872492692,296.7111576271498
E,40.0,5,A,220.44608790191893,-12.184354307684186,175.16779780953706,281.83096627340046
E,40.0,5,B,248.61265728977668,46.05721841713276,-154.04707622840652,296.0743528702341
E,40.0,5,C,-192.21394376261915,19.785728611665217,-294.18184492100585,351.9668068363841
E,40.0,5,D,-221.42602048966455,24.576477966066964,152.72241837141345,270.1066879814696
E,40.0,5,E,189.29148471034225,32.949096304859204,163.0047147247314,251.96715292601868
E,40.0,5,F,154.1045915724097,1.8314063956144346,-154.8211578679296,218.45175695482854
E,40.0,5,G,-135.0258522238951,-38.590024197607065,-193.90989846609642,239.4205911351254
E,40.0,5,H,-260.47045723306246,-64.1965632575639,158.94001286895474,311.81402392462485
F,,5,A,0.0,0.0,0.0,0.0
F,,5,B,0.0,0.0,0.0,0.0
F,,5,C,0.0,0.0,0.0,0.0
F,,5,D,0.0,0.0,0.0,0.0
F,,5,E,0.0,0.0,0.0,0.0
F,,5,F,0.0,0.0,0.0,0.0
F,,5,G,0.0,0.0,0.0,0.0
F,,5,H,0.0,0.0,0.0,0.0
G,,5,A,0.0,0.0,0.0,0.0
G,,5,B,0.0,0.0,0.0,0.0
G,,5,C,0.0,0.0,0.0,0.0
G,,5,D,0.0,0.0,0.0,0.0
G,,5,E,0.0,0.0,0.0,0.0
G,,5,F,0.0,0.0,0.0,0.0
G,,5,G,0.0,0.0,0.0,0.0
G,,5,H,0.0,0.0,0.0,0.0
A,,6,A,0.0,0.0,0.0,0.0
A,,6,B,0.0,0.0,0.0,0.0
A,,6,C,0.0,0.0,0.0,0.0
A,,6,D,0.0,0.0,0.0,0.0
A,,6,E,0.0,0.0,0.0,0.0
A,,6,F,0.0,0.0,0.0,0.0
A,,6,G,0.0,0.0,0.0,0.0
A,,6,H,0.0,0.0,0.0,0.0
B,,6,A,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,B,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,C,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,D,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,E,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,F,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,G,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
B,,6,H,-22.94380394590571,24.42023383667482,-3.735338611051088,33.71525937443231
C,,6,A,-8.33051266433814,-38.079538722437995,-28.474843955117638,48.27282308745421
C,,6,B,-8.33051266433814,-38.079538722437995,-28.474843955117638,48.27282308745421
C,,6,C,-8.33051266433814,-38.079538722437995,-28.474843955117638,48.27282308745421
C,,6,D,-8.33051266433814,-38.079538722437995,-28.474843955117638,48.27282308745421
C,,6,E,-38.582495882208626,100.99157824234128,14.473070137917952,109.0751008415609
C,,6,F,-38.582495882208626,100.99157824234128,14.473070137917952,109.0751008415609
C,,6,G,-38.582495882208626,100.99157824234128,14.473070137917952,109.0751008415609
C,,6,H,-38.582495882208626,100.99157824234128,14.473070137917952,109.0751008415609
D,,6,A,0.0,-81.39967818819329,0.0,81.39967818819329
D,,6,B,0.0,-22.845985321042324,0.0,22.845985321042324
D,,6,C,0.0,36.236674245391384,0.0,36.236674245391384
D,,6,D,0.0,-104.79736424350143,0.0,104.79736424350143
D,,6,E,0.0,143.85625625188376,0.0,143.85625625188376
D,,6,F,0.0,182.2228115897791,0.0,182.2228115897791
D,,6,G,0.0,73.54926576693862,0.0,73.54926576693862
D,,6,H,0.0,39.631138176448964,0.0,39.631138176448964
E,2.0,6,A,24.55368523013225,-64.98219195525058,34.34086547916634,77.49105607454094
E,2.0,6,B,45.17236073619543,-17.196607655055104,-19.147717222865246,51.989427426830545
E,2.0,6,C,-107.88634950878182,-9.871907617218826,-26.138690239026168,111.44572713992086
E,2.0,6,D,-19.329502236969777,-62.53072536971753,15.665767109997338,67.2988672351677
E,2.0,6,E,-19.531112269710963,51.86512333572762,18.810750752313393,58.52606008427314
E,2.0,6,F,-36.26492564862643,72.71614651972149,-19.907918539962083,83.66067186899573
E,2.0,6,G,-14.693653116636455,13.211355828609047,-3.3839806956421326,20.047311293304173
E,2.0,6,H,-96.19285383550582,50.5733822943406,-9.221037762876419,109.06768386251218
E,5.0,6,A,60.9412475156256,-56.99086444326692,76.41722544140923,113.14321288930562
E,5.0,6,B,95.46558191532453,-8.413465837813046,-47.57215031570601,106.99333261234419
E,5.0,6,C,-166.7230417255935,1.2597188921492422,-51.081842455231765,174.37750474915723
E,5.0,6,D,-63.667607268372954,-58.61368479551531,48.98813980748172,99.44328083075887
E,5.0,6,E,7.800726316160814,44.29763252208551,63.85431034395856,78.10572659942383
E,5.0,6,F,-37.586762444678776,69.49387130580673,-88.61441019899287,118.72100300728644
E,5.0,6,G,-52.40108639521101,-1.7961700548623138,-38.273538887120125,64.9150511145778
E,5.0,6,H,-152.43929612229337,41.41891112546352,12.265160679253267,158.4414698479132
E,10.0,6,A,111.22185030940894,-30.910396640255268,132.9945121730034,176.10591379860477
E,10.0,6,B,153.16854372237617,12.785069315508558,-97.7043524716062,182.12688235219886
E,10.0,6,C,-218.3992853904153,22.905037510066947,-107.5068864751793,244.50075509488457
E,10.0,6,D,-120.78773727665592,-36.28832450685456,97.91011086779116,159.6649923498335
E,10.0,6,E,56.84842562679312,17.07327044830529,117.35834375153746,131.5150976433886
E,10.0,6,F,-3.774270996481032,43.10272402388195,-153.31258473494125,159.30109408896837
E,10.0,6,G,-99.80715998959323,-29.112289878509376,-93.21087726109383,139.63259736516153
E,10.0,6,H,-202.4427964399396,12.039391031343431,64.37863589568958,212.77368617058403
E,20.0,6,A,144.20916024197726,-13.061201173589835,169.61729123494217,223.01771759138882
E,20.0,6,B,189.66614381046574,26.98888608415115,-131.26530327184074,232.2331283926647
E,20.0,6,C,-249.67687441249362,37.0556886799258,-145.9522295708752,291.57112167813386
E,20.0,6,D,-157.70118952039257,-20.83660319481779,129.8046403258305,205.3121376318587
E,20.0,6,E,89.65468358980985,-1.4726180048674993,151.41304660927028,175.97170675105198
E,20.0,6,F,23.00780613084518,24.285077678076597,-191.0550611939792,193.9617502205523
E,20.0,6,G,-130.1072418911887,-47.14130323610258,-129.40213197008586,189.46004492170368
E,20.0,6,H,-232.9815047651335,-8.313994901808913,99.72145551413485,253.56236464371207
E,40.0,6,A,155.35961548457766,-7.017134971575707,181.90816834582404,239.32495067931757
E,40.0,6,B,201.88911479785267,31.760998845896072,-142.59935420296222,249.20383532492318
E,40.0,6,C,-260.1065477110645,41.78044017511471,-158.94660750121338,307.67685219973794
E,40.0,6,D,-170.12602416806325,-15.61524064935923,140.49359046795846,221.19029997345785
E,40.0,6,E,100.75550533855272,-7.715437216655543,162.80321327195432,191.61442033193828
E,40.0,6,F,32.34904239036415,17.86957826984377,-203.4162283724232,206.7460866289311
E,40.0,6,G,-140.2440033889289,-53.18641551082188,-141.59109774544342,206.26491277530312
E,40.0,6,H,-243.17140130743883,-15.23946800326931,111.6403995257879,268.0077435544049
F,,6,A,0.0,0.0,0.0,0.0
F,,6,B,0.0,0.0,0.0,0.0
F,,6,C,0.0,0.0,0.0,0.0
F,,6,D,0.0,0.0,0.0,0.0
F,,6,E,0.0,0.0,0.0,0.0
F,,6,F,0.0,0.0,0.0,0.0
F,,6,G,0.0,0.0,0.0,0.0
F,,6,H,0.0,0.0,0.0,0.0
G,,6,A,0.0,0.0,0.0,0.0
G,,6,B,0.0,0.0,0.0,0.0
G,,6,C,0.0,0.0,0.0,0.0
G,,6,D,0.0,0.0,0.0,0.0
G,,6,E,0.0,0.0,0.0,0.0
G,,6,F,0.0,0.0,0.0,0.0
G,,6,G,0.0,0.0,0.0,0.0
G,,6,H,0.0,0.0,0.0,0.0
