sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
25903,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1970,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1972,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1971,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
25904,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1973,BSDC91,cal_roto,5,100,"A,C,F,E","ok,ok,ok,ok","100,100,100,100"
25905,BSF66F,cal_static,4,74,"E,F,G,H","ok,reject,ok,ok","100,3,100,96"
1972,BS2DCE,cal_roto,5,99,"A,C,F,H","ok,ok,ok,ok","100,100,96,100"
1974,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
1973,BS2DCE,cal_roto,5,99,"A,C,H,F","ok,ok,ok,ok","100,100,100,96"
1975,BSDC91,cal_roto,5,100,"A,C,E,F","ok,ok,ok,ok","100,100,100,100"
25906,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
