host_time_iso,target,port_label,stream,seq,receiver_anchor_id,receiver_anchor,source_kind,source_id,source_anchor,source_addr,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-23T23:10:53.487+02:00,BSF66F,C,anchor,5,2,C,T,1,B,0xb101,-1,3467918886,-7024,47674,18526,1896,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_C_frame_00000032_seq_00000005_rxC_srcB.bin
2026-06-23T23:10:53.556+02:00,BSF66F,D,anchor,5,3,D,T,1,B,0xb101,-1,187505692,-8000,47664,19025,2086,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_D_frame_00000033_seq_00000005_rxD_srcB.bin
2026-06-23T23:10:53.567+02:00,BSF66F,G,anchor,5,6,G,T,1,B,0xb101,-1,2350813795,-11830,47751,19525,1835,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_G_frame_00000034_seq_00000005_rxG_srcB.bin
2026-06-23T23:10:54.539+02:00,BSF66F,B,anchor,6,1,B,T,1,B,0xb101,-1,3667678103,-5502,48043,17523,2015,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_B_frame_00000035_seq_00000006_rxB_srcB.bin
2026-06-23T23:10:54.543+02:00,BSF66F,A,anchor,6,0,A,T,1,B,0xb101,-1,3677562345,-7036,47613,18272,2252,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_A_frame_00000036_seq_00000006_rxA_srcB.bin
2026-06-23T23:10:54.599+02:00,BSF66F,TAG,tag,1634,7,H,T,-1,BSF66F,,2097,1829525036,6089,47616,20514,1692,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/tag_TAG_frame_00000037_seq_00001634_rxH_srcBSF66F.bin
2026-06-23T23:10:54.605+02:00,BSF66F,E,anchor,6,4,E,T,1,B,0xb101,-1,1481904089,-9403,47605,8133,1857,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_E_frame_00000038_seq_00000006_rxE_srcB.bin
2026-06-23T23:10:54.625+02:00,BSF66F,C,anchor,6,2,C,T,1,B,0xb101,-1,2830196168,-6893,48092,19613,1816,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_C_frame_00000039_seq_00000006_rxC_srcB.bin
2026-06-23T23:10:54.628+02:00,BSF66F,H,anchor,6,7,H,T,1,B,0xb101,-1,2487121678,-8660,47914,19557,1827,48,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_H_frame_00000040_seq_00000006_rxH_srcB.bin
2026-06-23T23:10:54.649+02:00,BSF66F,G,anchor,6,6,G,T,1,B,0xb101,-1,1712882822,-11674,47794,19092,2006,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/erlangen_20260528_mocap/captures/codex_tr2_deferred_full_verify_20260623/static_CODEX_DEFERFULL_RESP_FULL_BSF66F_30s_20260623_230943/tag_capture_20260623_230943/cir_full_usb/CIRRAW_BSF66F_20260623_231045/accumulator_bin/anchor_G_frame_00000041_seq_00000006_rxG_srcB.bin
